stateFP,state,maptype,countyFP,county,district,demPercentage,repPercentage
01,AL,Compact,19,...,3,1.0,1.0
01,AL,Compact,67,...,2,1.0,1.0
01,AL,Compact,3,...,1,1.0,1.0
01,AL,Compact,75,...,4,1.0,1.0
01,AL,Compact,63,...,7,1.0,1.0
01,AL,Compact,53,...,1,1.0,1.0
01,AL,Compact,11,...,2,1.0,1.0
01,AL,Compact,35,...,1,0.8876680952268448,0.8927120940750142
01,AL,Compact,23,...,7,1.0,1.0
01,AL,Compact,7,...,7,1.0,1.0
01,AL,Compact,15,...,3,1.0,1.0
01,AL,Compact,113,...,2,1.0,1.0
01,AL,Compact,71,...,5,1.0,1.0
01,AL,Compact,87,...,2,1.0,1.0
01,AL,Compact,9,...,4,1.0,1.0
01,AL,Compact,131,...,7,1.0,1.0
01,AL,Compact,27,...,2,0.1956320860503557,0.23805137420333156
01,AL,Compact,73,...,6,1.0,1.0
01,AL,Compact,97,...,1,1.0,1.0
01,AL,Compact,105,...,7,1.0,1.0
01,AL,Compact,125,...,7,0.21069223973310047,0.16905687319582646
01,AL,Compact,109,...,2,1.0,1.0
01,AL,Compact,57,...,4,1.0,1.0
01,AL,Compact,103,...,5,1.0,1.0
01,AL,Compact,91,...,7,1.0,1.0
01,AL,Compact,127,...,4,1.0,1.0
01,AL,Compact,37,...,2,1.0,1.0
01,AL,Compact,107,...,4,1.0,1.0
01,AL,Compact,83,...,5,1.0,1.0
01,AL,Compact,17,...,2,1.0,1.0
01,AL,Compact,55,...,3,1.0,1.0
01,AL,Compact,49,...,3,1.0,1.0
01,AL,Compact,65,...,7,1.0,1.0
01,AL,Compact,89,...,5,1.0,1.0
01,AL,Compact,59,...,4,1.0,1.0
01,AL,Compact,121,...,3,1.0,1.0
01,AL,Compact,69,...,2,1.0,1.0
01,AL,Compact,129,...,7,1.0,1.0
01,AL,Compact,133,...,4,1.0,1.0
01,AL,Compact,111,...,2,1.0,1.0
01,AL,Compact,51,...,7,0.5514075572394551,0.5213565312157034
01,AL,Compact,77,...,4,1.0,1.0
01,AL,Compact,101,...,7,1.0,1.0
01,AL,Compact,117,...,3,0.8700740045656089,0.8853287234732671
01,AL,Compact,79,...,4,1.0,1.0
01,AL,Compact,35,...,7,0.11233190477315519,0.10728790592498583
01,AL,Compact,43,...,4,1.0,1.0
01,AL,Compact,93,...,4,1.0,1.0
01,AL,Compact,25,...,7,1.0,1.0
01,AL,Compact,123,...,2,1.0,1.0
01,AL,Compact,41,...,7,1.0,1.0
01,AL,Compact,13,...,7,1.0,1.0
01,AL,Compact,85,...,7,1.0,1.0
01,AL,Compact,45,...,2,1.0,1.0
01,AL,Compact,39,...,1,1.0,1.0
01,AL,Compact,95,...,5,1.0,1.0
01,AL,Compact,33,...,4,1.0,1.0
01,AL,Compact,27,...,3,0.8043679139496445,0.7619486257966686
01,AL,Compact,81,...,2,1.0,1.0
01,AL,Compact,29,...,3,1.0,1.0
01,AL,Compact,51,...,2,0.44859244276054483,0.4786434687842965
