stateFP,state,maptype,countyFP,county,district,demPercentage,repPercentage
01,AL,Compact,89,...,5,1.0,1.0
01,AL,Compact,87,...,2,1.0,1.0
01,AL,Compact,7,...,7,1.0,1.0
01,AL,Compact,15,...,3,1.0,1.0
01,AL,Compact,65,...,7,1.0,1.0
01,AL,Compact,97,...,1,1.0,1.0
01,AL,Compact,75,...,4,1.0,1.0
01,AL,Compact,117,...,3,0.8873935130279507,0.8798784707300555
01,AL,Compact,47,...,7,1.0,1.0
01,AL,Compact,81,...,2,1.0,1.0
01,AL,Compact,73,...,6,1.0,1.0
01,AL,Compact,109,...,2,1.0,1.0
01,AL,Compact,101,...,7,1.0,1.0
01,AL,Compact,103,...,5,1.0,1.0
01,AL,Compact,51,...,7,0.604440096042747,0.5109664137397139
01,AL,Compact,99,...,7,1.0,1.0
01,AL,Compact,49,...,3,1.0,1.0
01,AL,Compact,9,...,4,1.0,1.0
01,AL,Compact,117,...,6,0.11260648697204957,0.12012152926994465
01,AL,Compact,113,...,2,1.0,1.0
01,AL,Compact,83,...,5,1.0,1.0
01,AL,Compact,59,...,4,1.0,1.0
01,AL,Compact,39,...,1,1.0,1.0
01,AL,Compact,69,...,2,1.0,1.0
01,AL,Compact,5,...,2,1.0,1.0
01,AL,Compact,61,...,2,1.0,1.0
01,AL,Compact,45,...,2,1.0,1.0
01,AL,Compact,93,...,4,1.0,1.0
01,AL,Compact,43,...,4,1.0,1.0
01,AL,Compact,55,...,3,1.0,1.0
01,AL,Compact,119,...,7,1.0,1.0
01,AL,Compact,121,...,3,1.0,1.0
01,AL,Compact,123,...,2,1.0,1.0
01,AL,Compact,71,...,5,1.0,1.0
01,AL,Compact,1,...,7,1.0,1.0
01,AL,Compact,31,...,2,1.0,1.0
01,AL,Compact,91,...,7,1.0,1.0
01,AL,Compact,17,...,2,1.0,1.0
01,AL,Compact,33,...,4,1.0,1.0
01,AL,Compact,77,...,4,1.0,1.0
01,AL,Compact,125,...,4,0.7337630655242336,0.8605990536612589
01,AL,Compact,115,...,3,1.0,1.0
01,AL,Compact,27,...,2,0.11817675409468407,0.25788349847685854
01,AL,Compact,27,...,3,0.881823245905316,0.7421165015231417
01,AL,Compact,95,...,5,1.0,1.0
01,AL,Compact,131,...,7,1.0,1.0
01,AL,Compact,111,...,2,1.0,1.0
01,AL,Compact,125,...,7,0.2662369344757663,0.13940094633874117
01,AL,Compact,51,...,2,0.395559903957253,0.48903358626028604
01,AL,Compact,25,...,7,1.0,1.0
01,AL,Compact,129,...,7,1.0,1.0
01,AL,Compact,85,...,7,1.0,1.0
01,AL,Compact,107,...,4,1.0,1.0
01,AL,Compact,23,...,7,1.0,1.0
01,AL,Compact,41,...,7,1.0,1.0
01,AL,Compact,67,...,2,1.0,1.0
01,AL,Compact,13,...,7,1.0,1.0
01,AL,Compact,53,...,1,1.0,1.0
01,AL,Compact,127,...,4,1.0,1.0
01,AL,Compact,35,...,1,0.8893249659729046,0.8891525571869808
01,AL,Compact,3,...,1,1.0,1.0
01,AL,Compact,11,...,2,1.0,1.0
01,AL,Compact,57,...,4,1.0,1.0
01,AL,Compact,21,...,7,1.0,1.0
01,AL,Compact,79,...,4,1.0,1.0
01,AL,Compact,37,...,2,1.0,1.0
01,AL,Compact,63,...,7,1.0,1.0
01,AL,Compact,105,...,7,1.0,1.0
01,AL,Compact,29,...,3,1.0,1.0
01,AL,Compact,133,...,4,1.0,1.0
01,AL,Compact,19,...,3,1.0,1.0
01,AL,Compact,35,...,7,0.11067503402709537,0.11084744281301924
04,AZ,Compact,13,...,5,0.15544276113937586,0.24289408666857482
04,AZ,Compact,13,...,7,0.18709210384719235,0.12132010988259398
04,AZ,Compact,13,...,4,0.07079418175584354,0.08133960154143917
04,AZ,Compact,13,...,6,0.1919111828372722,0.20859669478586695
04,AZ,Compact,5,...,1,1.0,1.0
04,AZ,Compact,15,...,1,1.0,1.0
04,AZ,Compact,25,...,1,0.9516967888399116,0.8675054999040096
04,AZ,Compact,25,...,4,0.048303211160088406,0.1324945000959903
04,AZ,Compact,3,...,3,1.0,1.0
04,AZ,Compact,13,...,8,0.20041562789964681,0.15436127931792917
04,AZ,Compact,19,...,2,0.7349637328069498,0.6476481426571037
04,AZ,Compact,1,...,1,1.0,1.0
04,AZ,Compact,13,...,9,0.19434414252066817,0.19148822780359673
04,AZ,Compact,27,...,4,1.0,1.0
04,AZ,Compact,19,...,3,0.26503626719304985,0.3523518573428967
04,AZ,Compact,7,...,4,1.0,1.0
04,AZ,Compact,21,...,3,0.6324453379973918,0.44677639831529853
04,AZ,Compact,17,...,1,1.0,1.0
04,AZ,Compact,9,...,3,1.0,1.0
04,AZ,Compact,12,...,4,1.0,1.0
04,AZ,Compact,23,...,3,1.0,1.0
04,AZ,Compact,21,...,4,0.3675546620026084,0.5532236016847015
04,AZ,Compact,11,...,3,1.0,1.0
05,AR,Compact,45,...,2,1.0,1.0
05,AR,Compact,23,...,1,1.0,1.0
05,AR,Compact,9,...,1,1.0,1.0
05,AR,Compact,75,...,1,1.0,1.0
05,AR,Compact,37,...,1,1.0,1.0
05,AR,Compact,143,...,3,1.0,1.0
05,AR,Compact,65,...,1,1.0,1.0
05,AR,Compact,41,...,4,1.0,1.0
05,AR,Compact,119,...,2,1.0,1.0
05,AR,Compact,77,...,1,1.0,1.0
05,AR,Compact,3,...,4,1.0,1.0
05,AR,Compact,145,...,2,0.5804553617239844,0.5577340228048007
05,AR,Compact,145,...,1,0.41954463827601557,0.44226597719519944
05,AR,Compact,97,...,4,1.0,1.0
05,AR,Compact,7,...,3,1.0,1.0
05,AR,Compact,55,...,1,1.0,1.0
05,AR,Compact,131,...,3,1.0,1.0
05,AR,Compact,69,...,4,1.0,1.0
05,AR,Compact,103,...,4,1.0,1.0
05,AR,Compact,51,...,4,1.0,1.0
05,AR,Compact,125,...,4,1.0,1.0
05,AR,Compact,93,...,1,1.0,1.0
05,AR,Compact,35,...,1,1.0,1.0
05,AR,Compact,83,...,3,1.0,1.0
05,AR,Compact,115,...,2,1.0,1.0
05,AR,Compact,17,...,4,1.0,1.0
05,AR,Compact,59,...,4,1.0,1.0
05,AR,Compact,5,...,1,1.0,1.0
05,AR,Compact,87,...,3,1.0,1.0
05,AR,Compact,85,...,2,1.0,1.0
05,AR,Compact,21,...,1,1.0,1.0
05,AR,Compact,121,...,1,1.0,1.0
05,AR,Compact,15,...,3,0.84103244622362,0.8413593402180601
05,AR,Compact,91,...,4,1.0,1.0
05,AR,Compact,31,...,1,1.0,1.0
05,AR,Compact,71,...,3,1.0,1.0
05,AR,Compact,149,...,2,1.0,1.0
05,AR,Compact,111,...,1,1.0,1.0
05,AR,Compact,147,...,1,1.0,1.0
05,AR,Compact,73,...,4,1.0,1.0
05,AR,Compact,67,...,1,1.0,1.0
05,AR,Compact,139,...,4,1.0,1.0
05,AR,Compact,47,...,3,1.0,1.0
05,AR,Compact,1,...,1,0.913997510964975,0.8434334293379518
05,AR,Compact,1,...,4,0.08600248903502508,0.15656657066204815
05,AR,Compact,107,...,1,1.0,1.0
05,AR,Compact,81,...,4,1.0,1.0
05,AR,Compact,13,...,4,1.0,1.0
05,AR,Compact,63,...,1,1.0,1.0
05,AR,Compact,123,...,1,1.0,1.0
05,AR,Compact,33,...,3,1.0,1.0
05,AR,Compact,133,...,4,1.0,1.0
05,AR,Compact,39,...,4,1.0,1.0
05,AR,Compact,109,...,4,1.0,1.0
05,AR,Compact,11,...,4,1.0,1.0
05,AR,Compact,113,...,4,1.0,1.0
05,AR,Compact,105,...,2,1.0,1.0
05,AR,Compact,95,...,1,1.0,1.0
05,AR,Compact,99,...,4,1.0,1.0
05,AR,Compact,89,...,1,1.0,1.0
05,AR,Compact,19,...,4,1.0,1.0
05,AR,Compact,101,...,1,1.0,1.0
05,AR,Compact,129,...,1,1.0,1.0
05,AR,Compact,53,...,4,1.0,1.0
05,AR,Compact,27,...,4,1.0,1.0
05,AR,Compact,117,...,1,1.0,1.0
05,AR,Compact,137,...,1,1.0,1.0
05,AR,Compact,61,...,4,1.0,1.0
05,AR,Compact,49,...,1,1.0,1.0
05,AR,Compact,79,...,4,1.0,1.0
05,AR,Compact,57,...,4,1.0,1.0
05,AR,Compact,29,...,2,1.0,1.0
05,AR,Compact,141,...,1,1.0,1.0
05,AR,Compact,15,...,1,0.15896755377638008,0.1586406597819398
05,AR,Compact,135,...,1,1.0,1.0
05,AR,Compact,43,...,4,1.0,1.0
05,AR,Compact,127,...,3,1.0,1.0
05,AR,Compact,25,...,4,1.0,1.0
06,CA,Compact,37,...,28,0.07686371445139875,0.10845968172099305
06,CA,Compact,37,...,44,0.07628017920532797,0.08832027702524128
06,CA,Compact,81,...,14,0.7884702868884014,0.8593208657618174
06,CA,Compact,37,...,43,0.11508001747655103,-0.06476085973417929
06,CA,Compact,67,...,7,0.47646617367534244,0.5870699104302444
06,CA,Compact,85,...,15,0.2692559351190296,0.28917256335768654
06,CA,Compact,67,...,9,0.0008894663637748586,0.002269745076729517
06,CA,Compact,95,...,3,1.0,1.0
06,CA,Compact,29,...,23,0.8668713942298758,0.8712297935688242
06,CA,Compact,75,...,12,0.8980660750111201,0.9385781244616404
06,CA,Compact,17,...,4,1.0,1.0
06,CA,Compact,81,...,15,0.21150789077107093,0.1406791363584667
06,CA,Compact,65,...,36,0.23184949281199646,0.2795832488112764
06,CA,Compact,1,...,17,0.37994895630649744,0.42556566399148593
06,CA,Compact,37,...,27,0.045718335629304704,0.07894172371950163
06,CA,Compact,73,...,51,0.254545396481791,0.07364159004022573
06,CA,Compact,99,...,10,0.9695755078594933,0.9681011868348028
06,CA,Compact,41,...,2,1.0,1.0
06,CA,Compact,15,...,1,1.0,1.0
06,CA,Compact,37,...,32,0.05480724750631565,0.06360760400178886
06,CA,Compact,1,...,13,0.5674371116774297,0.30441080673793586
06,CA,Compact,87,...,20,0.8450090551991766,0.8677989625416174
06,CA,Compact,1,...,15,0.05259741360742361,0.26998523869330343
06,CA,Compact,19,...,21,0.7502192717290684,0.6782029452022443
06,CA,Compact,37,...,29,0.06246754845704196,0.07479079371695331
06,CA,Compact,13,...,3,0.2679253940203017,0.24540577898853824
06,CA,Compact,97,...,2,0.9151415055559591,0.9360186927004851
06,CA,Compact,71,...,31,0.3355698060896923,0.25509630694587376
06,CA,Compact,37,...,47,0.07540969754338872,0.04574829608583286
06,CA,Compact,37,...,48,3.760238217097888e-05,6.0243883125159466e-05
06,CA,Compact,7,...,5,0.18186682164470933,0.16599704455604442
06,CA,Compact,53,...,20,1.0,1.0
06,CA,Compact,55,...,5,1.0,1.0
06,CA,Compact,37,...,40,0.047825456455298614,0.10367955970424947
06,CA,Compact,37,...,38,0.04410454219304667,0.1388036249946829
06,CA,Compact,9,...,16,1.0,1.0
06,CA,Compact,59,...,46,0.21232360039926865,0.1459064866421426
06,CA,Compact,37,...,34,0.05754408051943024,0.04625565024522576
06,CA,Compact,37,...,25,0.07271422526703931,0.12541758457709443
06,CA,Compact,77,...,9,1.0,1.0
06,CA,Compact,107,...,22,0.8979705310282422,0.9170320483324068
06,CA,Compact,97,...,5,0.08485849444404102,0.06398130729951505
06,CA,Compact,65,...,42,0.31785922544243567,0.3447141779905906
06,CA,Compact,37,...,37,0.11554571766517759,-0.061160345576331515
06,CA,Compact,83,...,24,1.0,1.0
06,CA,Compact,67,...,6,0.5175213626047039,0.40407119431272837
06,CA,Compact,73,...,52,0.18568068220861397,0.3010623782996518
06,CA,Compact,65,...,49,0.09700134945308109,0.13005894450371122
06,CA,Compact,73,...,50,0.22147606727305294,0.2941130154876853
06,CA,Compact,111,...,26,0.8522429773919105,0.8412597067213372
06,CA,Compact,37,...,30,0.062064810418352975,0.10616355526398161
06,CA,Compact,101,...,5,1.0,1.0
06,CA,Compact,37,...,33,0.08320534936782933,0.12858938400111253
06,CA,Compact,71,...,35,0.29712714912951177,0.22379804362338884
06,CA,Compact,23,...,1,1.0,1.0
06,CA,Compact,59,...,39,0.23350816222629597,0.202223556113985
06,CA,Compact,13,...,11,0.679114585503582,0.6736602394154992
06,CA,Compact,103,...,1,1.0,1.0
06,CA,Compact,85,...,19,0.3635069865243524,0.28417581575209316
06,CA,Compact,11,...,5,1.0,1.0
06,CA,Compact,105,...,1,1.0,1.0
06,CA,Compact,25,...,36,1.0,1.0
06,CA,Compact,113,...,5,0.9433922923024,0.9673091503467991
06,CA,Compact,59,...,48,0.26829454338096914,0.22603456561602
06,CA,Compact,71,...,8,0.3325687831314928,0.4930253779197274
06,CA,Compact,71,...,16,0.03470992577200678,0.02806097100711753
06,CA,Compact,73,...,53,0.25483669627936323,0.21871309449837498
06,CA,Compact,7,...,1,0.8181331783552906,0.8340029554439556
06,CA,Compact,59,...,45,0.2196134927115986,0.30907451089562143
06,CA,Compact,29,...,22,0.13312860577012406,0.12877020643117607
06,CA,Compact,27,...,16,1.0,1.0
06,CA,Compact,39,...,16,1.0,1.0
06,CA,Compact,65,...,41,0.3405017317496575,0.2381731320532043
06,CA,Compact,61,...,4,1.0,1.0
06,CA,Compact,85,...,18,0.36722931993608804,0.4266502434518555
06,CA,Compact,73,...,49,0.08346115775717843,0.11246992167406121
06,CA,Compact,79,...,24,1.0,1.0
06,CA,Compact,69,...,20,1.0,1.0
06,CA,Compact,111,...,30,0.12999146356227712,0.14774182545212242
06,CA,Compact,89,...,1,1.0,1.0
06,CA,Compact,5,...,16,1.0,1.0
06,CA,Compact,37,...,35,0.010328503149784493,0.017077087919208898
06,CA,Compact,13,...,15,0.052943232680614745,0.0809163039416168
06,CA,Compact,19,...,16,0.2497807282709319,0.3217970547977552
06,CA,Compact,47,...,10,0.7995790153284746,0.8130456151234575
06,CA,Compact,31,...,22,1.0,1.0
06,CA,Compact,45,...,5,1.0,1.0
06,CA,Compact,99,...,9,0.030424492140506684,0.031898813165197215
