stateFP,state,maptype,countyFP,county,district,demPercentage,repPercentage
01,AL,Compact,89,...,5,1.0,1.0
01,AL,Compact,87,...,2,1.0,1.0
01,AL,Compact,7,...,7,1.0,1.0
01,AL,Compact,15,...,3,1.0,1.0
01,AL,Compact,65,...,7,1.0,1.0
01,AL,Compact,97,...,1,1.0,1.0
01,AL,Compact,75,...,4,1.0,1.0
01,AL,Compact,117,...,3,0.8698031860721481,0.8852525250584269
01,AL,Compact,47,...,7,1.0,1.0
01,AL,Compact,81,...,2,1.0,1.0
01,AL,Compact,73,...,6,1.0,1.0
01,AL,Compact,109,...,2,1.0,1.0
01,AL,Compact,101,...,7,1.0,1.0
01,AL,Compact,103,...,5,1.0,1.0
01,AL,Compact,51,...,7,0.5573153552021105,0.5330594596892945
01,AL,Compact,99,...,7,1.0,1.0
01,AL,Compact,49,...,3,1.0,1.0
01,AL,Compact,9,...,4,1.0,1.0
01,AL,Compact,117,...,6,0.13019681392785185,0.11474747494157311
01,AL,Compact,113,...,2,1.0,1.0
01,AL,Compact,83,...,5,1.0,1.0
01,AL,Compact,59,...,4,1.0,1.0
01,AL,Compact,39,...,1,1.0,1.0
01,AL,Compact,69,...,2,1.0,1.0
01,AL,Compact,5,...,2,1.0,1.0
01,AL,Compact,61,...,2,1.0,1.0
01,AL,Compact,45,...,2,1.0,1.0
01,AL,Compact,93,...,4,1.0,1.0
01,AL,Compact,43,...,4,1.0,1.0
01,AL,Compact,55,...,3,1.0,1.0
01,AL,Compact,119,...,7,1.0,1.0
01,AL,Compact,121,...,3,1.0,1.0
01,AL,Compact,123,...,2,1.0,1.0
01,AL,Compact,71,...,5,1.0,1.0
01,AL,Compact,1,...,7,1.0,1.0
01,AL,Compact,31,...,2,1.0,1.0
01,AL,Compact,91,...,7,1.0,1.0
01,AL,Compact,17,...,2,1.0,1.0
01,AL,Compact,33,...,4,1.0,1.0
01,AL,Compact,77,...,4,1.0,1.0
01,AL,Compact,125,...,4,0.7868592830422698,0.8195044652772889
01,AL,Compact,115,...,3,1.0,1.0
01,AL,Compact,27,...,2,0.1471717563744022,0.24292176567791554
01,AL,Compact,27,...,3,0.8528282436255978,0.7570782343220845
01,AL,Compact,95,...,5,1.0,1.0
01,AL,Compact,131,...,7,1.0,1.0
01,AL,Compact,111,...,2,1.0,1.0
01,AL,Compact,125,...,7,0.21314071695772974,0.18049553472271102
01,AL,Compact,51,...,2,0.4426846447978895,0.46694054031070525
01,AL,Compact,25,...,7,1.0,1.0
01,AL,Compact,129,...,7,1.0,1.0
01,AL,Compact,85,...,7,1.0,1.0
01,AL,Compact,107,...,4,1.0,1.0
01,AL,Compact,23,...,7,1.0,1.0
01,AL,Compact,41,...,7,1.0,1.0
01,AL,Compact,67,...,2,1.0,1.0
01,AL,Compact,13,...,7,1.0,1.0
01,AL,Compact,53,...,1,1.0,1.0
01,AL,Compact,127,...,4,1.0,1.0
01,AL,Compact,35,...,1,0.9210661117745359,0.875183551928456
01,AL,Compact,3,...,1,1.0,1.0
01,AL,Compact,11,...,2,1.0,1.0
01,AL,Compact,57,...,4,1.0,1.0
01,AL,Compact,21,...,7,1.0,1.0
01,AL,Compact,79,...,4,1.0,1.0
01,AL,Compact,37,...,2,1.0,1.0
01,AL,Compact,63,...,7,1.0,1.0
01,AL,Compact,105,...,7,1.0,1.0
01,AL,Compact,29,...,3,1.0,1.0
01,AL,Compact,133,...,4,1.0,1.0
01,AL,Compact,19,...,3,1.0,1.0
01,AL,Compact,35,...,7,0.07893388822546414,0.12481644807154407
04,AZ,Compact,13,...,5,0.1763077827403204,0.21724248488904951
04,AZ,Compact,13,...,7,0.1747363622163417,0.13829983793359954
04,AZ,Compact,13,...,4,0.0726942769344607,0.07867329047244619
04,AZ,Compact,13,...,6,0.19412443771553586,0.20492768179097845
04,AZ,Compact,5,...,1,1.0,1.0
04,AZ,Compact,15,...,1,1.0,1.0
04,AZ,Compact,25,...,1,0.9297912347862378,0.8928882009825955
04,AZ,Compact,25,...,4,0.07020876521376215,0.10711179901740447
04,AZ,Compact,3,...,3,1.0,1.0
04,AZ,Compact,13,...,8,0.19010611262309104,0.16739979306415353
04,AZ,Compact,19,...,2,0.7173706958445296,0.6749293251869403
04,AZ,Compact,1,...,1,1.0,1.0
04,AZ,Compact,13,...,9,0.19203102777025025,0.19345691184977204
04,AZ,Compact,27,...,4,1.0,1.0
04,AZ,Compact,19,...,3,0.28262930415546994,0.3250706748130598
04,AZ,Compact,7,...,4,1.0,1.0
04,AZ,Compact,21,...,3,0.5926646953879764,0.5061357036746942
04,AZ,Compact,17,...,1,1.0,1.0
04,AZ,Compact,9,...,3,1.0,1.0
04,AZ,Compact,12,...,4,1.0,1.0
04,AZ,Compact,23,...,3,1.0,1.0
04,AZ,Compact,21,...,4,0.40733530461202316,0.4938642963253057
04,AZ,Compact,11,...,3,1.0,1.0
05,AR,Compact,45,...,2,1.0,1.0
05,AR,Compact,23,...,1,1.0,1.0
05,AR,Compact,9,...,1,1.0,1.0
05,AR,Compact,75,...,1,1.0,1.0
05,AR,Compact,37,...,1,1.0,1.0
05,AR,Compact,143,...,3,1.0,1.0
05,AR,Compact,65,...,1,1.0,1.0
05,AR,Compact,41,...,4,1.0,1.0
05,AR,Compact,119,...,2,1.0,1.0
05,AR,Compact,77,...,1,1.0,1.0
05,AR,Compact,3,...,4,1.0,1.0
05,AR,Compact,145,...,2,0.6894078507249246,0.5534439041315092
05,AR,Compact,145,...,1,0.3105921492750755,0.44655609586849077
05,AR,Compact,97,...,4,1.0,1.0
05,AR,Compact,7,...,3,1.0,1.0
05,AR,Compact,55,...,1,1.0,1.0
05,AR,Compact,131,...,3,1.0,1.0
05,AR,Compact,69,...,4,1.0,1.0
05,AR,Compact,103,...,4,1.0,1.0
05,AR,Compact,51,...,4,1.0,1.0
05,AR,Compact,125,...,4,1.0,1.0
05,AR,Compact,93,...,1,1.0,1.0
05,AR,Compact,35,...,1,1.0,1.0
05,AR,Compact,83,...,3,1.0,1.0
05,AR,Compact,115,...,2,1.0,1.0
05,AR,Compact,17,...,4,1.0,1.0
05,AR,Compact,59,...,4,1.0,1.0
05,AR,Compact,5,...,1,1.0,1.0
05,AR,Compact,87,...,3,1.0,1.0
05,AR,Compact,85,...,2,1.0,1.0
05,AR,Compact,21,...,1,1.0,1.0
05,AR,Compact,121,...,1,1.0,1.0
05,AR,Compact,15,...,3,0.8303752859783671,0.8416542578757281
05,AR,Compact,91,...,4,1.0,1.0
05,AR,Compact,31,...,1,1.0,1.0
05,AR,Compact,71,...,3,1.0,1.0
05,AR,Compact,149,...,2,1.0,1.0
05,AR,Compact,111,...,1,1.0,1.0
05,AR,Compact,147,...,1,1.0,1.0
05,AR,Compact,73,...,4,1.0,1.0
05,AR,Compact,67,...,1,1.0,1.0
05,AR,Compact,139,...,4,1.0,1.0
05,AR,Compact,47,...,3,1.0,1.0
05,AR,Compact,1,...,1,1.0016732831632689,0.8300243528316755
05,AR,Compact,1,...,4,-0.0016732831632689678,0.16997564716832464
05,AR,Compact,107,...,1,1.0,1.0
05,AR,Compact,81,...,4,1.0,1.0
05,AR,Compact,13,...,4,1.0,1.0
05,AR,Compact,63,...,1,1.0,1.0
05,AR,Compact,123,...,1,1.0,1.0
05,AR,Compact,33,...,3,1.0,1.0
05,AR,Compact,133,...,4,1.0,1.0
05,AR,Compact,39,...,4,1.0,1.0
05,AR,Compact,109,...,4,1.0,1.0
05,AR,Compact,11,...,4,1.0,1.0
05,AR,Compact,113,...,4,1.0,1.0
05,AR,Compact,105,...,2,1.0,1.0
05,AR,Compact,95,...,1,1.0,1.0
05,AR,Compact,99,...,4,1.0,1.0
05,AR,Compact,89,...,1,1.0,1.0
05,AR,Compact,19,...,4,1.0,1.0
05,AR,Compact,101,...,1,1.0,1.0
05,AR,Compact,129,...,1,1.0,1.0
05,AR,Compact,53,...,4,1.0,1.0
05,AR,Compact,27,...,4,1.0,1.0
05,AR,Compact,117,...,1,1.0,1.0
05,AR,Compact,137,...,1,1.0,1.0
05,AR,Compact,61,...,4,1.0,1.0
05,AR,Compact,49,...,1,1.0,1.0
05,AR,Compact,79,...,4,1.0,1.0
05,AR,Compact,57,...,4,1.0,1.0
05,AR,Compact,29,...,2,1.0,1.0
05,AR,Compact,141,...,1,1.0,1.0
05,AR,Compact,15,...,1,0.16962471402163284,0.15834574212427188
05,AR,Compact,135,...,1,1.0,1.0
05,AR,Compact,43,...,4,1.0,1.0
05,AR,Compact,127,...,3,1.0,1.0
05,AR,Compact,25,...,4,1.0,1.0
06,CA,Compact,37,...,28,0.07547679167956227,0.11826747286263589
06,CA,Compact,37,...,44,0.07621539109201093,0.09040805786223878
06,CA,Compact,81,...,14,0.7804949800910767,0.8699209830852622
06,CA,Compact,37,...,43,0.12369736841448079,-0.12315821762332535
06,CA,Compact,67,...,7,0.4671022608996943,0.6075311208166239
06,CA,Compact,85,...,15,0.26707815521244266,0.29054673103884765
06,CA,Compact,67,...,9,0.0007722736622867447,0.002525754069099213
06,CA,Compact,95,...,3,1.0,1.0
06,CA,Compact,29,...,23,0.8663664940733032,0.871462781660566
06,CA,Compact,75,...,12,0.8944329342343439,0.9468342056541256
06,CA,Compact,17,...,4,1.0,1.0
06,CA,Compact,81,...,15,0.21948075026871391,0.13008227074867373
06,CA,Compact,65,...,36,0.22673842693937485,0.28483232134764574
06,CA,Compact,1,...,17,0.38064708368841016,0.4348514638392748
06,CA,Compact,37,...,27,0.044180250915337144,0.08953829971833434
06,CA,Compact,73,...,51,0.27469361262962017,0.043306613017965206
06,CA,Compact,99,...,10,0.9697160538531148,0.9681179442667014
06,CA,Compact,41,...,2,1.0,1.0
06,CA,Compact,15,...,1,1.0,1.0
06,CA,Compact,37,...,32,0.054675672418086796,0.06543320828156575
06,CA,Compact,1,...,13,0.5753512208725304,0.18541098280227103
06,CA,Compact,87,...,20,0.8382122861171136,0.8698439873180264
06,CA,Compact,1,...,15,0.043985831350270115,0.3796894167473485
06,CA,Compact,19,...,21,0.7598349086517371,0.6717315240830692
06,CA,Compact,37,...,29,0.06218247326545799,0.07770589545489111
06,CA,Compact,13,...,3,0.2687621939343478,0.24427771532816572
06,CA,Compact,97,...,2,0.9091867671372948,0.9379641895108004
06,CA,Compact,71,...,31,0.34133805951608703,0.2422004065850562
06,CA,Compact,37,...,47,0.07682237638772657,0.036147307207075006
06,CA,Compact,37,...,48,3.6629976115433136e-05,6.719576903387831e-05
06,CA,Compact,7,...,5,0.18595713608554015,0.1649130521945534
06,CA,Compact,53,...,20,1.0,1.0
06,CA,Compact,55,...,5,1.0,1.0
06,CA,Compact,37,...,40,0.04468250528281807,0.1234762532617515
06,CA,Compact,37,...,38,0.03880035017387704,0.17228087802375275
06,CA,Compact,9,...,16,1.0,1.0
06,CA,Compact,59,...,46,0.22157880592108944,0.1353390582614209
06,CA,Compact,37,...,34,0.05847078562752185,0.041217664257231355
06,CA,Compact,37,...,25,0.06934131915494096,0.14554627908644996
06,CA,Compact,77,...,9,1.0,1.0
06,CA,Compact,107,...,22,0.8927634329322033,0.9189290083416385
06,CA,Compact,97,...,5,0.09081323286270494,0.0620358104891994
06,CA,Compact,65,...,42,0.3145622704757468,0.3482207840256493
06,CA,Compact,37,...,37,0.12413878598713274,-0.1189877448005592
06,CA,Compact,83,...,24,1.0,1.0
06,CA,Compact,67,...,6,0.5270869201098949,0.38316112718868506
06,CA,Compact,73,...,52,0.17295760162255586,0.32021173310962664
06,CA,Compact,65,...,49,0.0928070237960745,0.13455390198469816
06,CA,Compact,73,...,50,0.21380238750869773,0.30564554821630535
06,CA,Compact,111,...,26,0.8547474274322618,0.8404519873386774
06,CA,Compact,37,...,30,0.05991193003081694,0.12062481935917359
06,CA,Compact,101,...,5,1.0,1.0
06,CA,Compact,37,...,33,0.0813495372630699,0.14219213520252083
06,CA,Compact,71,...,35,0.3056374163167921,0.20566195931465237
06,CA,Compact,23,...,1,1.0,1.0
06,CA,Compact,59,...,39,0.23745916066306708,0.19777673494868753
06,CA,Compact,13,...,11,0.6808883636927696,0.6708421119538607
06,CA,Compact,103,...,1,1.0,1.0
06,CA,Compact,85,...,19,0.37569406724239207,0.2749656927762309
06,CA,Compact,11,...,5,1.0,1.0
06,CA,Compact,105,...,1,1.0,1.0
06,CA,Compact,25,...,36,1.0,1.0
06,CA,Compact,113,...,5,0.937930479616865,0.9694338854572683
06,CA,Compact,59,...,48,0.27456026583406923,0.21882111085716646
06,CA,Compact,71,...,8,0.317402337489284,0.5259300607631661
06,CA,Compact,71,...,16,0.03559738067377223,0.026189294013770802
06,CA,Compact,73,...,53,0.25847377254850357,0.213256526783237
06,CA,Compact,7,...,1,0.8140428639144599,0.8350869478054467
06,CA,Compact,59,...,45,0.2071059613442807,0.3233618721783488
06,CA,Compact,29,...,22,0.13363350592669668,0.1285372183394339
06,CA,Compact,27,...,16,1.0,1.0
06,CA,Compact,39,...,16,1.0,1.0
06,CA,Compact,65,...,41,0.352468785791387,0.22559380383976455
06,CA,Compact,61,...,4,1.0,1.0
06,CA,Compact,85,...,18,0.35721899506505655,0.43448698614761383
06,CA,Compact,73,...,49,0.08007262569062339,0.11757957887286577
06,CA,Compact,79,...,24,1.0,1.0
06,CA,Compact,69,...,20,1.0,1.0
06,CA,Compact,111,...,30,0.12569715292600564,0.14921369626255757
06,CA,Compact,89,...,1,1.0,1.0
06,CA,Compact,5,...,16,1.0,1.0
06,CA,Compact,37,...,35,0.01001502908157045,0.01923326779724478
06,CA,Compact,13,...,15,0.05033252039358985,0.08486272140334469
06,CA,Compact,19,...,16,0.24016509134826222,0.3282684759169311
06,CA,Compact,47,...,10,0.797008125520129,0.8143468602192233
06,CA,Compact,31,...,22,1.0,1.0
06,CA,Compact,45,...,5,1.0,1.0
