stateFP,state,maptype,countyFP,county,district,demPercentage,repPercentage
01,AL,Compact,19,...,3,1.0,1.0
01,AL,Compact,67,...,2,1.0,1.0
01,AL,Compact,3,...,1,1.0,1.0
01,AL,Compact,75,...,4,1.0,1.0
01,AL,Compact,63,...,7,1.0,1.0
01,AL,Compact,53,...,1,1.0,1.0
01,AL,Compact,11,...,2,1.0,1.0
01,AL,Compact,35,...,1,0.887348508792379,0.8924156047552428
01,AL,Compact,23,...,7,1.0,1.0
01,AL,Compact,7,...,7,1.0,1.0
01,AL,Compact,15,...,3,1.0,1.0
01,AL,Compact,113,...,2,1.0,1.0
01,AL,Compact,71,...,5,1.0,1.0
01,AL,Compact,87,...,2,1.0,1.0
01,AL,Compact,9,...,4,1.0,1.0
01,AL,Compact,131,...,7,1.0,1.0
01,AL,Compact,27,...,2,0.18683463074170362,0.23704614173887972
01,AL,Compact,73,...,6,1.0,1.0
01,AL,Compact,97,...,1,1.0,1.0
01,AL,Compact,105,...,7,1.0,1.0
01,AL,Compact,125,...,7,0.21270802562396104,0.1722033408770047
01,AL,Compact,109,...,2,1.0,1.0
01,AL,Compact,57,...,4,1.0,1.0
01,AL,Compact,103,...,5,1.0,1.0
01,AL,Compact,91,...,7,1.0,1.0
01,AL,Compact,127,...,4,1.0,1.0
01,AL,Compact,37,...,2,1.0,1.0
01,AL,Compact,107,...,4,1.0,1.0
01,AL,Compact,83,...,5,1.0,1.0
01,AL,Compact,17,...,2,1.0,1.0
01,AL,Compact,55,...,3,1.0,1.0
01,AL,Compact,49,...,3,1.0,1.0
01,AL,Compact,65,...,7,1.0,1.0
01,AL,Compact,89,...,5,1.0,1.0
01,AL,Compact,59,...,4,1.0,1.0
01,AL,Compact,121,...,3,1.0,1.0
01,AL,Compact,69,...,2,1.0,1.0
01,AL,Compact,129,...,7,1.0,1.0
01,AL,Compact,133,...,4,1.0,1.0
01,AL,Compact,111,...,2,1.0,1.0
01,AL,Compact,51,...,7,0.5550523867267749,0.5217247361332888
01,AL,Compact,77,...,4,1.0,1.0
01,AL,Compact,101,...,7,1.0,1.0
01,AL,Compact,117,...,3,0.8614367428268539,0.8885502224269313
01,AL,Compact,79,...,4,1.0,1.0
01,AL,Compact,35,...,7,0.11265149120762098,0.10758439524475717
01,AL,Compact,43,...,4,1.0,1.0
01,AL,Compact,93,...,4,1.0,1.0
01,AL,Compact,25,...,7,1.0,1.0
01,AL,Compact,123,...,2,1.0,1.0
01,AL,Compact,41,...,7,1.0,1.0
01,AL,Compact,13,...,7,1.0,1.0
01,AL,Compact,85,...,7,1.0,1.0
01,AL,Compact,45,...,2,1.0,1.0
01,AL,Compact,39,...,1,1.0,1.0
01,AL,Compact,95,...,5,1.0,1.0
01,AL,Compact,33,...,4,1.0,1.0
01,AL,Compact,27,...,3,0.8131653692582964,0.7629538582611204
01,AL,Compact,81,...,2,1.0,1.0
01,AL,Compact,29,...,3,1.0,1.0
01,AL,Compact,51,...,2,0.444947613273225,0.47827526386671104
