stateFP,state,maptype,countyFP,county,district,dem_CountySplitValue,rep_CountySplitValue
stateFP,state,current,8011,"Bent County, Colorado",4,1.0,1.0
stateFP,state,current,5001,"Arkansas County, Arkansas",1,1.0,1.0
stateFP,state,current,6075,"San Francisco County, California",12,0.8187044838600127,0.9309426075655136
stateFP,state,current,25001,"Barnstable County, Massachusetts",9,1.0,1.0
stateFP,state,current,51161,"Roanoke County, Virginia",5,0.00025160837781304746,0.00032557155221642653
stateFP,state,current,29145,"Newton County, Missouri",7,1.0,1.0
stateFP,state,current,12109,"St. Johns County, Florida",6,0.13036026452789895,0.17631421286719706
stateFP,state,current,17197,"Will County, Illinois",1,0.12142701714287485,0.17163846149542797
stateFP,state,current,13135,"Gwinnett County, Georgia",7,0.7404765292680677,0.6795362811812606
stateFP,state,current,6029,"Kern County, California",8,2.4454821010003544e-06,3.652853318080453e-06
stateFP,state,current,6103,"Tehama County, California",1,1.0,1.0
stateFP,state,current,48085,"Collin County, Texas",26,1.4832939479201341e-05,1.9509247660367307e-05
stateFP,state,current,27163,"Washington County, Minnesota",2,0.15884307023105718,0.16863017034566397
stateFP,state,current,17105,"Livingston County, Illinois",16,1.0,1.0
stateFP,state,current,40017,"Canadian County, Oklahoma",4,0.14888826278913764,0.1781851721410527
stateFP,state,current,28101,"Newton County, Mississippi",3,1.0,1.0
stateFP,state,current,36005,"Bronx County, New York",16,0.19055984597800993,0.2638363982517063
stateFP,state,current,18109,"Morgan County, Indiana",9,0.6436742250372282,0.6607119112766161
stateFP,state,current,18117,"Orange County, Indiana",9,1.0,1.0
stateFP,state,current,21009,"Barren County, Kentucky",2,1.0,1.0
stateFP,state,current,48191,"Hall County, Texas",13,1.0,1.0
stateFP,state,current,54073,"Pleasants County, West Virginia",1,1.0,1.0
stateFP,state,current,33015,"Rockingham County, New Hampshire",1,0.7962999496528333,0.800617415365424
stateFP,state,current,48067,"Cass County, Texas",4,1.0,1.0
stateFP,state,current,13067,"Cobb County, Georgia",13,0.2605537019877688,0.20381961306422935
stateFP,state,current,31177,"Washington County, Nebraska",1,1.0,1.0
stateFP,state,current,35028,"Los Alamos County, New Mexico",3,1.0,1.0
stateFP,state,current,48377,"Presidio County, Texas",23,1.0,1.0
stateFP,state,current,48407,"San Jacinto County, Texas",8,1.0,1.0
stateFP,state,current,28107,"Panola County, Mississippi",2,1.0,1.0
stateFP,state,current,17165,"Saline County, Illinois",15,1.0,1.0
stateFP,state,current,27061,"Itasca County, Minnesota",8,1.0,1.0
stateFP,state,current,6085,"Santa Clara County, California",19,0.3501028934399123,0.348388174602497
stateFP,state,current,54067,"Nicholas County, West Virginia",3,1.0,1.0
stateFP,state,current,24013,"Carroll County, Maryland",8,0.6278391913483792,0.5897961186175547
stateFP,state,current,48497,"Wise County, Texas",13,0.6530177613341811,0.6924334868918942
stateFP,state,current,13189,"McDuffie County, Georgia",10,1.0,1.0
stateFP,state,current,16071,"Oneida County, Idaho",2,1.0,1.0
stateFP,state,current,23025,"Somerset County, Maine",2,1.0,1.0
stateFP,state,current,42117,"Tioga County, Pennsylvania",10,0.9434107248000784,0.9145107765068868
stateFP,state,current,21225,"Union County, Kentucky",1,1.0,1.0
stateFP,state,current,42031,"Clarion County, Pennsylvania",3,0.2520728247056704,0.36078395335870694
stateFP,state,current,20135,"Ness County, Kansas",1,1.0,1.0
