stateFP,state,maptype,countyFP,county,district,dem_CountySplitValue,rep_CountySplitValue
stateFP,state,current,8011,"Bent County, Colorado",4,1.0,1.0
stateFP,state,current,5001,"Arkansas County, Arkansas",1,1.0,1.0
stateFP,state,current,6075,"San Francisco County, California",12,0.8429256429669546,0.8897766068860593
stateFP,state,current,25001,"Barnstable County, Massachusetts",9,1.0,1.0
stateFP,state,current,51161,"Roanoke County, Virginia",5,0.00025760976229419777,0.00032144416107314055
stateFP,state,current,29145,"Newton County, Missouri",7,1.0,1.0
stateFP,state,current,12109,"St. Johns County, Florida",6,0.13745713649278107,0.17750711259477703
stateFP,state,current,17197,"Will County, Illinois",1,0.10786805097647177,0.1751884760839365
stateFP,state,current,13135,"Gwinnett County, Georgia",7,0.7566962989298611,0.6730702461803946
stateFP,state,current,6029,"Kern County, California",8,5.672352634356332e-06,3.1143745781577333e-06
stateFP,state,current,6103,"Tehama County, California",1,1.0,1.0
stateFP,state,current,48085,"Collin County, Texas",26,1.1244905716002656e-05,2.023114011131013e-05
stateFP,state,current,27163,"Washington County, Minnesota",2,0.17284060184992983,0.16674189584064247
stateFP,state,current,17105,"Livingston County, Illinois",16,1.0,1.0
stateFP,state,current,40017,"Canadian County, Oklahoma",4,0.1365988046965007,0.180727060833138
stateFP,state,current,28101,"Newton County, Mississippi",3,1.0,1.0
stateFP,state,current,36005,"Bronx County, New York",16,0.18780995649976767,0.26051240313486845
stateFP,state,current,18109,"Morgan County, Indiana",9,0.657192743802104,0.6588100111632306
stateFP,state,current,18117,"Orange County, Indiana",9,1.0,1.0
stateFP,state,current,21009,"Barren County, Kentucky",2,1.0,1.0
stateFP,state,current,48191,"Hall County, Texas",13,1.0,1.0
stateFP,state,current,54073,"Pleasants County, West Virginia",1,1.0,1.0
stateFP,state,current,33015,"Rockingham County, New Hampshire",1,0.7998166719089566,0.7979126034747333
stateFP,state,current,48067,"Cass County, Texas",4,1.0,1.0
stateFP,state,current,13067,"Cobb County, Georgia",13,0.23503544276822597,0.1933008361645605
stateFP,state,current,31177,"Washington County, Nebraska",1,1.0,1.0
stateFP,state,current,35028,"Los Alamos County, New Mexico",3,1.0,1.0
stateFP,state,current,48377,"Presidio County, Texas",23,1.0,1.0
stateFP,state,current,48407,"San Jacinto County, Texas",8,1.0,1.0
stateFP,state,current,28107,"Panola County, Mississippi",2,1.0,1.0
stateFP,state,current,17165,"Saline County, Illinois",15,1.0,1.0
stateFP,state,current,27061,"Itasca County, Minnesota",8,1.0,1.0
stateFP,state,current,6085,"Santa Clara County, California",19,0.3322178221275074,0.3526941806661524
stateFP,state,current,54067,"Nicholas County, West Virginia",3,1.0,1.0
stateFP,state,current,24013,"Carroll County, Maryland",8,0.6313959453091335,0.5914462128422476
stateFP,state,current,48497,"Wise County, Texas",13,0.6861785229397873,0.6914645319625918
stateFP,state,current,13189,"McDuffie County, Georgia",10,1.0,1.0
stateFP,state,current,16071,"Oneida County, Idaho",2,1.0,1.0
stateFP,state,current,23025,"Somerset County, Maine",2,1.0,1.0
stateFP,state,current,42117,"Tioga County, Pennsylvania",10,0.9245417397303444,0.91959637923775
stateFP,state,current,21225,"Union County, Kentucky",1,1.0,1.0
stateFP,state,current,42031,"Clarion County, Pennsylvania",3,0.31138584518441026,0.31749193944263715
stateFP,state,current,20135,"Ness County, Kansas",1,1.0,1.0
