state,district,winning party,margin,votes,opponent
North Carolina,07,Democratic,0.2,336736,David Rouzer
Illinois,13,Republican,0.3,294385,David Gill
Utah,04,Democratic,0.3,245277,Mia B. Love
Michigan,01,Republican,0.5,347037,Gary McDowell
Florida,18,Democratic,0.6,330665,Allen West
Arizona,02,Democratic,0.8,292279,Martha McSally
Massachusetts,06,Democratic,1.1,389852,Richard Tisei
Minnesota,06,Republican,1.2,355153,Jim Graves
Illinois,10,Democratic,1.3,264454,Robert J. Dold
Indiana,02,Republican,1.4,273475,Brendan Mullen
New York,27,Republican,1.5,329768,Kathy Hochul
Nebraska,02,Republican,1.6,263731,John Ewing
New York,21,Democratic,1.9,268741,Matthew Doheny
Colorado,06,Republican,2,342891,Joe Miklosi
California,52,Democratic,2.4,295910,Brian Bilbray
Connecticut,05,Democratic,2.6,284747,Andrew Roraback
California,07,Democratic,3.4,273291,Dan Lungren
Florida,10,Republican,3.5,318269,Val Demings
Pennsylvania,12,Republican,3.5,338941,Mark Critz
Arizona,01,Democratic,3.6,251595,Jonathon Paton
New York,23,Republican,3.6,279796,Nate Shinagawa
New York,18,Democratic,3.7,295436,Nan Hayworth
New Hampshire,01,Democratic,3.8,344830,Frank Guinta
Kentucky,06,Republican,3.9,303000,Ben Chandler
Arizona,09,Democratic,4.1,250141,Vernon B. Parker
Ohio,16,Republican,4.1,355765,Betty Sutton
California,15,Democratic,4.2,231034,Pete Stark
New York,01,Democratic,4.6,294578,Randy Altschuler
New Hampshire,02,Democratic,4.8,337188,Charles Bass
Texas,23,Democratic,4.8,192169,Francisco Canseco
New York,11,Republican,5,214755,Mark Murphy
New York,19,Republican,5.3,305882,Julian Schreibman
New York,24,Democratic,5.3,303567,Ann Marie Buerkle
California,26,Democratic,5.4,263935,Tony Strickland
California,10,Republican,5.4,209199,Jose Hernandez
Florida,02,Republican,5.5,333718,Al Lawson
California,36,Democratic,5.9,208142,Mary Bono Mack
North Carolina,09,Republican,6.1,375690,Jennifer Roberts
Michigan,11,Republican,6.4,358124,Syed Taj
Ohio,06,Republican,6.5,308980,Charlie Wilson
Illinois,17,Democratic,6.6,288152,Bobby Schilling
West Virginia,03,Democratic,7.1,191518,Rick Snuffer
Florida,16,Republican,7.2,349076,Keith Fitzgerald
Georgia,12,Democratic,7.4,259121,Lee Anderson
