State,County,District,DemVotes,RepVotes,OtherVotes
alabama,Montgomery,2,28291,18034,0
alabama,Houston,2,9887,21977,0
alabama,Elmore,2,8281,21190,0
alabama,Autauga,2,6211,13388,0
alabama,Coffee,2,4114,11702,0
alabama,Dale,2,4258,9920,0
alabama,Covington,2,2357,9602,0
alabama,Pike,2,4552,5794,0
alabama,Geneva,2,1542,7362,0
alabama,Barbour,2,4108,4166,0
alabama,Butler,2,3677,4395,0
alabama,Henry,2,2245,4416,0
alabama,Crenshaw,2,1769,3576,0
alabama,Conecuh,2,2460,2391,0
alabama,Bullock,2,2829,849,0
alabama,Mobile,1,59848,71946,0
alabama,Baldwin,1,17689,59658,0
alabama,Escambia,1,3763,8310,0
alabama,Monroe,1,3841,4974,0
alabama,Washington,1,2000,4797,0
alabama,Clarke,1,1216,2631,0
alabama,Jefferson,6,55121,96353,0
alabama,Shelby,6,23192,60171,0
alabama,Blount,6,1834,16109,0
alabama,Chilton,6,2190,11491,0
alabama,Bibb,6,1559,5296,0
alabama,Coosa,6,1438,2810,0
alabama,Etowah,4,8965,25280,0
alabama,Cullman,4,3356,25227,0
alabama,Marshall,4,4266,22904,0
alabama,Tuscaloosa,4,5448,17519,0
alabama,Walker,4,4097,18869,0
alabama,DeKalb,4,3698,17457,0
alabama,Colbert,4,6897,13659,0
alabama,Lawrence,4,3164,8567,0
alabama,Marion,4,1272,8570,0
alabama,Franklin,4,1866,6837,0
alabama,Winston,4,826,6826,0
alabama,Fayette,4,1482,5847,0
alabama,Lamar,4,823,4530,0
alabama,Blount,4,120,1301,0
alabama,Cherokee,4,86,513,0
alabama,Jackson,4,5,51,0
alabama,Lee,3,20902,28175,0
alabama,Calhoun,3,12464,24631,0
alabama,St. Clair,3,5574,24249,0
alabama,Talladega,3,10202,15950,0
alabama,Tallapoosa,3,4673,10967,0
alabama,Montgomery,3,6912,8153,0
alabama,Russell,3,8016,7001,0
alabama,Chambers,3,4768,6507,0
alabama,Cherokee,3,1276,6576,0
alabama,Randolph,3,1805,5768,0
alabama,Macon,3,5967,1235,0
alabama,Clay,3,1045,4321,0
alabama,Cleburne,3,462,3950,0
alabama,Jefferson,7,90900,0,0
alabama,Tuscaloosa,7,27481,0,0
alabama,Montgomery,7,14693,0,0
alabama,Dallas,7,11195,0,0
alabama,Marengo,7,5262,0,0
alabama,Hale,7,4657,0,0
alabama,Sumter,7,4534,0,0
alabama,Pickens,7,4187,0,0
alabama,Clarke,7,4014,0,0
alabama,Lowndes,7,3831,0,0
alabama,Greene,7,3610,0,0
alabama,Choctaw,7,3517,0,0
alabama,Wilcox,7,3478,0,0
alabama,Perry,7,3335,0,0
alabama,Madison,5,66012,74528,0
alabama,Morgan,5,10767,28487,0
alabama,Limestone,5,10261,22999,0
alabama,Lauderdale,5,10225,20369,0
alabama,Jackson,5,3511,11992,0
alaska,,1,103755,123173,0
arizona,Pinal,1,28642,29093,0
arizona,Coconino,1,33052,17248,0
arizona,Pima,1,22498,26325,0
arizona,Navajo,1,18016,18329,0
arizona,Apache,1,16892,8067,0
arizona,Yavapai,1,7914,6965,0
arizona,Graham,1,3658,6886,0
arizona,Gila,1,4020,2812,0
arizona,Greenlee,1,1160,1379,0
arizona,Maricopa,1,284,44,0
arizona,Mohave,1,170,70,0
arizona,Pima,2,127981,97815,0
arizona,Cochise,2,17824,25437,0
arizona,Yavapai,4,30557,59643,1179
arizona,Mohave,4,16653,51712,964
arizona,Pinal,4,18398,32869,733
arizona,Yuma,4,5722,13469,211
arizona,Maricopa,4,6026,13116,207
arizona,Gila,4,3511,9793,168
arizona,La Paz,4,1261,3146,69
arizona,Maricopa,7,98021,0,16464
arizona,Maricopa,8,121545,152063,0
arizona,Maricopa,9,139907,90019,0
arizona,Maricopa,6,125933,156246,0
arizona,Pima,3,47486,22895,0
arizona,Maricopa,3,29834,22718,0
arizona,Yuma,3,14212,9140,0
arizona,Santa Cruz,3,9106,4313,0
arizona,Pinal,3,96,3,0
arizona,Maricopa,5,113297,166186,0
arkansas,Craighead,1,8069,17370,564
arkansas,Lonoke,1,4255,15724,506
arkansas,Baxter,1,3174,10700,354
arkansas,Crittenden,1,6041,5585,175
arkansas,Greene,1,2171,8464,268
arkansas,Mississippi,1,3647,6451,255
arkansas,Independence,1,1980,7869,240
arkansas,Cleburne,1,1503,7928,185
arkansas,Poinsett,1,1266,4636,164
arkansas,St. Francis,1,3033,2585,129
arkansas,Cross,1,1412,4201,102
arkansas,Sharp,1,1086,4385,129
arkansas,Randolph,1,1139,4258,186
arkansas,Phillips,1,3117,2178,72
arkansas,Arkansas,1,1403,3428,86
arkansas,Lawrence,1,922,3616,126
arkansas,Izard,1,837,3518,85
arkansas,Stone,1,954,3344,107
arkansas,Jackson,1,1081,3013,73
arkansas,Clay,1,842,3182,90
arkansas,Fulton,1,933,2790,75
