IL,U.S. House District 6,6,156819,139939
NJ,U.S. House District 4,4,124097,160051
TN,U.S. House District 9,9,143690,34710
MN,U.S. House District 7,7,146669,134670
CA,U.S. House District 42,42,84612,113499
FL,U.S. House District 23,23,161611,99446
SC,U.S. House District 1,1,145455,141473
CA,U.S. House District 52,52,185673,105169
MI,U.S. House District 7,7,136330,158730
FL,U.S. House District 7,7,183113,134285
DE,U.S. House At-Large,1,227353,125384
ID,U.S. House District 1,1,96932,197167
FL,U.S. House District 13,13,182717,134254
VT,U.S. House At-Large,1,188547,70705
NC,U.S. House District 2,2,148959,167382
CA,U.S. House District 33,33,216166,92596
NY,U.S. House District 24,24,114102,129276
OH,U.S. House District 7,7,105105,150317
CA,U.S. House District 45,45,155787,144363
NC,U.S. House District 10,10,112386,164060
NY,U.S. House District 8,8,166981,0
NM,U.S. House District 3,3,155201,76427
VA,U.S. House District 7,7,176079,169295
CA,U.S. House District 8,8,0,163530
ME,U.S. House District 2,2,129556,131466
OK,U.S. House District 1,1,103042,150129
HI,U.S. House District 1,1,134603,42480
CO,U.S. House District 2,2,252220,142617
MI,U.S. House District 4,4,106540,178510
WI,U.S. House District 5,5,137536,224398
TX,U.S. House District 16,16,122676,48495
AR,U.S. House District 1,1,57665,138471
NY,U.S. House District 1,1,115795,130919
MI,U.S. House District 3,3,134185,169107
NY,U.S. House District 12,12,194974,27838
NM,U.S. House District 1,1,147336,90507
IA,U.S. House District 4,4,146698,157221
IN,U.S. House District 4,4,85142,153546
KS,U.S. House District 3,3,164253,136104
CA,U.S. House District 20,20,176526,0
NC,U.S. House District 6,6,122323,159651
VA,U.S. House District 11,11,219191,83023
MD,U.S. House District 3,3,186552,78352
NY,U.S. House District 20,20,164325,84178
MN,U.S. House District 2,2,177971,159373
NJ,U.S. House District 12,12,168253,77270
OH,U.S. House District 14,14,134059,166483
CA,U.S. House District 11,11,186414,65520
MD,U.S. House District 1,1,109617,176595
NY,U.S. House District 19,19,132001,124428
GA,U.S. House District 12,12,101503,148986
CA,U.S. House District 27,27,199581,0
IA,U.S. House District 1,1,169348,152940
CA,U.S. House District 49,49,157215,122818
SC,U.S. House District 7,7,96564,142681
RI,U.S. House District 1,1,116099,57567
FL,U.S. House District 4,4,123351,248420
OR,U.S. House District 1,1,210797,107589
IN,U.S. House District 8,8,86816,157321
LA,U.S. House District 5,5,67118,149018
CA,U.S. House District 38,38,136378,62042
NY,U.S. House District 3,3,145060,103278
UT,U.S. House District 3,3,70686,174856
CA,U.S. House District 40,40,91614,0
TX,U.S. House District 30,30,166102,0
TN,U.S. House District 3,3,84632,156385
FL,U.S. House District 25,25,84173,128672
NC,U.S. House District 1,1,188074,81486
CO,U.S. House District 5,5,104930,159932
MI,U.S. House District 1,1,145246,187251
CA,U.S. House District 1,1,130025,158783
SC,U.S. House District 2,2,109199,144642
TX,U.S. House District 13,13,34859,168090
TX,U.S. House District 6,6,116040,135779
FL,U.S. House District 9,9,172172,124565
NY,U.S. House District 9,9,167199,19336
CA,U.S. House District 31,31,103099,74130
NY,U.S. House District 26,26,159420,58701
TX,U.S. House District 12,12,90676,172205
KY,U.S. House District 4,4,90533,162943
NC,U.S. House District 7,7,119606,155705
TX,U.S. House District 5,5,78394,130404
WI,U.S. House District 6,6,144530,180314
CA,U.S. House District 3,3,119375,90271
WA,U.S. House District 6,6,187802,108361
TX,U.S. House District 18,18,138423,38306
UT,U.S. House District 4,4,134964,134270
NY,U.S. House District 2,2,106996,122103
IL,U.S. House District 4,4,104414,11237
TX,U.S. House District 14,14,90937,137582
VA,U.S. House District 2,2,139571,133458
OH,U.S. House District 13,13,149271,96225
PA,U.S. House District 17,17,181187,141145
ME,U.S. House District 1,1,198853,109714
TX,U.S. House District 27,27,75761,124958
IL,U.S. House District 12,12,116985,134009
MI,U.S. House District 8,8,172880,159782
NY,U.S. House District 14,14,100044,17762
TN,U.S. House District 8,8,74126,166400
CA,U.S. House District 22,22,96134,110306
SC,U.S. House District 6,6,144765,58282
MI,U.S. House District 11,11,181912,158463
NH,U.S. House District 1,1,155710,130955
WA,U.S. House District 10,10,142656,89994
WI,U.S. House District 8,8,119263,209400
FL,U.S. House District 19,19,128106,211465
IL,U.S. House District 7,7,149955,20335
CA,U.S. House District 13,13,260427,0
WA,U.S. House District 2,2,198402,0
OK,U.S. House District 4,4,78088,149227
GA,U.S. House District 14,14,53981,175743
CA,U.S. House District 29,29,122251,29509
NC,U.S. House District 9,9,136478,138338
LA,U.S. House District 4,4,72934,139326
MI,U.S. House District 6,6,134082,147436
MN,U.S. House District 5,5,267698,74440
CA,U.S. House District 51,51,101137,41749
SC,U.S. House District 3,3,70046,153338
CA,U.S. House District 9,9,103345,81512
