state_id,fips,name,county_dem_result,county_rep_result
IL,17031,Cook,1381905,344937
IL,17043,DuPage,211635,151919
IL,17089,Kane,96570,73262
IL,17097,Lake,154399,97170
IL,17111,McHenry,59873,56728
NJ,34021,Mercer,86118,39206
NJ,34025,Monmouth,126940,130063
NJ,34029,Ocean,79103,139886
TN,47157,Shelby,178099,102799
MN,27005,Becker,7664,7083
MN,27007,Beltrami,9612,8046
MN,27011,Big Stone,1420,1158
MN,27023,Chippewa,3115,2412
MN,27027,Clay,16317,7934
MN,27029,Clearwater,1507,1981
MN,27033,Cottonwood,2183,2791
MN,27041,Douglas,8577,9419
MN,27051,Grant,1820,1314
MN,27067,Kandiyohi,9611,8970
MN,27069,Kittson,1515,842
MN,27073,Lac Qui Parle,1973,1379
MN,27077,Lake of the Woods,844,1001
MN,27081,Lincoln,1232,1182
MN,27083,Lyon,5117,4821
MN,27087,Mahnomen,1283,642
MN,27089,Marshall,2196,1907
MN,27085,McLeod,6545,8290
MN,27093,Meeker,4639,5625
MN,27101,Murray,1930,2170
MN,27107,Norman,1857,856
MN,27111,Otter Tail,13176,14191
MN,27113,Pennington,2977,2391
MN,27117,Pipestone,1420,2281
MN,27119,Polk,6660,5177
MN,27121,Pope,3004,2426
MN,27125,Red Lake,1032,638
MN,27127,Redwood,2949,3236
MN,27129,Renville,3393,2888
MN,27135,Roseau,2993,3473
MN,27143,Sibley,2866,3659
MN,27145,Stearns,27213,38353
MN,27149,Stevens,2487,1885
MN,27151,Swift,2309,1729
MN,27153,Todd,4128,5467
MN,27155,Traverse,893,627
MN,27167,Wilkin,1457,1123
MN,27173,Yellow Medicine,2216,2090
CA,06065,Riverside,343891,289550
FL,12011,Broward,297508,174865
FL,12086,Miami-Dade,299870,302965
SC,45013,Beaufort,33095,37552
SC,45015,Berkeley,31698,33963
SC,45019,Charleston,89131,57704
SC,45029,Colleton,6399,6651
SC,45035,Dorchester,24520,26353
CA,06073,San Diego,706248,430182
MI,26023,Branch,5097,9937
MI,26045,Eaton,25790,23956
MI,26059,Hillsdale,5139,11470
MI,26075,Jackson,26530,33653
MI,26091,Lenawee,17886,21908
MI,26115,Monroe,26592,34078
MI,26161,Washtenaw,124068,44007
FL,12095,Orange,125592,71936
FL,12117,Seminole,106343,91423
DE,10001,Kent,33162,24556
DE,10003,New Castle,150143,56213
DE,10005,Sussex,44048,44615
ID,16001,Ada,86193,95068
ID,16003,Adams,427,1291
ID,16009,Benewah,894,2471
ID,16015,Boise,800,2346
ID,16017,Bonner,6061,11067
ID,16021,Boundary,929,3005
ID,16027,Canyon,17690,40512
ID,16035,Clearwater,710,2188
ID,16045,Gem,1315,5173
ID,16049,Idaho County,1276,5191
ID,16055,Kootenai,16665,36669
ID,16057,Latah,8177,6307
ID,16061,Lewis,266,1006
ID,16069,Nez Perce,4930,8225
ID,16073,Owyhee,599,2586
ID,16075,Payette,1471,5464
ID,16079,Shoshone,1427,2328
ID,16085,Valley,2123,2608
ID,16087,Washington,790,2833
FL,12103,Pinellas,232512,199700
VT,50001,ADDISON,12269,4186
VT,50003,BENNINGTON,9723,3939
VT,50005,CALEDONIA,7080,4054
VT,50007,CHITTENDEN,57238,15268
VT,50009,ESSEX,1106,958
VT,50011,FRANKLIN,11047,6251
VT,50013,GRAND ISLE,2393,1141
VT,50015,LAMOILLE,8079,2771
VT,50017,ORANGE,8224,3614
VT,50019,ORLEANS,5569,3850
VT,50021,RUTLAND,14237,8841
VT,50023,WASHINGTON,19767,6182
VT,50025,WINDHAM,14207,3623
VT,50027,WINDSOR,17608,6027
NC,37069,Franklin,11118,13610
NC,37085,Harnett,13408,21057
NC,37101,Johnston,23922,41023
NC,37127,Nash,18228,18384
NC,37183,Wake,269653,151709
NC,37195,Wilson,14954,13462
CA,06037,Los Angeles,2166403,603359
NY,36011,Cayuga,10918,16679
NY,36067,Onondaga,90630,86833
NY,36075,Oswego,15065,23808
NY,36117,Wayne,12383,19188
OH,39005,Ashland,5968,12673
OH,39031,Coshocton,3703,8175
OH,39075,Holmes,1834,7115
OH,39077,Huron,7035,11727
OH,39083,Knox,7715,14810
OH,39093,Lorain,62904,49864
OH,39103,Medina,30269,43781
OH,39139,Richland,15909,27950
OH,39151,Stark,63801,74986
OH,39157,Tuscarawas,12252,20216
CA,06059,Orange,581435,492040
NC,37021,Buncombe,73275,44458
NC,37035,Catawba,17343,36040
NC,37045,Cleveland,11563,21799
NC,37071,Gaston,25738,45701
NC,37097,Iredell,22394,41139
NC,37109,Lincoln,8872,22654
NC,37149,Polk,3694,5483
NC,37161,Rutherford,6506,16431
NY,36047,Brooklyn,544221,62856
NY,36081,Queens,261983,25906
NM,35001,Bernalillo,143756,85218
NM,35007,Colfax,2474,1935
NM,35009,Curry,3319,6415
NM,35021,Harding,202,244
NM,35028,Los Alamos,6217,3087
NM,35031,McKinley,13995,3352
NM,35033,Mora,1788,464
NM,35037,Quay,1304,1646
NM,35039,Rio Arriba,9916,2324
NM,35041,Roosevelt,1506,2951
NM,35045,San Juan,14150,19753
NM,35047,San Miguel,7379,1552
NM,35043,Sandoval,30557,21509
NM,35049,Santa Fe,52692,11542
NM,35055,Taos,12098,1888
NM,35059,Union,468,931
VA,51007,Amelia,1926,3879
VA,51041,Chesterfield,81001,71086
VA,51047,Culpeper,7910,11239
VA,51075,Goochland,5248,7913
VA,51087,Henrico,92455,51768
VA,51109,Louisa,6256,8982
VA,51135,Nottoway,2401,2862
VA,51137,Orange,6007,8797
VA,51145,Powhatan,4333,10434
VA,51177,Spotsylvania,23718,27718
