state_id,race_name,seat,fips,name,county_dem_result,county_rep_result,reporting,precincts
IL,U.S. House District 6,6,17031,Cook,21705,18608,67,67
IL,U.S. House District 6,6,17043,DuPage,91991,75483,400,400
IL,U.S. House District 6,6,17089,Kane,22746,21446,63,63
IL,U.S. House District 6,6,17097,Lake,13702,14661,42,42
IL,U.S. House District 6,6,17111,McHenry,18857,16247,68,68
NJ,U.S. House District 4,4,34021,Mercer,19795,19049,73,73
NJ,U.S. House District 4,4,34025,Monmouth,82535,93491,301,301
NJ,U.S. House District 4,4,34029,Ocean,24436,50525,143,143
TN,U.S. House District 9,9,47157,Shelby,145139,34901,129,129
MN,U.S. House District 7,7,27005,Becker,7664,7083,48,48
MN,U.S. House District 7,7,27007,Beltrami,6822,4012,36,36
MN,U.S. House District 7,7,27011,Big Stone,1420,1158,23,23
MN,U.S. House District 7,7,27023,Chippewa,3115,2412,25,25
MN,U.S. House District 7,7,27027,Clay,16317,7934,58,58
MN,U.S. House District 7,7,27029,Clearwater,1507,1981,29,29
MN,U.S. House District 7,7,27033,Cottonwood,1719,1702,19,19
MN,U.S. House District 7,7,27041,Douglas,8577,9419,37,37
MN,U.S. House District 7,7,27051,Grant,1820,1314,23,23
MN,U.S. House District 7,7,27067,Kandiyohi,9611,8970,48,48
MN,U.S. House District 7,7,27069,Kittson,1515,842,39,39
MN,U.S. House District 7,7,27073,Lac Qui Parle,1973,1379,29,29
MN,U.S. House District 7,7,27077,Lake of the Woods,844,1001,17,17
MN,U.S. House District 7,7,27081,Lincoln,1232,1182,20,20
MN,U.S. House District 7,7,27083,Lyon,5117,4821,33,33
MN,U.S. House District 7,7,27087,Mahnomen,1283,642,19,19
MN,U.S. House District 7,7,27089,Marshall,2196,1907,60,60
MN,U.S. House District 7,7,27085,McLeod,6545,8290,28,28
MN,U.S. House District 7,7,27093,Meeker,4639,5625,30,30
MN,U.S. House District 7,7,27101,Murray,1930,2170,29,29
MN,U.S. House District 7,7,27107,Norman,1857,856,33,33
MN,U.S. House District 7,7,27111,Otter Tail,13176,14191,92,92
MN,U.S. House District 7,7,27113,Pennington,2977,2391,31,31
MN,U.S. House District 7,7,27117,Pipestone,1420,2281,22,22
MN,U.S. House District 7,7,27119,Polk,6660,5177,82,82
MN,U.S. House District 7,7,27121,Pope,3004,2426,31,31
MN,U.S. House District 7,7,27125,Red Lake,1032,638,21,21
MN,U.S. House District 7,7,27127,Redwood,2949,3236,43,43
MN,U.S. House District 7,7,27129,Renville,3393,2888,38,38
MN,U.S. House District 7,7,27135,Roseau,2993,3473,44,44
MN,U.S. House District 7,7,27143,Sibley,2866,3659,25,25
MN,U.S. House District 7,7,27145,Stearns,5009,6687,39,39
MN,U.S. House District 7,7,27149,Stevens,2487,1885,26,26
MN,U.S. House District 7,7,27151,Swift,2309,1729,30,30
MN,U.S. House District 7,7,27153,Todd,4128,5467,40,40
MN,U.S. House District 7,7,27155,Traverse,893,627,20,20
MN,U.S. House District 7,7,27167,Wilkin,1457,1123,32,32
MN,U.S. House District 7,7,27173,Yellow Medicine,2216,2090,30,30
CA,U.S. House District 42,42,06065,Riverside,100892,131040,380,380
FL,U.S. House District 23,23,12011,Broward,148833,89286,211,211
FL,U.S. House District 23,23,12086,Miami-Dade,12778,10160,22,22
SC,U.S. House District 1,1,45013,Beaufort,30456,36159,86,86
SC,U.S. House District 1,1,45015,Berkeley,26330,31111,66,66
SC,U.S. House District 1,1,45019,Charleston,67678,50644,133,133
SC,U.S. House District 1,1,45029,Colleton,230,548,1,1
SC,U.S. House District 1,1,45035,Dorchester,20761,23011,66,66
CA,U.S. House District 52,52,06073,San Diego,188992,107015,457,457
MI,U.S. House District 7,7,26023,Branch,5097,9937,22,22
MI,U.S. House District 7,7,26045,Eaton,25790,23956,51,51
MI,U.S. House District 7,7,26059,Hillsdale,5139,11470,26,26
MI,U.S. House District 7,7,26075,Jackson,26530,33653,63,63
MI,U.S. House District 7,7,26091,Lenawee,17886,21908,44,44
MI,U.S. House District 7,7,26115,Monroe,26592,34078,64,64
MI,U.S. House District 7,7,26161,Washtenaw,29296,23728,44,44
FL,U.S. House District 7,7,12095,Orange,76770,42862,63,63
FL,U.S. House District 7,7,12117,Seminole,106343,91423,81,81
DE,U.S. House At-Large,1,10001,Kent,33162,24556,90,90
DE,U.S. House At-Large,1,10003,New Castle,150143,56213,271,271
DE,U.S. House At-Large,1,10005,Sussex,44048,44615,74,74
ID,U.S. House District 1,1,16001,Ada,30372,56449,75,75
