state,district,district_dem_result,district_rep_result
Illinois,6,169001,146445
New Jersey,4,126766,163065
Tennessee,9,145139,34901
Minnesota,7,146672,134668
California,42,100892,131040
Florida,23,161611,99446
South Carolina,1,145455,141473
California,52,188992,107015
Michigan,7,136330,158730
Florida,7,183113,134285
Delaware,At Large,227353,125384
Idaho,1,96922,197719
Florida,13,182717,134254
Vermont,At Large,188547,70705
North Carolina,2,151977,170072
California,33,219091,93769
New York,24,123226,136920
Ohio,7,107536,153117
California,45,158906,146383
North Carolina,10,113259,164969
New York,8,180376,0
New Mexico,3,155201,76427
Virginia,7,176079,169295
California,8,0,170785
Maine,2,131954,134061
Oklahoma,1,103042,150129
Hawaii,1,134650,42498
Colorado,2,259608,144901
Michigan,4,106540,178510
Wisconsin,5,138385,225619
Texas,16,124437,49127
Arkansas,1,57907,138757
New York,1,127991,139027
Michigan,3,134185,169107
New York,12,217430,30446
New Mexico,1,147336,90507
Iowa,4,147246,157676
Indiana,4,87824,156539
Kansas,3,170518,139762
California,20,183677,0
North Carolina,6,123651,160709
Virginia,11,219191,83023
Maryland,3,202407,82774
New York,20,176811,89058
Minnesota,2,177958,159344
New Jersey,12,173334,79041
Ohio,14,137549,169809
California,11,204369,71312
Maryland,1,116631,183662
New York,19,147873,132873
Georgia,12,101503,148986
California,27,202636,0
Iowa,1,170342,153442
California,49,166453,128577
South Carolina,7,96564,142681
Rhode Island,1,116099,57567
Florida,4,123351,248420
Oregon,1,231198,116446
Indiana,8,86895,157396
Louisiana,5,67118,149018
California,38,139188,62968
New York,3,157456,109514
Utah,3,70686,174856
California,40,93938,0
Texas,30,166784,0
Tennessee,3,84731,156512
Florida,25,84173,128672
North Carolina,1,190457,82218
Colorado,5,126848,184002
Michigan,1,145246,187251
California,1,131548,160046
South Carolina,2,109199,144642
Texas,13,35083,169027
Texas,6,116350,135961
Florida,9,172172,124565
New York,9,181455,20901
California,31,110143,77352
New York,26,169166,61488
Texas,12,90994,172557
Kentucky,4,90536,162946
North Carolina,7,120838,156809
Texas,5,78666,130617
Wisconsin,6,144536,180311
California,3,134875,97376
Washington,6,206409,116677
Texas,18,138704,38368
Utah,4,134964,134270
New York,2,113074,128078
Illinois,4,143895,22294
Texas,14,92212,138942
Virginia,2,139571,133458
Ohio,13,153323,98047
