maptype,stateID,state,state_dem_districts,state_rep_districts
current,1,AL,1,6
current,2,AK,0,1
current,4,AZ,5,4
current,5,AR,0,4
current,6,CA,42,11
current,8,CO,4,3
current,9,CT,5,0
current,10,DE,1,0
current,12,FL,10,17
current,13,GA,6,8
current,15,HI,2,0
current,16,ID,0,2
current,17,IL,13,5
current,18,IN,2,7
current,19,IA,3,1
current,20,KS,1,3
current,21,KY,1,5
current,22,LA,1,5
current,23,ME,2,0
current,24,MD,7,1
current,25,MA,9,0
current,26,MI,7,7
current,27,MN,5,3
current,28,MS,1,3
current,29,MO,3,5
current,30,MT,0,1
current,31,NE,0,3
current,32,NV,3,1
current,33,NH,2,0
current,34,NJ,11,1
current,35,NM,3,0
current,36,NY,23,4
current,37,NC,4,9
current,38,ND,0,1
current,39,OH,4,12
current,40,OK,1,4
current,41,OR,4,1
current,42,PA,8,10
current,44,RI,2,0
current,45,SC,2,5
current,46,SD,0,1
current,47,TN,2,7
current,48,TX,18,18
current,49,UT,0,4
current,50,VT,1,0
current,51,VA,6,5
current,53,WA,7,3
current,54,WV,0,3
current,55,WI,3,5
current,56,WY,0,1
Compact,1,AL,0,7
Compact,2,AK,0,1
Compact,4,AZ,4,5
Compact,5,AR,0,4
Compact,6,CA,44,9
Compact,8,CO,4,3
Compact,9,CT,5,0
Compact,10,DE,1,0
Compact,12,FL,11,16
Compact,13,GA,5,9
Compact,15,HI,2,0
Compact,16,ID,0,2
Compact,17,IL,13,5
Compact,18,IN,2,7
Compact,19,IA,3,1
Compact,20,KS,1,3
Compact,21,KY,1,5
Compact,22,LA,1,5
Compact,23,ME,2,0
Compact,24,MD,6,2
Compact,25,MA,9,0
Compact,26,MI,7,7
Compact,27,MN,5,3
Compact,28,MS,1,3
Compact,29,MO,3,5
Compact,30,MT,0,1
Compact,31,NE,0,3
Compact,32,NV,3,1
Compact,33,NH,2,0
Compact,34,NJ,9,3
Compact,35,NM,2,1
Compact,36,NY,23,4
Compact,37,NC,5,8
Compact,38,ND,0,1
Compact,39,OH,8,8
Compact,40,OK,1,4
Compact,41,OR,4,1
Compact,42,PA,9,9
Compact,44,RI,2,0
Compact,45,SC,3,4
Compact,46,SD,0,1
Compact,47,TN,2,7
Compact,48,TX,18,18
Compact,49,UT,1,3
Compact,50,VT,1,0
Compact,51,VA,5,6
Compact,53,WA,7,3
Compact,54,WV,0,3
Compact,55,WI,3,5
Compact,56,WY,0,1
Dem,1,AL,1,6
Dem,2,AK,0,1
Dem,4,AZ,6,3
Dem,5,AR,1,3
Dem,6,CA,44,9
Dem,8,CO,5,2
Dem,9,CT,5,0
Dem,10,DE,1,0
Dem,12,FL,11,16
Dem,13,GA,8,6
Dem,15,HI,2,0
Dem,16,ID,0,2
Dem,17,IL,14,4
Dem,18,IN,4,5
Dem,19,IA,2,2
Dem,20,KS,1,3
Dem,21,KY,2,4
Dem,22,LA,1,5
Dem,23,ME,2,0
Dem,24,MD,8,0
Dem,25,MA,9,0
Dem,26,MI,9,5
Dem,27,MN,6,2
Dem,28,MS,2,2
Dem,29,MO,3,5
Dem,30,MT,0,1
Dem,31,NE,1,2
Dem,32,NV,3,1
Dem,33,NH,2,0
Dem,34,NJ,10,2
Dem,35,NM,3,0
Dem,36,NY,22,5
Dem,37,NC,8,5
Dem,38,ND,0,1
Dem,39,OH,7,9
Dem,40,OK,1,4
Dem,41,OR,4,1
Dem,42,PA,11,7
Dem,44,RI,2,0
Dem,45,SC,3,4
Dem,46,SD,0,1
Dem,47,TN,2,7
Dem,48,TX,18,18
Dem,49,UT,1,3
Dem,50,VT,1,0
Dem,51,VA,7,4
Dem,53,WA,7,3
Dem,54,WV,0,3
Dem,55,WI,5,3
Dem,56,WY,0,1
GOP,1,AL,1,6
GOP,2,AK,0,1
GOP,4,AZ,5,4
GOP,5,AR,0,4
GOP,6,CA,44,9
GOP,8,CO,4,3
GOP,9,CT,5,0
GOP,10,DE,1,0
GOP,12,FL,8,19
GOP,13,GA,3,11
GOP,15,HI,2,0
GOP,16,ID,0,2
GOP,17,IL,12,6
GOP,18,IN,0,9
GOP,19,IA,3,1
GOP,20,KS,1,3
GOP,21,KY,1,5
GOP,22,LA,1,5
GOP,23,ME,2,0
GOP,24,MD,6,2
GOP,25,MA,9,0
GOP,26,MI,6,8
GOP,27,MN,6,2
GOP,28,MS,1,3
GOP,29,MO,2,6
GOP,30,MT,0,1
GOP,31,NE,0,3
GOP,32,NV,3,1
GOP,33,NH,2,0
GOP,34,NJ,11,1
GOP,35,NM,3,0
GOP,36,NY,20,7
GOP,37,NC,4,9
GOP,38,ND,0,1
GOP,39,OH,2,14
GOP,40,OK,1,4
GOP,41,OR,4,1
GOP,42,PA,6,12
GOP,44,RI,2,0
GOP,45,SC,2,5
GOP,46,SD,0,1
GOP,47,TN,1,8
GOP,48,TX,16,20
GOP,49,UT,0,4
GOP,50,VT,1,0
GOP,51,VA,6,5
GOP,53,WA,7,3
GOP,54,WV,0,3
GOP,55,WI,3,5
GOP,56,WY,0,1
Proportional,1,AL,1,6
Proportional,2,AK,0,1
Proportional,4,AZ,4,5
Proportional,5,AR,1,3
Proportional,6,CA,44,9
Proportional,8,CO,4,3
Proportional,9,CT,5,0
Proportional,10,DE,1,0
Proportional,12,FL,10,17
Proportional,13,GA,7,7
Proportional,15,HI,2,0
Proportional,16,ID,0,2
Proportional,17,IL,12,6
Proportional,18,IN,4,5
Proportional,19,IA,3,1
Proportional,20,KS,1,3
Proportional,21,KY,2,4
Proportional,22,LA,1,5
Proportional,23,ME,2,0
Proportional,24,MD,6,2
Proportional,25,MA,9,0
Proportional,26,MI,7,7
Proportional,27,MN,5,3
Proportional,28,MS,2,2
Proportional,29,MO,3,5
Proportional,30,MT,0,1
Proportional,31,NE,1,2
Proportional,32,NV,3,1
Proportional,33,NH,2,0
Proportional,34,NJ,10,2
Proportional,35,NM,3,0
Proportional,36,NY,23,4
Proportional,37,NC,6,7
Proportional,38,ND,0,1
Proportional,39,OH,7,9
Proportional,40,OK,1,4
Proportional,41,OR,4,1
Proportional,42,PA,11,7
Proportional,44,RI,2,0
Proportional,45,SC,3,4
Proportional,46,SD,0,1
Proportional,47,TN,3,6
Proportional,48,TX,18,18
Proportional,49,UT,1,3
Proportional,50,VT,1,0
Proportional,51,VA,6,5
Proportional,53,WA,7,3
Proportional,54,WV,0,3
Proportional,55,WI,4,4
Proportional,56,WY,0,1
