maptype,stateID,state,district,district_dem_result,district_rep_result,district_winner
current,1,AL,1,88245.86932201171,151113.3476789703,R
current,1,AL,2,80571.21861213274,138343.90245930926,R
current,1,AL,3,82183.25703370928,144611.7185569014,R
current,1,AL,4,42582.288035193524,173779.5310053776,R
current,1,AL,5,101357.37255148582,158982.08009356674,R
current,1,AL,6,58092.785316121124,164303.46874400927,R
current,1,AL,7,82115.4191890671,72032.97406379809,D
current,2,AK,At Large,0,149779,R
current,4,AZ,1,128965.30109412479,117525.67558755551,D
current,4,AZ,2,151650.3904698079,124178.80498965671,D
current,4,AZ,3,110414.13943434316,72786.09906063991,D
current,4,AZ,4,92589.00504856504,174567.22410041877,R
current,4,AZ,5,126977.76420867915,135874.0097168478,R
current,4,AZ,6,123822.79820891237,137291.83183500613,R
current,4,AZ,7,103133.57959881831,59578.116122578074,D
current,4,AZ,8,116896.00995681857,147474.05201487,R
current,4,AZ,9,131040.01197993074,93609.18657242673,D
current,5,AR,1,57828.91302294594,138776.05300627812,R
current,5,AR,2,115749.0,131760.0,R
current,5,AR,3,74123.44196545512,146953.71215027524,R
current,5,AR,4,63807.64501159896,137094.23484344664,R
current,6,CA,1,129189.28341203148,159880.68432898397,R
current,6,CA,2,181289.79780254688,50173.5775101086,D
current,6,CA,3,127023.04629124369,78135.51115080023,D
current,6,CA,4,148234.8767645236,177348.3776064726,R
current,6,CA,5,180451.64509481643,35466.95995560325,D
current,6,CA,6,174111.18346850263,44271.10195007562,D
current,6,CA,7,161183.33756827633,83854.36136948554,D
current,6,CA,8,59658.296632959,137360.40728882796,R
current,6,CA,9,112604.0445172498,75937.46122490082,D
current,6,CA,10,94854.85889451444,98095.77740766284,R
current,6,CA,11,173400.73359794822,70292.28562747099,D
current,6,CA,12,258450.33010706573,43040.3421647809,D
current,6,CA,13,189309.4814860085,33969.70177048657,D
current,6,CA,14,245931.94504290159,47839.594951145424,D
current,6,CA,15,216465.5947096092,37578.29869659335,D
current,6,CA,16,90206.87381978755,61614.946685813266,D
current,6,CA,17,268153.46433371014,15760.812986674153,D
current,6,CA,18,141771.13985822795,101959.59456733143,D
current,6,CA,19,147481.9735574041,53956.49142701874,D
current,6,CA,20,177789.37729682366,57430.001396580396,D
current,6,CA,21,55811.77394753258,75430.75654171302,R
current,6,CA,22,84740.90318991471,97740.25077891225,R
current,6,CA,23,73862.61373338988,112579.51964761404,R
current,6,CA,24,156159.61194079957,113858.12904090955,D
current,6,CA,25,120166.89235900897,64631.180700495584,D
current,6,CA,26,152076.30454646875,103413.14222844897,D
current,6,CA,27,295197.9148064432,35309.73698542159,D
current,6,CA,28,160250.1595995051,58912.49137540555,D
current,6,CA,29,109684.49094200927,39115.536403952334,D
current,6,CA,30,144326.3029356388,63190.82809590474,D
current,6,CA,31,76660.41582071161,81167.96470542609,R
current,6,CA,32,156468.42877164402,40627.55924586625,D
current,6,CA,33,160294.46463965948,75765.68419367063,D
current,6,CA,34,183150.94810735754,22219.91331666294,D
current,6,CA,35,76112.00631050981,64936.74302555333,D
current,6,CA,36,71932.57048097947,108544.4819636287,R
current,6,CA,37,137579.34871206235,34408.17290032619,D
current,6,CA,38,148680.14336483207,46543.883789154504,D
current,6,CA,39,199379.24211217678,74081.48432324558,D
current,6,CA,40,72799.12030170004,38284.50948914366,D
current,6,CA,41,89850.07767301521,53013.726441494764,D
current,6,CA,42,112973.20264749226,82663.71915672875,D
current,6,CA,43,150409.09340008872,27969.516546205687,D
current,6,CA,44,98053.89955844797,32327.562180316825,D
current,6,CA,45,142417.63837172714,123116.52183740117,D
current,6,CA,46,101016.37291773924,70602.04052364423,D
current,6,CA,47,172277.16231196164,46385.77771594454,D
current,6,CA,48,137195.2341688706,148591.9198560973,R
current,6,CA,49,114844.05508922681,140168.73657403426,R
current,6,CA,50,101852.96145188194,119802.48545504399,R
current,6,CA,51,129161.74139613514,57707.998271107026,D
current,6,CA,52,208824.82288824552,90168.3471258281,D
current,6,CA,53,171594.58653303623,76397.05109876429,D
current,8,CO,1,182888.00574350197,63227.85665063598,D
current,8,CO,2,248499.36367098984,146195.72464058,D
current,8,CO,3,140864.75933395198,168381.70226873705,R
current,8,CO,4,146364.00743797043,210639.7947029994,R
current,8,CO,5,105534.27709821696,161054.3438958762,R
current,8,CO,6,184650.65272688362,139062.76537485863,D
current,8,CO,7,196901.93398848525,129412.81246631275,D
current,9,CT,1,179002.3105455415,95534.46389832335,D
current,9,CT,2,170054.1243819376,104158.31309016432,D
current,9,CT,3,174760.86222217372,99887.49208432961,D
current,9,CT,4,164049.45125550893,104942.00765168523,D
current,9,CT,5,153294.2515948382,114278.72327549751,D
current,10,DE,At Large,227353.0,125384.0,D
current,12,FL,1,106171.48582832323,216139.6840837376,R
current,12,FL,2,92829.03639794045,192958.1653211301,R
current,12,FL,3,133579.5837274924,172655.8177556391,R
current,12,FL,4,143079.07656780345,221978.73898793643,R
current,12,FL,5,163236.247032358,117386.29680359217,D
current,12,FL,6,145088.50751392526,189298.13712557507,R
current,12,FL,7,133726.85686041322,111749.65644927495,D
current,12,FL,8,143213.5915718012,216776.80527856835,R
current,12,FL,9,135038.04265926487,112464.24544390703,D
current,12,FL,10,78698.75005455913,39211.5986588407,D
current,12,FL,11,129792.39550805977,251423.61707967555,R
current,12,FL,12,131808.25376012488,182704.76514522964,R
current,12,FL,13,182353.7893939259,143614.73240062123,D
current,12,FL,14,67664.47203096942,63147.78170529302,D
current,12,FL,15,96113.25107605621,109415.19718735974,R
current,12,FL,16,134464.97884160455,173697.9332122971,R
current,12,FL,17,123739.56598328617,194689.01074979873,R
current,12,FL,18,110225.19935374777,134223.5171265683,R
current,12,FL,19,125067.89132403686,208579.36201997768,R
current,12,FL,20,108987.8633318643,41145.86435791347,D
current,12,FL,21,52320.92680004966,56688.839021570646,R
current,12,FL,22,100769.49235247738,78623.0651601291,D
current,12,FL,23,111892.454013916,81737.50809931014,D
current,12,FL,24,100133.23130342709,52516.592609282736,D
current,12,FL,25,84670.612616388,121142.42020915302,R
current,12,FL,26,88586.55292714876,94227.59625298882,R
current,12,FL,27,81316.89116903655,97220.0517546296,R
current,13,GA,1,105345.07851829122,143682.95153858955,R
current,13,GA,2,125112.29241517265,91958.58139091506,D
current,13,GA,3,105783.93283217447,187392.93042941648,R
current,13,GA,4,172126.8874199258,69503.62154457481,D
current,13,GA,5,124830.3867712041,45799.72791398612,D
current,13,GA,6,143539.60602110653,113073.47221436026,D
current,13,GA,7,152548.68594993398,134617.13342076872,D
current,13,GA,8,61864.93984646976,123793.93595484691,R
current,13,GA,9,58929.1701128152,226193.0916876625,R
current,13,GA,10,114259.36124767583,186866.8168703189,R
current,13,GA,11,122095.0694621296,180112.78870832882,R
current,13,GA,12,101201.09759046682,148363.19199763192,R
current,13,GA,13,150812.18275130846,81380.86300914294,D
current,13,GA,14,54212.158080998415,175663.68049978188,R
current,15,HI,1,150156.40703387925,23687.58585512718,D
current,15,HI,2,137578.59296612075,63608.41414487283,D
current,16,ID,1,107056.03237369111,190321.2635737161,R
current,16,ID,2,100256.96762630889,177119.73642628393,R
current,17,IL,1,130471.33053279557,45564.22234972505,D
current,17,IL,2,120536.31133138895,51081.47330204369,D
current,17,IL,3,114762.14427791465,58448.42102057101,D
current,17,IL,4,99073.32060403164,25306.142037891237,D
current,17,IL,5,160534.62313972466,44805.74936741049,D
current,17,IL,6,149617.81654079797,114373.98969511721,D
current,17,IL,7,169234.6108863066,18625.015876711444,D
current,17,IL,8,172402.28898243723,62669.45663097031,D
current,17,IL,9,185216.69513222727,43341.73192202742,D
current,17,IL,10,164964.8320964054,77521.7126818745,D
current,17,IL,11,148706.85196573738,86294.23647396677,D
current,17,IL,12,118957.29526646275,140180.40146007703,R
current,17,IL,13,124185.11027114824,142139.75285133786,R
current,17,IL,14,135022.7592854796,118310.69828008901,D
current,17,IL,15,75021.71389171641,173472.9770989584,R
current,17,IL,16,101518.08792907899,144044.35902583852,R
current,17,IL,17,136956.35009392418,101676.54273224396,D
current,17,IL,18,101885.85777242358,175332.1171931462,R
current,18,IN,1,159632.07893974357,87084.14077692303,D
current,18,IN,2,103268.84915940482,125369.7797600377,R
current,18,IN,3,86091.72295448137,156595.8006405265,R
current,18,IN,4,86985.03803501422,156128.83143556947,R
current,18,IN,5,125932.70486001132,166912.23481385794,R
current,18,IN,6,79630.38261435434,154477.63397845178,R
current,18,IN,7,150514.55992121,86915.4975515646,D
current,18,IN,8,86970.70239011345,157465.47648945497,R
current,18,IN,9,99415.96112566681,146048.60455361402,R
current,19,IA,1,169348.0,152940.0,D
current,19,IA,2,171054.0,133010.0,D
current,19,IA,3,169886.0,164656.0,D
current,19,IA,4,146698.0,157221.0,R
current,20,KS,1,68915.22727931023,149559.69364543742,R
current,20,KS,2,121036.64834555726,126300.03800022024,R
current,20,KS,3,163799.6581578442,134859.17562103207,D
current,20,KS,4,93382.46621728831,138844.09273331024,R
current,21,KY,1,78847.80434559107,172180.0301073939,R
current,21,KY,2,80404.60412341393,171408.58498325077,R
current,21,KY,3,172818.90151287607,105299.12699627448,D
current,21,KY,4,90020.66324614428,158317.5630509449,R
current,21,KY,5,46334.60466430126,172529.2800108679,R
current,21,KY,6,144643.42210767345,155830.41485126805,R
current,22,LA,1,82204.26412528714,160994.4034876211,R
current,22,LA,2,164124.05106189617,52069.69262401428,D
current,22,LA,3,74794.8808270754,167915.80783354328,R
current,22,LA,4,73054.10682352445,139155.63513874594,R
current,22,LA,5,66686.42868771992,150888.76566361226,R
current,22,LA,6,92320.26847449699,169171.55686914237,R
current,23,ME,1,198813.27894139654,111826.92144736965,D
current,23,ME,2,129595.72105860348,129353.07855263035,D
current,24,MD,1,113667.17481649492,167315.51172354148,R
current,24,MD,2,170732.39129656545,82458.7289484966,D
current,24,MD,3,175466.48845418612,79657.04869094134,D
current,24,MD,4,198178.02382451508,46498.555730669876,D
current,24,MD,5,192430.41945082723,78309.10960190704,D
current,24,MD,6,169902.72521702718,90016.01562372428,D
current,24,MD,7,186626.5173517492,55836.28009970485,D
current,24,MD,8,163548.259588635,98963.7495810145,D
current,25,MA,1,223347.44728002214,23733.607571908306,D
current,25,MA,2,196580.43851138934,77506.55505788603,D
current,25,MA,3,177211.04476550277,78264.78058893053,D
current,25,MA,4,55195.16928740808,30069.65984674173,D
current,25,MA,5,169350.2058129309,67230.39107371379,D
