State,ElectionDate,MapType,DemocratDistricts,RepublicanDistricts
AL,2008,Compact,2,5
AL,2008,Competitive,2,5
AL,2008,Dem,2,5
AL,2008,GOP,1,6
AL,2008,MajMin,2,5
AL,2008,Proportional,2,5
AL,2008,algorithmic-compact,1,6
AL,2008,current,1,6
AL,2012,Compact,2,5
AL,2012,Competitive,2,5
AL,2012,Dem,2,5
AL,2012,GOP,1,6
AL,2012,MajMin,2,5
AL,2012,Proportional,2,5
AL,2012,algorithmic-compact,1,6
AL,2012,current,1,6
AL,2016,Compact,1,6
AL,2016,Competitive,2,5
AL,2016,Dem,2,5
AL,2016,GOP,1,6
AL,2016,MajMin,2,5
AL,2016,Proportional,2,5
AL,2016,algorithmic-compact,1,6
AL,2016,current,1,6
AR,2008,Compact,0,4
AR,2008,Competitive,1,3
AR,2008,Dem,1,3
AR,2008,GOP,0,4
AR,2008,MajMin,1,3
AR,2008,Proportional,1,3
AR,2008,algorithmic-compact,0,4
AR,2008,current,0,4
AR,2012,Compact,0,4
AR,2012,Competitive,1,3
AR,2012,Dem,1,3
AR,2012,GOP,0,4
AR,2012,MajMin,1,3
AR,2012,Proportional,1,3
AR,2012,algorithmic-compact,0,4
AR,2012,current,0,4
AR,2016,Compact,0,4
AR,2016,Competitive,1,3
AR,2016,Dem,1,3
AR,2016,GOP,0,4
AR,2016,MajMin,1,3
AR,2016,Proportional,1,3
AR,2016,algorithmic-compact,0,4
AR,2016,current,0,4
AZ,2008,Compact,1,8
AZ,2008,Competitive,2,7
AZ,2008,Dem,1,8
AZ,2008,GOP,1,8
AZ,2008,MajMin,3,6
AZ,2008,Proportional,1,8
AZ,2008,algorithmic-compact,2,7
AZ,2008,current,2,7
AZ,2012,Compact,1,8
AZ,2012,Competitive,2,7
AZ,2012,Dem,1,8
AZ,2012,GOP,1,8
AZ,2012,MajMin,2,7
AZ,2012,Proportional,2,7
AZ,2012,algorithmic-compact,2,7
AZ,2012,current,2,7
AZ,2016,Compact,2,7
AZ,2016,Competitive,3,6
AZ,2016,Dem,3,6
AZ,2016,GOP,3,6
AZ,2016,MajMin,3,6
AZ,2016,Proportional,3,6
AZ,2016,algorithmic-compact,3,6
AZ,2016,current,3,6
CA,2008,Compact,44,9
CA,2008,Competitive,46,7
CA,2008,Dem,45,8
CA,2008,GOP,44,9
CA,2008,MajMin,43,10
CA,2008,Proportional,44,9
CA,2008,algorithmic-compact,44,9
CA,2008,current,44,9
CA,2012,Compact,39,14
CA,2012,Competitive,41,12
CA,2012,Dem,42,11
CA,2012,GOP,39,14
CA,2012,MajMin,41,12
CA,2012,Proportional,39,14
CA,2012,algorithmic-compact,40,13
CA,2012,current,40,13
CA,2016,Compact,48,5
CA,2016,Competitive,48,5
CA,2016,Dem,48,5
CA,2016,GOP,47,6
CA,2016,MajMin,48,5
CA,2016,Proportional,47,6
CA,2016,algorithmic-compact,47,6
CA,2016,current,47,6
CO,2008,Compact,4,3
CO,2008,Competitive,5,2
CO,2008,Dem,5,2
CO,2008,GOP,3,4
CO,2008,MajMin,3,4
CO,2008,Proportional,4,3
CO,2008,algorithmic-compact,4,3
CO,2008,current,4,3
CO,2012,Compact,4,3
CO,2012,Competitive,4,3
CO,2012,Dem,5,2
CO,2012,GOP,3,4
CO,2012,MajMin,3,4
CO,2012,Proportional,4,3
CO,2012,algorithmic-compact,4,3
CO,2012,current,4,3
CO,2016,Compact,3,4
CO,2016,Competitive,5,2
CO,2016,Dem,5,2
CO,2016,GOP,3,4
CO,2016,MajMin,3,4
CO,2016,Proportional,4,3
CO,2016,algorithmic-compact,4,3
CO,2016,current,4,3
CT,2008,Compact,5,0
CT,2008,Competitive,5,0
CT,2008,Dem,5,0
CT,2008,GOP,5,0
CT,2008,MajMin,5,0
CT,2008,Proportional,5,0
CT,2008,algorithmic-compact,5,0
CT,2008,current,5,0
CT,2012,Compact,5,0
CT,2012,Competitive,5,0
CT,2012,Dem,5,0
CT,2012,GOP,5,0
CT,2012,MajMin,5,0
CT,2012,Proportional,5,0
CT,2012,algorithmic-compact,5,0
CT,2012,current,5,0
CT,2016,Compact,5,0
CT,2016,Competitive,5,0
CT,2016,Dem,5,0
CT,2016,GOP,4,1
CT,2016,MajMin,5,0
CT,2016,Proportional,5,0
CT,2016,algorithmic-compact,5,0
CT,2016,current,5,0
DE,2008,Compact,1,0
DE,2008,Competitive,1,0
DE,2008,Dem,1,0
DE,2008,GOP,1,0
DE,2008,MajMin,1,0
DE,2008,Proportional,1,0
DE,2008,algorithmic-compact,1,0
DE,2008,current,1,0
DE,2012,Compact,1,0
DE,2012,Competitive,1,0
DE,2012,Dem,1,0
DE,2012,GOP,1,0
DE,2012,MajMin,1,0
DE,2012,Proportional,1,0
DE,2012,algorithmic-compact,1,0
DE,2012,current,1,0
DE,2016,Compact,1,0
DE,2016,Competitive,1,0
DE,2016,Dem,1,0
DE,2016,GOP,1,0
DE,2016,MajMin,1,0
DE,2016,Proportional,1,0
DE,2016,algorithmic-compact,1,0
DE,2016,current,1,0
FL,2008,Compact,16,11
FL,2008,Competitive,19,8
FL,2008,Dem,17,10
FL,2008,GOP,11,16
FL,2008,MajMin,13,14
FL,2008,Proportional,14,13
FL,2008,algorithmic-compact,14,13
FL,2008,current,14,13
FL,2012,Compact,13,14
FL,2012,Competitive,14,13
FL,2012,Dem,16,11
FL,2012,GOP,9,18
FL,2012,MajMin,12,15
FL,2012,Proportional,13,14
FL,2012,algorithmic-compact,13,14
FL,2012,current,13,14
FL,2016,Compact,14,13
FL,2016,Competitive,14,13
FL,2016,Dem,16,11
FL,2016,GOP,9,18
FL,2016,MajMin,14,13
FL,2016,Proportional,14,13
FL,2016,algorithmic-compact,14,13
FL,2016,current,14,13
GA,2008,Compact,3,11
GA,2008,Competitive,4,10
GA,2008,Dem,8,6
GA,2008,GOP,3,11
GA,2008,MajMin,5,9
GA,2008,Proportional,6,8
GA,2008,algorithmic-compact,4,10
GA,2008,current,4,10
GA,2012,Compact,3,11
GA,2012,Competitive,4,10
GA,2012,Dem,7,7
GA,2012,GOP,3,11
GA,2012,MajMin,5,9
GA,2012,Proportional,6,8
GA,2012,algorithmic-compact,4,10
GA,2012,current,4,10
GA,2016,Compact,5,9
GA,2016,Competitive,6,8
GA,2016,Dem,8,6
GA,2016,GOP,3,11
GA,2016,MajMin,7,7
GA,2016,Proportional,7,7
GA,2016,algorithmic-compact,5,9
GA,2016,current,5,9
HI,2008,Compact,2,0
