ElectionDate,MapType,DemocratDistricts,RepublicanDistricts
2008,Compact,251,183
2008,Competitive,289,145
2008,Dem,279,155
2008,GOP,235,199
2008,MajMin,254,180
2008,Proportional,264,170
2008,algorithmic-compact,243,191
2008,current,243,191
2012,Compact,224,210
2012,Competitive,253,181
2012,Dem,262,172
2012,GOP,193,241
2012,MajMin,223,211
2012,Proportional,238,196
2012,algorithmic-compact,215,219
2012,current,215,219
2016,Compact,214,220
2016,Competitive,225,209
2016,Dem,259,175
2016,GOP,181,253
2016,MajMin,219,215
2016,Proportional,230,204
2016,algorithmic-compact,210,224
2016,current,210,224
