State,ElectionDate,MapType,District,DemocratVote,RepublicanVote,Winner
AL,2008,Compact,1,113032.0986464234,184238.9264864117,Republican
AL,2008,Compact,2,106464.0903924661,175812.21674342814,Republican
AL,2008,Compact,3,78513.03835695678,205669.65221848895,Republican
AL,2008,Compact,4,86289.40733215571,198652.89762622747,Republican
AL,2008,Compact,5,100960.0,186387.0,Republican
AL,2008,Compact,6,168486.34517327443,158246.6814239528,Democrat
AL,2008,Compact,7,159734.02009872362,157538.6255014909,Democrat
AL,2008,Competitive,1,82285.14180299104,207086.46350177494,Republican
AL,2008,Competitive,2,125685.41680988364,154100.91275762636,Republican
AL,2008,Competitive,3,77241.22689839422,206252.3704221084,Republican
AL,2008,Competitive,4,76716.44994750743,212340.20505542244,Republican
AL,2008,Competitive,5,100960.0,186387.0,Republican
AL,2008,Competitive,6,168609.94523527916,158096.64414560507,Democrat
AL,2008,Competitive,7,181980.81930594443,142282.4041174629,Democrat
AL,2008,Dem,1,82344.94783202017,207257.12328921087,Republican
AL,2008,Dem,2,174092.49577609164,138254.05552432977,Democrat
AL,2008,Dem,3,99324.12192159548,186142.54767840725,Republican
AL,2008,Dem,4,78628.4962025616,204614.96122791874,Republican
AL,2008,Dem,5,100064.4942321701,184306.50252151207,Republican
AL,2008,Dem,6,93352.110025735,215081.6248580874,Republican
AL,2008,Dem,7,185672.3340098259,130889.18490053396,Democrat
AL,2008,GOP,1,115995.42940197088,182042.83919011732,Republican
AL,2008,GOP,2,107309.41099589667,186000.1484122445,Republican
AL,2008,GOP,3,105029.59010578203,175248.59149808367,Republican
AL,2008,GOP,4,73619.63591898455,203230.6296481486,Republican
AL,2008,GOP,5,107185.04084574227,184571.5586909838,Republican
AL,2008,GOP,6,99657.35827408574,214406.58272836643,Republican
AL,2008,GOP,7,204682.53445753787,121045.64983205579,Democrat
AL,2008,MajMin,1,82344.94783202017,207257.12328921087,Republican
AL,2008,MajMin,2,174092.49577609164,138254.05552432977,Democrat
AL,2008,MajMin,3,99324.12192159548,186142.54767840725,Republican
AL,2008,MajMin,4,78628.4962025616,204614.96122791874,Republican
AL,2008,MajMin,5,100064.4942321701,184306.50252151207,Republican
AL,2008,MajMin,6,93352.110025735,215081.6248580874,Republican
AL,2008,MajMin,7,185672.3340098259,130889.18490053396,Democrat
AL,2008,Proportional,1,82344.94783202017,207257.12328921087,Republican
AL,2008,Proportional,2,174092.49577609164,138254.05552432977,Democrat
AL,2008,Proportional,3,99324.12192159548,186142.54767840725,Republican
AL,2008,Proportional,4,78628.4962025616,204614.96122791874,Republican
AL,2008,Proportional,5,100064.4942321701,184306.50252151207,Republican
AL,2008,Proportional,6,93352.110025735,215081.6248580874,Republican
AL,2008,Proportional,7,185672.3340098259,130889.18490053396,Democrat
AL,2008,algorithmic-compact,1,115995.42940197088,182042.83919011732,Republican
AL,2008,algorithmic-compact,2,107309.41099589667,186000.1484122445,Republican
AL,2008,algorithmic-compact,3,105029.59010578203,175248.59149808367,Republican
AL,2008,algorithmic-compact,4,73619.63591898455,203230.6296481486,Republican
AL,2008,algorithmic-compact,5,107185.04084574227,184571.5586909838,Republican
