State,ElectionDate,MapType,DemocratDistricts,RepublicanDistricts
AL,2008,Compact,2,5
AL,2008,Competitive,2,5
AL,2008,Dem,2,5
AL,2008,GOP,1,6
AL,2008,MajMin,2,5
AL,2008,Proportional,2,5
AL,2008,algorithmic-compact,1,6
AL,2008,current,1,6
AL,2012,Compact,2,5
AL,2012,Competitive,2,5
AL,2012,Dem,2,5
AL,2012,GOP,1,6
AL,2012,MajMin,2,5
AL,2012,Proportional,2,5
AL,2012,algorithmic-compact,1,6
AL,2012,current,1,6
AL,2016,Compact,2,5
AL,2016,Competitive,2,5
AL,2016,Dem,2,5
AL,2016,GOP,1,6
AL,2016,MajMin,2,5
AL,2016,Proportional,2,5
AL,2016,algorithmic-compact,1,6
AL,2016,current,1,6
AR,2008,Compact,0,4
AR,2008,Competitive,1,3
AR,2008,Dem,1,3
AR,2008,GOP,0,4
AR,2008,MajMin,1,3
AR,2008,Proportional,1,3
AR,2008,algorithmic-compact,0,4
AR,2008,current,0,4
AR,2012,Compact,0,4
AR,2012,Competitive,1,3
AR,2012,Dem,1,3
AR,2012,GOP,0,4
AR,2012,MajMin,1,3
AR,2012,Proportional,1,3
AR,2012,algorithmic-compact,0,4
AR,2012,current,0,4
AR,2016,Compact,0,4
AR,2016,Competitive,1,3
AR,2016,Dem,1,3
AR,2016,GOP,0,4
AR,2016,MajMin,1,3
AR,2016,Proportional,1,3
AR,2016,algorithmic-compact,0,4
AR,2016,current,0,4
AZ,2008,Compact,3,6
AZ,2008,Competitive,3,6
AZ,2008,Dem,2,7
AZ,2008,GOP,2,7
AZ,2008,MajMin,3,6
AZ,2008,Proportional,2,7
AZ,2008,algorithmic-compact,3,6
AZ,2008,current,3,6
AZ,2012,Compact,3,6
AZ,2012,Competitive,3,6
AZ,2012,Dem,2,7
AZ,2012,GOP,2,7
AZ,2012,MajMin,3,6
AZ,2012,Proportional,2,7
AZ,2012,algorithmic-compact,3,6
AZ,2012,current,3,6
AZ,2016,Compact,3,6
AZ,2016,Competitive,4,5
AZ,2016,Dem,4,5
AZ,2016,GOP,4,5
AZ,2016,MajMin,4,5
AZ,2016,Proportional,4,5
AZ,2016,algorithmic-compact,5,4
AZ,2016,current,5,4
CA,2008,Compact,40,13
CA,2008,Competitive,43,10
CA,2008,Dem,43,10
CA,2008,GOP,37,16
CA,2008,MajMin,41,12
CA,2008,Proportional,37,16
CA,2008,algorithmic-compact,39,14
CA,2008,current,39,14
CA,2012,Compact,39,14
CA,2012,Competitive,41,12
CA,2012,Dem,41,12
CA,2012,GOP,36,17
CA,2012,MajMin,40,13
CA,2012,Proportional,36,17
CA,2012,algorithmic-compact,38,15
CA,2012,current,38,15
CA,2016,Compact,42,11
CA,2016,Competitive,44,9
CA,2016,Dem,44,9
CA,2016,GOP,39,14
CA,2016,MajMin,44,9
CA,2016,Proportional,39,14
CA,2016,algorithmic-compact,42,11
CA,2016,current,42,11
CO,2008,Compact,4,3
CO,2008,Competitive,5,2
CO,2008,Dem,5,2
CO,2008,GOP,3,4
CO,2008,MajMin,3,4
CO,2008,Proportional,4,3
CO,2008,algorithmic-compact,4,3
CO,2008,current,4,3
CO,2012,Compact,4,3
CO,2012,Competitive,4,3
CO,2012,Dem,5,2
CO,2012,GOP,3,4
CO,2012,MajMin,3,4
CO,2012,Proportional,4,3
CO,2012,algorithmic-compact,4,3
CO,2012,current,4,3
CO,2016,Compact,3,4
CO,2016,Competitive,4,3
CO,2016,Dem,5,2
CO,2016,GOP,3,4
CO,2016,MajMin,3,4
CO,2016,Proportional,4,3
CO,2016,algorithmic-compact,4,3
CO,2016,current,4,3
CT,2008,Compact,5,0
CT,2008,Competitive,5,0
CT,2008,Dem,5,0
CT,2008,GOP,5,0
CT,2008,MajMin,5,0
CT,2008,Proportional,5,0
CT,2008,algorithmic-compact,5,0
CT,2008,current,5,0
CT,2012,Compact,4,1
CT,2012,Competitive,5,0
CT,2012,Dem,5,0
CT,2012,GOP,5,0
CT,2012,MajMin,5,0
CT,2012,Proportional,4,1
CT,2012,algorithmic-compact,5,0
CT,2012,current,5,0
CT,2016,Compact,4,1
CT,2016,Competitive,3,2
CT,2016,Dem,5,0
CT,2016,GOP,3,2
CT,2016,MajMin,4,1
CT,2016,Proportional,4,1
CT,2016,algorithmic-compact,5,0
CT,2016,current,5,0
DE,2008,Compact,1,0
DE,2008,Competitive,1,0
DE,2008,Dem,1,0
DE,2008,GOP,1,0
DE,2008,MajMin,1,0
DE,2008,Proportional,1,0
DE,2008,algorithmic-compact,1,0
DE,2008,current,1,0
DE,2012,Compact,1,0
DE,2012,Competitive,1,0
DE,2012,Dem,1,0
DE,2012,GOP,1,0
DE,2012,MajMin,1,0
DE,2012,Proportional,1,0
DE,2012,algorithmic-compact,1,0
DE,2012,current,1,0
DE,2016,Compact,1,0
DE,2016,Competitive,1,0
DE,2016,Dem,1,0
DE,2016,GOP,1,0
DE,2016,MajMin,1,0
DE,2016,Proportional,1,0
DE,2016,algorithmic-compact,1,0
DE,2016,current,1,0
FL,2008,Compact,13,14
FL,2008,Competitive,14,13
FL,2008,Dem,15,12
FL,2008,GOP,10,17
FL,2008,MajMin,9,18
FL,2008,Proportional,12,15
FL,2008,algorithmic-compact,12,15
FL,2008,current,12,15
FL,2012,Compact,12,15
FL,2012,Competitive,11,16
FL,2012,Dem,15,12
FL,2012,GOP,8,19
FL,2012,MajMin,9,18
FL,2012,Proportional,11,16
FL,2012,algorithmic-compact,11,16
FL,2012,current,11,16
FL,2016,Compact,12,15
FL,2016,Competitive,10,17
FL,2016,Dem,15,12
FL,2016,GOP,7,20
FL,2016,MajMin,10,17
FL,2016,Proportional,12,15
FL,2016,algorithmic-compact,12,15
FL,2016,current,12,15
GA,2008,Compact,3,11
GA,2008,Competitive,3,11
GA,2008,Dem,6,8
GA,2008,GOP,3,11
GA,2008,MajMin,5,9
GA,2008,Proportional,5,9
GA,2008,algorithmic-compact,4,10
GA,2008,current,4,10
GA,2012,Compact,3,11
GA,2012,Competitive,3,11
GA,2012,Dem,6,8
GA,2012,GOP,3,11
GA,2012,MajMin,5,9
GA,2012,Proportional,5,9
GA,2012,algorithmic-compact,4,10
GA,2012,current,4,10
GA,2016,Compact,5,9
GA,2016,Competitive,5,9
GA,2016,Dem,7,7
GA,2016,GOP,3,11
GA,2016,MajMin,5,9
GA,2016,Proportional,5,9
GA,2016,algorithmic-compact,4,10
GA,2016,current,4,10
HI,2008,Compact,2,0
