ElectionDate,MapType,DemocratDistricts,RepublicanDistricts
2008,Compact,243,191
2008,Competitive,273,161
2008,Dem,263,171
2008,GOP,215,219
2008,MajMin,239,195
2008,Proportional,247,187
2008,algorithmic-compact,233,201
2008,current,233,201
2012,Compact,215,219
2012,Competitive,234,200
2012,Dem,251,183
2012,GOP,176,258
2012,MajMin,207,227
2012,Proportional,223,211
2012,algorithmic-compact,202,232
2012,current,202,232
2016,Compact,206,228
2016,Competitive,208,226
2016,Dem,247,187
2016,GOP,162,272
2016,MajMin,203,231
2016,Proportional,211,223
2016,algorithmic-compact,201,233
2016,current,201,233
