State,ElectionDate,MapType,District,DemocratVote,RepublicanVote,Winner
AL,2008,Compact,5,100960.0,186387.0,Republican
AL,2008,Compact,2,106036.5338499558,176150.11010944008,Republican
AL,2008,Compact,7,161212.468431997,156340.32184204034,Democrat
AL,2008,Compact,3,78687.50011899484,205638.11583220898,Republican
AL,2008,Compact,1,113044.49530832109,184224.3593734388,Republican
AL,2008,Compact,4,85094.49349693276,199589.50003148947,Republican
AL,2008,Compact,6,168443.5087937985,158216.59281138238,Democrat
AL,2008,Competitive,5,100960.0,186387.0,Republican
AL,2008,Competitive,7,188970.33497697976,135842.4500157496,Democrat
AL,2008,Competitive,2,130806.57483665722,150458.4251830024,Republican
AL,2008,Competitive,4,73340.66868705876,215120.04084979935,Republican
AL,2008,Competitive,3,75326.10076391455,207457.68972122556,Republican
AL,2008,Competitive,6,168784.9673415237,157962.74004338527,Democrat
AL,2008,Competitive,1,75290.35339386595,213317.6541868378,Republican
AL,2008,Dem,5,99356.37227317644,184789.1043632031,Republican
AL,2008,Dem,2,183681.41826836613,127334.90433526014,Democrat
AL,2008,Dem,3,97378.99918319655,190454.22909899964,Republican
AL,2008,Dem,7,200947.40144613327,114884.46031845282,Democrat
AL,2008,Dem,4,78502.77763563859,204650.57304294102,Republican
AL,2008,Dem,6,78332.42864582551,230877.82824089588,Republican
AL,2008,Dem,1,75279.60254766351,213554.90060024746,Republican
AL,2008,GOP,5,107186.72963750992,184572.9904859932,Republican
AL,2008,GOP,3,103728.50169390412,177517.03550897757,Republican
AL,2008,GOP,6,82662.72736312932,232217.60570679657,Republican
AL,2008,GOP,7,226680.64523701507,96679.94428025819,Democrat
AL,2008,GOP,1,115996.68835511722,182041.23582384468,Republican
AL,2008,GOP,4,71192.81079961498,205144.52806091326,Republican
AL,2008,GOP,2,106030.89691370957,188372.66013321653,Republican
AL,2008,MajMin,5,99356.37227317644,184789.1043632031,Republican
AL,2008,MajMin,2,183681.41826836613,127334.90433526014,Democrat
AL,2008,MajMin,3,97378.99918319655,190454.22909899964,Republican
AL,2008,MajMin,7,200947.40144613327,114884.46031845282,Democrat
AL,2008,MajMin,4,78502.77763563859,204650.57304294102,Republican
AL,2008,MajMin,6,78332.42864582551,230877.82824089588,Republican
AL,2008,MajMin,1,75279.60254766351,213554.90060024746,Republican
AL,2008,Proportional,5,99356.37227317644,184789.1043632031,Republican
AL,2008,Proportional,2,183681.41826836613,127334.90433526014,Democrat
AL,2008,Proportional,3,97378.99918319655,190454.22909899964,Republican
AL,2008,Proportional,7,200947.40144613327,114884.46031845282,Democrat
AL,2008,Proportional,4,78502.77763563859,204650.57304294102,Republican
AL,2008,Proportional,6,78332.42864582551,230877.82824089588,Republican
AL,2008,Proportional,1,75279.60254766351,213554.90060024746,Republican
AL,2008,algorithmic-compact,5,107186.72963750992,184572.9904859932,Republican
AL,2008,algorithmic-compact,3,103728.50169390412,177517.03550897757,Republican
AL,2008,algorithmic-compact,6,82662.72736312932,232217.60570679657,Republican
AL,2008,algorithmic-compact,7,226680.64523701507,96679.94428025819,Democrat
AL,2008,algorithmic-compact,1,115996.68835511722,182041.23582384468,Republican
AL,2008,algorithmic-compact,4,71192.81079961498,205144.52806091326,Republican
AL,2008,algorithmic-compact,2,106030.89691370957,188372.66013321653,Republican
AL,2008,current,5,107186.72963750992,184572.9904859932,Republican
AL,2008,current,3,103728.50169390412,177517.03550897757,Republican
AL,2008,current,6,82662.72736312932,232217.60570679657,Republican
AL,2008,current,7,226680.64523701507,96679.94428025819,Democrat
AL,2008,current,1,115996.68835511722,182041.23582384468,Republican
AL,2008,current,4,71192.81079961498,205144.52806091326,Republican
AL,2008,current,2,106030.89691370957,188372.66013321653,Republican
AL,2012,Compact,5,97100.0,191458.0,Republican
AL,2012,Compact,2,106483.47839612543,172331.28429218935,Republican
AL,2012,Compact,7,164878.08211848032,150467.76383663592,Democrat
AL,2012,Compact,3,75551.00336908185,204919.82533053547,Republican
AL,2012,Compact,1,108534.99295416978,184802.3498813801,Republican
AL,2012,Compact,4,79168.61938597205,198502.9585494805,Republican
AL,2012,Compact,6,161903.82377617055,149970.81810977866,Democrat
AL,2012,Competitive,5,97100.0,191458.0,Republican
AL,2012,Competitive,7,189080.33967692172,130136.60421531131,Democrat
AL,2012,Competitive,2,130759.30194581395,146287.437790948,Republican
AL,2012,Competitive,4,67634.48762332345,215285.14647533483,Republican
AL,2012,Competitive,3,73391.10204611973,205522.95051440096,Republican
AL,2012,Competitive,6,162234.00798348358,149708.94100652906,Democrat
AL,2012,Competitive,1,73420.76072433757,214053.9199974758,Republican
AL,2012,Dem,5,94461.56910385561,187492.54816093767,Republican
AL,2012,Dem,2,183270.6737516391,122185.91338102391,Democrat
AL,2012,Dem,3,97189.63793365173,184842.71662064435,Republican
AL,2012,Dem,7,196305.79044844868,111136.5030050051,Democrat
AL,2012,Dem,4,73374.6210316612,204323.24090200962,Republican
AL,2012,Dem,6,75607.20544943624,228189.3392368384,Republican
AL,2012,Dem,1,73410.50228130748,214282.73869354097,Republican
AL,2012,GOP,5,103274.3459839026,189416.259162749,Republican
AL,2012,GOP,3,102444.28784432655,173159.00918631375,Republican
AL,2012,GOP,6,79029.33630111064,227447.9146646748,Republican
AL,2012,GOP,7,224273.82126812145,93395.34228047096,Democrat
AL,2012,GOP,1,111318.0320154338,182596.6261657317,Republican
