State,ElectionDate,MapType,District,DemocratVote,RepublicanVote,Winner
AL,2016,current,1,0.0,0.0,Tie
AL,2016,current,2,103427.00063252181,134542.77641051644,Republican
AL,2016,current,3,92786.8180472327,185675.8025697517,Republican
AL,2016,current,4,377.34616105486657,2653.187559625856,Republican
AL,2016,current,5,102188.55124845685,205476.34397956522,Republican
AL,2016,current,6,54739.27122062612,197533.12321042517,Republican
AL,2016,current,7,39062.0126901077,52128.76627011559,Republican
AL,2018,current,1,88240.51408693462,151117.6170306661,Republican
AL,2018,current,2,79929.56373810704,138291.12942053092,Republican
AL,2018,current,3,81695.56083506005,143246.2792360176,Republican
AL,2018,current,4,42424.87194878565,172844.454876064,Republican
AL,2018,current,5,101357.64093153634,158980.88454779447,Republican
AL,2018,current,6,55105.27253413382,156163.1026788889,Republican
AL,2018,current,7,44923.5759254425,55093.53221003794,Republican
AR,2016,current,1,0.0,184115.06364958233,Republican
AR,2016,current,2,111347.0,176472.0,Republican
AR,2016,current,3,0.0,215531.04171807133,Republican
AR,2016,current,4,0.0,184296.89463234635,Republican
AR,2018,current,1,57687.185911312714,138645.18937330027,Republican
AR,2018,current,2,115749.0,131760.0,Republican
AR,2018,current,3,74289.88523674892,147520.81603116897,Republican
AR,2018,current,4,63782.928851938355,136657.99459553076,Republican
AZ,2016,current,1,128502.52971613457,123165.84462473918,Democrat
AZ,2016,current,2,99593.37129086477,138631.517291914,Republican
AZ,2016,current,3,82836.91273041056,104311.34475836308,Republican
AZ,2016,current,4,81872.46193315956,180095.18033333687,Republican
AZ,2016,current,5,98156.4682898452,148493.99115783346,Republican
AZ,2016,current,6,92924.1003206888,153552.4339953873,Republican
AZ,2016,current,7,107588.08053396465,127539.28007534001,Republican
AZ,2016,current,8,93304.4191324001,151476.08448811295,Republican
AZ,2016,current,9,100935.65605253175,137112.323274973,Republican
AZ,2018,current,1,131264.54515529683,116017.8654342712,Democrat
AZ,2018,current,2,140394.25154620464,117554.155371272,Democrat
AZ,2018,current,3,129318.49812980105,98122.94590667017,Democrat
AZ,2018,current,4,87255.53694568209,166433.37650040782,Republican
AZ,2018,current,5,118935.9271675535,116772.47687189754,Democrat
AZ,2018,current,6,112595.88105000378,120750.32738726442,Republican
AZ,2018,current,7,130364.18621643013,100294.14333019262,Democrat
AZ,2018,current,8,113056.71232560118,119117.53084832258,Republican
AZ,2018,current,9,122303.46146342669,107822.17834970154,Democrat
CA,2016,current,1,126962.23103607375,187603.62468516856,Republican
CA,2016,current,2,239107.10771441885,75260.34393799701,Democrat
CA,2016,current,3,159459.39844842133,108679.8193191953,Democrat
CA,2016,current,4,130673.77131523649,213786.14025198336,Republican
CA,2016,current,5,237729.3937130626,65908.57078467635,Democrat
CA,2016,current,6,173890.58542021614,82574.20419525389,Democrat
CA,2016,current,7,151560.7232526366,116978.84397632188,Democrat
CA,2016,current,8,88682.60555628221,121196.793887609,Republican
CA,2016,current,9,139010.7299549891,99329.5879457863,Democrat
CA,2016,current,10,108477.81960378999,123425.76802966751,Republican
CA,2016,current,11,210086.47505858107,93505.58210164498,Democrat
CA,2016,current,12,261757.78736242556,6632.618667998029,Democrat
CA,2016,current,13,238581.14224855235,50320.05885643162,Democrat
CA,2016,current,14,260001.5750473768,40973.01865086375,Democrat
CA,2016,current,15,243708.41464397323,41914.75196000001,Democrat
CA,2016,current,16,99071.14899696266,93218.2288134817,Democrat
CA,2016,current,17,249622.4979714037,4744.149015942701,Democrat
CA,2016,current,18,192165.76842146477,86457.6494515304,Democrat
CA,2016,current,19,197381.0979620852,67386.9955676037,Democrat
CA,2016,current,20,186416.9754840206,81766.96318404327,Democrat
CA,2016,current,21,62751.15625811821,124291.25066494854,Republican
CA,2016,current,22,76255.6791780476,121795.9156419738,Republican
CA,2016,current,23,73236.87300361862,128463.89407848648,Republican
CA,2016,current,24,165198.54395472695,145277.13342245878,Democrat
CA,2016,current,25,149261.9815702827,66325.39823137493,Democrat
CA,2016,current,26,164947.51961576534,122657.42892834201,Democrat
CA,2016,current,27,229230.7390670522,23589.99589596456,Democrat
CA,2016,current,28,174956.70284417438,45051.44327747736,Democrat
CA,2016,current,29,154116.41099142755,54905.36526038487,Democrat
CA,2016,current,30,168063.70270160065,50291.52030254625,Democrat
CA,2016,current,31,118696.01855439968,94416.04247084021,Democrat
CA,2016,current,32,193754.39287831233,37937.619219819215,Democrat
CA,2016,current,33,164685.3141589818,54881.14103573979,Democrat
CA,2016,current,34,199255.3890714942,29940.189561581938,Democrat
CA,2016,current,35,122125.5026099354,87304.53406406421,Democrat
CA,2016,current,36,100034.34737050172,119527.52451121212,Republican
CA,2016,current,37,177060.90192335463,45865.06956940835,Democrat
CA,2016,current,38,170505.13921534637,48831.30927187907,Democrat
CA,2016,current,39,176367.51136058423,75406.64756096795,Democrat
CA,2016,current,40,127254.61124073454,68980.6314025191,Democrat
CA,2016,current,41,130023.19063004867,97774.36792588237,Democrat
