State,ElectionDate,MapType,DemocratDistricts,RepublicanDistricts
AL,2016,Compact,1,6
AL,2016,Competitive,2,5
AL,2016,Dem,2,5
AL,2016,GOP,1,6
AL,2016,MajMin,2,5
AL,2016,Proportional,2,5
AL,2016,algorithmic-compact,1,6
AL,2016,current,1,6
AR,2016,Compact,0,4
AR,2016,Competitive,1,3
AR,2016,Dem,1,3
AR,2016,GOP,0,4
AR,2016,MajMin,1,3
AR,2016,Proportional,1,3
AR,2016,algorithmic-compact,0,4
AR,2016,current,0,4
AZ,2016,Compact,2,7
AZ,2016,Competitive,3,6
AZ,2016,Dem,4,5
AZ,2016,GOP,3,6
AZ,2016,MajMin,3,6
AZ,2016,Proportional,3,6
AZ,2016,algorithmic-compact,3,6
AZ,2016,current,3,6
CA,2016,Compact,44,9
CA,2016,Competitive,45,8
CA,2016,Dem,44,9
CA,2016,GOP,42,11
CA,2016,MajMin,43,10
CA,2016,Proportional,42,11
CA,2016,algorithmic-compact,41,12
CA,2016,current,41,12
CO,2016,Compact,3,4
CO,2016,Competitive,5,2
CO,2016,Dem,5,2
CO,2016,GOP,3,4
CO,2016,MajMin,3,4
CO,2016,Proportional,4,3
CO,2016,algorithmic-compact,4,3
CO,2016,current,4,3
CT,2016,Compact,5,0
CT,2016,Competitive,5,0
CT,2016,Dem,5,0
CT,2016,GOP,4,1
CT,2016,MajMin,5,0
CT,2016,Proportional,4,1
CT,2016,algorithmic-compact,5,0
CT,2016,current,5,0
DE,2016,Compact,1,0
DE,2016,Competitive,1,0
DE,2016,Dem,1,0
DE,2016,GOP,1,0
DE,2016,MajMin,1,0
DE,2016,Proportional,1,0
DE,2016,algorithmic-compact,1,0
DE,2016,current,1,0
FL,2016,Compact,15,12
FL,2016,Competitive,15,12
FL,2016,Dem,16,11
FL,2016,GOP,9,18
FL,2016,MajMin,14,13
FL,2016,Proportional,14,13
FL,2016,algorithmic-compact,14,13
FL,2016,current,14,13
GA,2016,Compact,5,9
GA,2016,Competitive,6,8
GA,2016,Dem,8,6
GA,2016,GOP,4,10
GA,2016,MajMin,7,7
GA,2016,Proportional,7,7
GA,2016,algorithmic-compact,5,9
GA,2016,current,5,9
HI,2016,Compact,2,0
HI,2016,Competitive,2,0
HI,2016,Dem,2,0
HI,2016,GOP,2,0
HI,2016,MajMin,2,0
HI,2016,Proportional,2,0
HI,2016,algorithmic-compact,2,0
HI,2016,current,2,0
IA,2016,Compact,0,4
IA,2016,Competitive,0,4
IA,2016,Dem,2,2
IA,2016,GOP,1,3
IA,2016,MajMin,1,3
IA,2016,Proportional,0,4
IA,2016,algorithmic-compact,0,4
IA,2016,current,0,4
ID,2016,Compact,0,2
ID,2016,Competitive,0,2
ID,2016,Dem,0,2
ID,2016,GOP,0,2
ID,2016,MajMin,0,2
ID,2016,Proportional,0,2
ID,2016,algorithmic-compact,0,2
ID,2016,current,0,2
IL,2016,Compact,11,7
IL,2016,Competitive,11,7
IL,2016,Dem,13,5
IL,2016,GOP,11,7
IL,2016,MajMin,11,7
IL,2016,Proportional,11,7
