ElectionDate,MapType,DemocratDistricts,RepublicanDistricts
2008,Compact,256,178
2008,Competitive,288,146
2008,Dem,277,157
2008,GOP,231,203
2008,MajMin,259,175
2008,Proportional,263,171
2008,algorithmic-compact,246,188
2008,current,246,188
2012,Compact,226,208
2012,Competitive,252,182
2012,Dem,258,176
2012,GOP,198,236
2012,MajMin,233,201
2012,Proportional,239,195
2012,algorithmic-compact,220,214
2012,current,220,214
2016,Compact,214,220
2016,Competitive,224,210
2016,Dem,253,181
2016,GOP,185,249
2016,MajMin,216,218
2016,Proportional,224,210
2016,algorithmic-compact,207,227
2016,current,207,227
