State,ElectionDate,MapType,District,DemocratVote,RepublicanVote,Winner
AL,2016,Compact,1,96639.25338425119,190417.82637707802,Republican
AL,2016,Compact,2,93304.73584131409,181263.66265143693,Republican
AL,2016,Compact,3,68035.77670848957,221913.64750305016,Republican
AL,2016,Compact,4,67072.364157433,222513.81809168588,Republican
AL,2016,Compact,5,91567.0,201275.0,Republican
AL,2016,Compact,6,154559.8132973243,138967.3438098664,Democrat
AL,2016,Compact,7,146905.05661118787,150573.7015668826,Republican
AL,2016,Competitive,1,73737.973472273,216130.78655527826,Republican
AL,2016,Competitive,2,116385.99300150873,156125.92574950124,Republican
AL,2016,Competitive,3,65603.89586210818,221241.6013596677,Republican
AL,2016,Competitive,4,59871.242649906555,237436.6565160027,Republican
AL,2016,Competitive,5,91567.0,201275.0,Republican
AL,2016,Competitive,6,154753.58304890068,138857.14895076724,Democrat
AL,2016,Competitive,7,156164.3119653028,135857.88086878287,Democrat
AL,2016,Dem,1,73655.18968271099,216304.34014087272,Republican
AL,2016,Dem,2,147381.79566234697,134052.0900087231,Democrat
AL,2016,Dem,3,92570.93593849555,187948.2677637298,Republican
AL,2016,Dem,4,57873.930268667034,232167.88485798927,Republican
AL,2016,Dem,5,87688.33686650271,198823.36435082825,Republican
AL,2016,Dem,6,95541.2861088606,208215.46961028484,Republican
AL,2016,Dem,7,163372.52547241614,129413.58326757203,Democrat
AL,2016,GOP,1,99321.07133196994,187388.46499758642,Republican
AL,2016,GOP,2,97238.30984341033,184526.86250299797,Republican
AL,2016,GOP,3,92761.8424268076,182531.84494421736,Republican
AL,2016,GOP,4,53101.93121667495,228730.0649133016,Republican
AL,2016,GOP,5,96493.3524648485,199609.2741702545,Republican
AL,2016,GOP,6,100954.90715928999,202115.77064623393,Republican
AL,2016,GOP,7,178212.5855569987,122022.71782540827,Democrat
AL,2016,MajMin,1,73655.18968271099,216304.34014087272,Republican
AL,2016,MajMin,2,147381.79566234697,134052.0900087231,Democrat
AL,2016,MajMin,3,92570.93593849555,187948.2677637298,Republican
AL,2016,MajMin,4,57873.930268667034,232167.88485798927,Republican
AL,2016,MajMin,5,87688.33686650271,198823.36435082825,Republican
AL,2016,MajMin,6,95541.2861088606,208215.46961028484,Republican
AL,2016,MajMin,7,163372.52547241614,129413.58326757203,Democrat
AL,2016,Proportional,1,73655.18968271099,216304.34014087272,Republican
AL,2016,Proportional,2,147381.79566234697,134052.0900087231,Democrat
AL,2016,Proportional,3,92570.93593849555,187948.2677637298,Republican
AL,2016,Proportional,4,57873.930268667034,232167.88485798927,Republican
AL,2016,Proportional,5,87688.33686650271,198823.36435082825,Republican
AL,2016,Proportional,6,95541.2861088606,208215.46961028484,Republican
AL,2016,Proportional,7,163372.52547241614,129413.58326757203,Democrat
AL,2016,algorithmic-compact,1,99321.07133196994,187388.46499758642,Republican
AL,2016,algorithmic-compact,2,97238.30984341033,184526.86250299797,Republican
AL,2016,algorithmic-compact,3,92761.8424268076,182531.84494421736,Republican
AL,2016,algorithmic-compact,4,53101.93121667495,228730.0649133016,Republican
AL,2016,algorithmic-compact,5,96493.3524648485,199609.2741702545,Republican
AL,2016,algorithmic-compact,6,100954.90715928999,202115.77064623393,Republican
AL,2016,algorithmic-compact,7,178212.5855569987,122022.71782540827,Democrat
AL,2016,current,1,99321.07133196994,187388.46499758642,Republican
AL,2016,current,2,97238.30984341033,184526.86250299797,Republican
AL,2016,current,3,92761.8424268076,182531.84494421736,Republican
AL,2016,current,4,53101.93121667495,228730.0649133016,Republican
AL,2016,current,5,96493.3524648485,199609.2741702545,Republican
AL,2016,current,6,100954.90715928999,202115.77064623393,Republican
AL,2016,current,7,178212.5855569987,122022.71782540827,Democrat
AR,2016,Compact,1,76488.66789114394,176022.92253812274,Republican
AR,2016,Compact,2,122505.48656440107,150198.49611643812,Republican
AR,2016,Compact,3,87280.10158181294,176441.0964581902,Republican
AR,2016,Compact,4,92454.74396264207,175241.4848872489,Republican
AR,2016,Competitive,1,70067.0,190969.0,Republican
AR,2016,Competitive,2,139802.0,122154.0,Democrat
AR,2016,Competitive,3,87979.0,178001.0,Republican
AR,2016,Competitive,4,80881.0,186780.0,Republican
AR,2016,Dem,1,76894.72004860864,198021.67024043482,Republican
AR,2016,Dem,2,132326.33653498132,114338.3345356439,Democrat
AR,2016,Dem,3,87979.0,178001.0,Republican
AR,2016,Dem,4,81528.94341641002,187542.99522392132,Republican
AR,2016,GOP,1,79268.7306427803,166857.9704579734,Republican
AR,2016,GOP,2,127543.0,160447.0,Republican
AR,2016,GOP,3,87335.73976505942,178654.7096468596,Republican
AR,2016,GOP,4,84581.52959216027,171944.31989516696,Republican
AR,2016,MajMin,1,65581.73681904637,198247.33346886307,Republican
AR,2016,MajMin,2,127801.55219974877,112657.11098392353,Democrat
AR,2016,MajMin,3,87979.0,178001.0,Republican
AR,2016,MajMin,4,97366.71098120479,188998.55554721336,Republican
AR,2016,Proportional,1,76894.72004860864,198021.67024043482,Republican
AR,2016,Proportional,2,132326.33653498132,114338.3345356439,Democrat
AR,2016,Proportional,3,87979.0,178001.0,Republican
AR,2016,Proportional,4,81528.94341641002,187542.99522392132,Republican
AR,2016,algorithmic-compact,1,79268.7306427803,166857.9704579734,Republican
AR,2016,algorithmic-compact,2,127543.0,160447.0,Republican
AR,2016,algorithmic-compact,3,87335.73976505942,178654.7096468596,Republican
AR,2016,algorithmic-compact,4,84581.52959216027,171944.31989516696,Republican
AR,2016,current,1,79268.7306427803,166857.9704579734,Republican
AR,2016,current,2,127543.0,160447.0,Republican
AR,2016,current,3,87335.73976505942,178654.7096468596,Republican
AR,2016,current,4,84581.52959216027,171944.31989516696,Republican
AZ,2016,Compact,1,96673.09460628197,148290.00331609626,Republican
