State,ElectionDate,MapType,DemocratDistricts,RepublicanDistricts
AL,2008,Compact,0,7
AL,2008,Competitive,2,5
AL,2008,Dem,2,5
AL,2008,GOP,1,6
AL,2008,MajMin,2,5
AL,2008,Proportional,2,5
AL,2008,algorithmic-compact,0,7
AL,2008,current,1,6
AL,2012,Compact,1,6
AL,2012,Competitive,2,5
AL,2012,Dem,2,5
AL,2012,GOP,1,6
AL,2012,MajMin,2,5
AL,2012,Proportional,2,5
AL,2012,algorithmic-compact,0,7
AL,2012,current,1,6
AL,2016,Compact,0,7
AL,2016,Competitive,2,5
AL,2016,Dem,2,5
AL,2016,GOP,1,6
AL,2016,MajMin,2,5
AL,2016,Proportional,2,5
AL,2016,algorithmic-compact,0,7
AL,2016,current,1,6
AR,2008,Compact,0,4
AR,2008,Competitive,1,3
AR,2008,Dem,1,3
AR,2008,GOP,0,4
AR,2008,MajMin,0,4
AR,2008,Proportional,1,3
AR,2008,algorithmic-compact,0,4
AR,2008,current,0,4
AR,2012,Compact,0,4
AR,2012,Competitive,1,3
AR,2012,Dem,1,3
AR,2012,GOP,0,4
AR,2012,MajMin,0,4
AR,2012,Proportional,1,3
AR,2012,algorithmic-compact,0,4
AR,2012,current,0,4
AR,2016,Compact,0,4
AR,2016,Competitive,1,3
AR,2016,Dem,0,4
AR,2016,GOP,0,4
AR,2016,MajMin,0,4
AR,2016,Proportional,0,4
AR,2016,algorithmic-compact,0,4
AR,2016,current,0,4
AZ,2008,Compact,1,8
AZ,2008,Competitive,1,8
AZ,2008,Dem,1,8
AZ,2008,GOP,0,9
AZ,2008,MajMin,1,8
AZ,2008,Proportional,1,8
AZ,2008,algorithmic-compact,1,8
AZ,2008,current,0,9
AZ,2012,Compact,1,8
AZ,2012,Competitive,1,8
AZ,2012,Dem,1,8
AZ,2012,GOP,0,9
AZ,2012,MajMin,1,8
AZ,2012,Proportional,1,8
AZ,2012,algorithmic-compact,1,8
AZ,2012,current,0,9
AZ,2016,Compact,2,7
AZ,2016,Competitive,2,7
AZ,2016,Dem,2,7
AZ,2016,GOP,2,7
AZ,2016,MajMin,2,7
AZ,2016,Proportional,2,7
AZ,2016,algorithmic-compact,2,7
AZ,2016,current,2,7
CA,2008,Compact,44,9
CA,2008,Competitive,46,7
CA,2008,Dem,46,7
CA,2008,GOP,46,7
CA,2008,MajMin,47,6
CA,2008,Proportional,46,7
CA,2008,algorithmic-compact,48,5
CA,2008,current,46,7
CA,2012,Compact,40,13
CA,2012,Competitive,41,12
CA,2012,Dem,44,9
CA,2012,GOP,44,9
CA,2012,MajMin,42,11
CA,2012,Proportional,44,9
