ElectionDate,MapType,DemocratDistricts,RepublicanDistricts
2008,Compact,267,167
2008,Competitive,285,149
2008,Dem,285,149
2008,GOP,268,166
2008,MajMin,281,153
2008,Proportional,276,158
2008,algorithmic-compact,280,154
2008,current,267,167
2012,Compact,236,198
2012,Competitive,252,182
2012,Dem,263,171
2012,GOP,235,199
2012,MajMin,245,189
2012,Proportional,251,183
2012,algorithmic-compact,246,188
2012,current,239,195
2016,Compact,225,209
2016,Competitive,231,203
2016,Dem,249,185
2016,GOP,220,214
2016,MajMin,231,203
2016,Proportional,237,197
2016,algorithmic-compact,223,211
2016,current,226,208
