State,ElectionDate,MapType,District,DemocratVote,RepublicanVote,Winner
AL,2008,Compact,1,111709.5,182874.0,Republican
AL,2008,Compact,2,107575.5,177639.5,Republican
AL,2008,Compact,3,70025.5,178197.0,Republican
AL,2008,Compact,4,77428.0,183216.5,Republican
AL,2008,Compact,5,100960.0,186387.0,Republican
AL,2008,Compact,6,176433.5,184451.0,Republican
AL,2008,Compact,7,169347.0,173781.0,Republican
AL,2008,Competitive,1,96630.5,205175.5,Republican
AL,2008,Competitive,2,110893.0,156936.0,Republican
AL,2008,Competitive,3,73055.5,188773.0,Republican
AL,2008,Competitive,4,80858.5,203933.5,Republican
AL,2008,Competitive,5,100960.0,186387.0,Republican
AL,2008,Competitive,6,172996.0,172941.0,Democrat
AL,2008,Competitive,7,178085.5,152400.0,Democrat
AL,2008,Dem,1,96630.5,205175.5,Republican
AL,2008,Dem,2,150479.5,141387.0,Democrat
AL,2008,Dem,3,108547.5,182075.5,Republican
AL,2008,Dem,4,81625.0,217361.0,Republican
AL,2008,Dem,5,104222.0,188543.5,Republican
AL,2008,Dem,6,118427.0,191920.0,Republican
AL,2008,Dem,7,153547.5,140083.5,Democrat
AL,2008,GOP,1,117804.0,184257.0,Republican
AL,2008,GOP,2,91224.0,171230.33333333334,Republican
AL,2008,GOP,3,117966.0,178657.3333333333,Republican
AL,2008,GOP,4,88277.0,228489.5,Republican
AL,2008,GOP,5,104064.0,177686.5,Republican
AL,2008,GOP,6,113692.5,177685.0,Republican
AL,2008,GOP,7,180451.5,148540.3333333333,Democrat
AL,2008,MajMin,1,96630.5,205175.5,Republican
AL,2008,MajMin,2,150479.5,141387.0,Democrat
AL,2008,MajMin,3,108547.5,182075.5,Republican
AL,2008,MajMin,4,81625.0,217361.0,Republican
AL,2008,MajMin,5,104222.0,188543.5,Republican
AL,2008,MajMin,6,118427.0,191920.0,Republican
AL,2008,MajMin,7,153547.5,140083.5,Democrat
AL,2008,Proportional,1,96630.5,205175.5,Republican
AL,2008,Proportional,2,150479.5,141387.0,Democrat
AL,2008,Proportional,3,108547.5,182075.5,Republican
AL,2008,Proportional,4,81625.0,217361.0,Republican
AL,2008,Proportional,5,104222.0,188543.5,Republican
AL,2008,Proportional,6,118427.0,191920.0,Republican
AL,2008,Proportional,7,153547.5,140083.5,Democrat
AL,2008,algorithmic-compact,1,116230.0,180328.5,Republican
AL,2008,algorithmic-compact,2,125662.66666666667,169810.1666666667,Republican
AL,2008,algorithmic-compact,3,115663.91666666667,224741.75,Republican
AL,2008,algorithmic-compact,4,117364.75,198425.0833333333,Republican
AL,2008,algorithmic-compact,5,100659.0,186391.8333333333,Republican
AL,2008,algorithmic-compact,6,51450.75,74324.75,Republican
AL,2008,algorithmic-compact,7,186447.9166666667,232523.91666666666,Republican
AL,2008,current,1,117804.0,184257.0,Republican
AL,2008,current,2,91224.0,171230.33333333334,Republican
AL,2008,current,3,117966.0,178657.3333333333,Republican
AL,2008,current,4,88277.0,228489.5,Republican
AL,2008,current,5,104064.0,177686.5,Republican
AL,2008,current,6,113692.5,177685.0,Republican
AL,2008,current,7,180451.5,148540.3333333333,Democrat
AL,2012,Compact,1,107152.5,183466.0,Republican
AL,2012,Compact,2,108093.0,173781.5,Republican
AL,2012,Compact,3,67149.0,176693.5,Republican
AL,2012,Compact,4,71687.5,182022.5,Republican
AL,2012,Compact,5,97100.0,191458.0,Republican
AL,2012,Compact,6,169630.0,177034.5,Republican
AL,2012,Compact,7,172808.0,167997.0,Democrat
AL,2012,Competitive,1,93783.5,206201.0,Republican
AL,2012,Competitive,2,111000.0,152883.0,Republican
AL,2012,Competitive,3,71131.0,187379.16666666666,Republican
AL,2012,Competitive,4,74987.5,203716.66666666666,Republican
AL,2012,Competitive,5,97100.0,191458.0,Republican
AL,2012,Competitive,6,166306.0,165160.66666666666,Democrat
AL,2012,Competitive,7,179312.0,145654.5,Democrat
AL,2012,Dem,1,93783.5,206201.0,Republican
AL,2012,Dem,2,150889.0,135434.5,Democrat
AL,2012,Dem,3,108969.0,177160.5,Republican
AL,2012,Dem,4,76103.0,217146.0,Republican
AL,2012,Dem,5,99143.0,190676.0,Republican
AL,2012,Dem,6,113982.5,190929.5,Republican
AL,2012,Dem,7,150750.0,134905.5,Democrat
AL,2012,GOP,1,113248.5,184811.5,Republican
AL,2012,GOP,2,92967.66666666666,167802.0,Republican
AL,2012,GOP,3,116964.66666666666,173847.0,Republican
AL,2012,GOP,4,81524.5,226792.0,Republican
AL,2012,GOP,5,100424.5,182364.0,Republican
AL,2012,GOP,6,109032.5,175389.0,Republican
AL,2012,GOP,7,179457.66666666666,141447.5,Democrat
AL,2012,MajMin,1,93783.5,206201.0,Republican
AL,2012,MajMin,2,150889.0,135434.5,Democrat
AL,2012,MajMin,3,108969.0,177160.5,Republican
AL,2012,MajMin,4,76103.0,217146.0,Republican
AL,2012,MajMin,5,99143.0,190676.0,Republican
AL,2012,MajMin,6,113982.5,190929.5,Republican
AL,2012,MajMin,7,150750.0,134905.5,Democrat
AL,2012,Proportional,1,93783.5,206201.0,Republican
AL,2012,Proportional,2,150889.0,135434.5,Democrat
AL,2012,Proportional,3,108969.0,177160.5,Republican
AL,2012,Proportional,4,76103.0,217146.0,Republican
AL,2012,Proportional,5,99143.0,190676.0,Republican
AL,2012,Proportional,6,113982.5,190929.5,Republican
AL,2012,Proportional,7,150750.0,134905.5,Democrat
AL,2012,algorithmic-compact,1,111730.0,181107.0,Republican
AL,2012,algorithmic-compact,2,126710.33333333333,165201.8333333333,Republican
AL,2012,algorithmic-compact,3,110641.33333333333,220050.41666666666,Republican
AL,2012,algorithmic-compact,4,111188.5,195116.91666666666,Republican
AL,2012,algorithmic-compact,5,96549.5,190957.16666666666,Republican
AL,2012,algorithmic-compact,6,49457.5,73601.41666666666,Republican
AL,2012,algorithmic-compact,7,187342.8333333333,226418.25,Republican
AL,2012,current,1,113248.5,184811.5,Republican
AL,2012,current,2,92967.66666666666,167802.0,Republican
AL,2012,current,3,116964.66666666666,173847.0,Republican
AL,2012,current,4,81524.5,226792.0,Republican
AL,2012,current,5,100424.5,182364.0,Republican
AL,2012,current,6,109032.5,175389.0,Republican
AL,2012,current,7,179457.66666666666,141447.5,Democrat
AL,2016,Compact,1,95449.5,189077.5,Republican
AL,2016,Compact,2,94114.0,183223.5,Republican
AL,2016,Compact,3,59175.5,192474.0,Republican
AL,2016,Compact,4,57888.0,206727.5,Republican
AL,2016,Compact,5,91567.0,201275.0,Republican
AL,2016,Compact,6,163044.5,167037.0,Republican
AL,2016,Compact,7,156845.5,167110.5,Republican
AL,2016,Competitive,1,82657.5,217607.5,Republican
AL,2016,Competitive,2,102964.0,159364.5,Republican
AL,2016,Competitive,3,62072.833333333336,203935.5,Republican
AL,2016,Competitive,4,62495.333333333336,228922.0,Republican
AL,2016,Competitive,5,91567.0,201275.0,Republican
AL,2016,Competitive,6,159223.33333333334,154896.0,Democrat
AL,2016,Competitive,7,157104.0,140924.5,Democrat
AL,2016,Dem,1,82657.5,217607.5,Republican
AL,2016,Dem,2,132543.0,131902.5,Democrat
AL,2016,Dem,3,98781.0,185456.5,Republican
AL,2016,Dem,4,59980.5,246843.5,Republican
AL,2016,Dem,5,91051.0,202441.0,Republican
AL,2016,Dem,6,111396.5,191434.0,Republican
AL,2016,Dem,7,141674.5,131240.0,Democrat
AL,2016,GOP,1,101068.0,189505.5,Republican
AL,2016,GOP,2,81101.33333333333,173106.33333333334,Republican
AL,2016,GOP,3,104216.33333333333,185051.8333333333,Republican
AL,2016,GOP,4,64502.5,257988.5,Republican
AL,2016,GOP,5,94699.5,191471.5,Republican
AL,2016,GOP,6,106355.5,174734.0,Republican
AL,2016,GOP,7,166140.83333333334,135067.3333333333,Democrat
AL,2016,MajMin,1,82657.5,217607.5,Republican
AL,2016,MajMin,2,132543.0,131902.5,Democrat
AL,2016,MajMin,3,98781.0,185456.5,Republican
AL,2016,MajMin,4,59980.5,246843.5,Republican
AL,2016,MajMin,5,91051.0,202441.0,Republican
AL,2016,MajMin,6,111396.5,191434.0,Republican
AL,2016,MajMin,7,141674.5,131240.0,Democrat
AL,2016,Proportional,1,82657.5,217607.5,Republican
AL,2016,Proportional,2,132543.0,131902.5,Democrat
AL,2016,Proportional,3,98781.0,185456.5,Republican
AL,2016,Proportional,4,59980.5,246843.5,Republican
AL,2016,Proportional,5,91051.0,202441.0,Republican
AL,2016,Proportional,6,111396.5,191434.0,Republican
AL,2016,Proportional,7,141674.5,131240.0,Democrat
AL,2016,algorithmic-compact,1,99653.0,185236.5,Republican
AL,2016,algorithmic-compact,2,112956.33333333334,170447.8333333333,Republican
AL,2016,algorithmic-compact,3,97297.58333333333,235405.5,Republican
AL,2016,algorithmic-compact,4,96658.41666666666,211847.16666666666,Republican
AL,2016,algorithmic-compact,5,90996.66666666666,202852.16666666666,Republican
AL,2016,algorithmic-compact,6,48312.583333333336,72725.0,Republican
AL,2016,algorithmic-compact,7,172209.41666666666,228410.83333333334,Republican
AL,2016,current,1,101068.0,189505.5,Republican
AL,2016,current,2,81101.33333333333,173106.33333333334,Republican
AL,2016,current,3,104216.33333333333,185051.8333333333,Republican
AL,2016,current,4,64502.5,257988.5,Republican
AL,2016,current,5,94699.5,191471.5,Republican
AL,2016,current,6,106355.5,174734.0,Republican
AL,2016,current,7,166140.83333333334,135067.3333333333,Democrat
AR,2008,Compact,1,103428.5,160743.5,Republican
AR,2008,Compact,2,125649.0,149359.5,Republican
AR,2008,Compact,3,83735.0,156899.5,Republican
AR,2008,Compact,4,109497.5,171014.5,Republican
AR,2008,Competitive,1,89892.0,167114.0,Republican
AR,2008,Competitive,2,150614.0,132500.0,Democrat
AR,2008,Competitive,3,85950.0,159738.0,Republican
AR,2008,Competitive,4,95854.0,178665.0,Republican
AR,2008,Dem,1,105863.5,175474.0,Republican
AR,2008,Dem,2,106493.0,100509.5,Democrat
AR,2008,Dem,3,85950.0,159738.0,Republican
AR,2008,Dem,4,124003.5,202295.5,Republican
AR,2008,GOP,1,111176.0,155935.5,Republican
AR,2008,GOP,2,129888.0,157732.0,Republican
AR,2008,GOP,3,79872.0,150156.5,Republican
AR,2008,GOP,4,101374.0,174193.0,Republican
AR,2008,MajMin,1,94932.5,171424.6666666667,Republican
AR,2008,MajMin,2,111914.5,117811.66666666666,Republican
AR,2008,MajMin,3,85950.0,159738.0,Republican
AR,2008,MajMin,4,129513.0,189042.6666666667,Republican
AR,2008,Proportional,1,105863.5,175474.0,Republican
AR,2008,Proportional,2,106493.0,100509.5,Democrat
AR,2008,Proportional,3,85950.0,159738.0,Republican
AR,2008,Proportional,4,124003.5,202295.5,Republican
AR,2008,algorithmic-compact,1,109177.33333333333,156863.49999999997,Republican
AR,2008,algorithmic-compact,2,88416.83333333333,129329.83333333334,Republican
AR,2008,algorithmic-compact,3,77502.0,142953.99999999997,Republican
AR,2008,algorithmic-compact,4,147213.8333333333,208869.66666666666,Republican
AR,2008,current,1,111176.0,155935.5,Republican
AR,2008,current,2,129888.0,157732.0,Republican
AR,2008,current,3,79872.0,150156.5,Republican
AR,2008,current,4,101374.0,174193.0,Republican
AR,2012,Compact,1,90853.0,163587.0,Republican
AR,2012,Compact,2,120126.5,149239.5,Republican
AR,2012,Compact,3,79593.5,162036.5,Republican
AR,2012,Compact,4,101380.0,168854.0,Republican
AR,2012,Competitive,1,79123.0,174660.0,Republican
AR,2012,Competitive,2,143463.0,126711.0,Democrat
AR,2012,Competitive,3,81537.0,164975.0,Republican
AR,2012,Competitive,4,87830.0,177371.0,Republican
AR,2012,Dem,1,95438.33333333333,182700.0,Republican
AR,2012,Dem,2,99276.83333333333,95133.5,Democrat
AR,2012,Dem,3,81537.0,164975.0,Republican
AR,2012,Dem,4,115700.83333333333,200908.5,Republican
AR,2012,GOP,1,99106.0,156633.0,Republican
AR,2012,GOP,2,125263.0,159929.0,Republican
AR,2012,GOP,3,74746.0,154560.0,Republican
AR,2012,GOP,4,92838.0,172595.0,Republican
AR,2012,MajMin,1,83176.66666666666,174955.6666666667,Republican
AR,2012,MajMin,2,105920.66666666666,114439.16666666666,Republican
AR,2012,MajMin,3,81537.0,164975.0,Republican
AR,2012,MajMin,4,121318.66666666666,189347.1666666667,Republican
AR,2012,Proportional,1,95438.33333333333,182700.0,Republican
AR,2012,Proportional,2,99276.83333333333,95133.5,Democrat
AR,2012,Proportional,3,81537.0,164975.0,Republican
AR,2012,Proportional,4,115700.83333333333,200908.5,Republican
AR,2012,algorithmic-compact,1,96871.66666666667,158181.3333333333,Republican
AR,2012,algorithmic-compact,2,83538.33333333334,130887.0,Republican
AR,2012,algorithmic-compact,3,73482.66666666666,148387.6666666667,Republican
AR,2012,algorithmic-compact,4,138060.3333333333,206261.0,Republican
AR,2012,current,1,99106.0,156633.0,Republican
AR,2012,current,2,125263.0,159929.0,Republican
AR,2012,current,3,74746.0,154560.0,Republican
AR,2012,current,4,92838.0,172595.0,Republican
AR,2016,Compact,1,77292.0,178254.0,Republican
AR,2016,Compact,2,122098.5,148890.0,Republican
AR,2016,Compact,3,86120.0,174117.5,Republican
AR,2016,Compact,4,93218.5,176642.5,Republican
AR,2016,Competitive,1,70067.0,190969.0,Republican
AR,2016,Competitive,2,139802.0,122154.0,Democrat
AR,2016,Competitive,3,87979.0,178001.0,Republican
AR,2016,Competitive,4,80881.0,186780.0,Republican
AR,2016,Dem,1,88614.83333333333,197356.0,Republican
AR,2016,Dem,2,92484.33333333333,94667.0,Republican
