PRECINCT	DEM	REP	TOTAL
04.1	2434	907	3341
66.1	651	479	1130
19.1	379	259	638
33.2	502	402	904
33.3	784	612	1396
30.3	201.0	274.0	475.0
30.2	152.0	230.0	382.0
35.1	792	441	1233
34.1	520	335	855
02.1	4071	1673	5744
38.3	866	1282	2148
38.2	404	756	1160
12.1	1119	182	1301
15.1	1198	310	1508
68.1	1238	1524	2762
42.1	301.0	265.0	566.0
37.1	450	496	946
51.2	228.0	247.0	475.0
36.1	684	595	1279
39.3	180.0	249.0	429.0
55.1	1007	1099	2106
10.1	1087	56	1143
06.1	2759	1087	3846
07.1	2654	2364	5018
67.1	946	778	1724
39.2	162.0	197.0	359.0
11.1	781	80	861
40.2	265.0	451.0	716.0
17.1	937	258	1195
08.2	358.0	154.0	512.0
08.3	373.0	154.0	527.0
44.1	1370	1529	2899
47.1	1071	1569	2640
23.3	145.0	138.0	282.0
13.1	1307	220	1527
09.1	1419	530	1949
16.2	439.0	118.0	556.0
03.1	3449	1149	4598
71.1	1350	1196	2546
46.1	442	477	919
70.1	1007	557	1564
20.1	540	163	703
69.1	868	1042	1910
45.1	1144	1302	2446
31.1	408	549	957
41.1	749	1078	1827
27.2	94.0	73.0	167.0
01.1	3918	2639	6557
52.1	961	1376	2337
28.1	1410	316	1726
05.1	2628	1332	3960
53.1	770	1115	1885
21.1	372.0	234.0	605.0
29.2	281.0	280.0	560.0
25.1	1021	535	1556
59.1	1257	1209	2466
63.1	163	185	348
18.2	400.0	442.0	843.0
58.1	594	644	1238
14.3	193.0	93.0	286.0
14.2	1135	298	1433
50.1	449	519	968
24.1	853	713	1566
62.1	907	725	1632
61.1	862	866	1728
64.1	603	653	1256
43.2	234.0	180.0	414.0
48.1	972	1266	2238
65.1	1233	903	2136
23.2	60.0	33.0	93.0
49.1	1030	1459	2489
57.1	860	1073	1933
60.4	144.0	193.0	337.0
22.2	276.0	158.0	434.0
26.1	792	308	1100
54.2	333.0	310.0	644.0
56.2	252.0	232.0	484.0
32.1	608	630	1238
60.2	451	313	764
