PRECINCT	DEM	REP	TOTAL
0022	407	772	1179
0015	231	681	912
0014	296	946	1242
0013	392	1256	1648
0012	247	941	1188
0011	411	1165	1576
0035	582	344	926
0034	733	532	1265
0051	920	1094	2014
0036	490	643	1133
0031	838	361	1199
0019	168	244	412
0018	122	181	303
0021	336	490	826
0039	543	448	991
0038	583	709	1292
0066	500	659	1159
0053	486	734	1220
0064	200	289	489
0065	219	409	628
0062	239	277	516
0052	348	382	730
0047-b	438.0	375.0	813.0
0020	281	323	604
0047-a	795.0	513.0	1308.0
0001	819	1075	1894
0024	658	974	1632
0003	223	497	720
0040	445	561	1006
0029-b	248.0	410.0	658.0
0029-a	178.0	494.0	672.0
0070	626	894	1520
0048	704	682	1386
