PRECINCT	DEM	REP	TOTAL
30	997	1377	2374
02	412	1061	1473
03	478	974	1452
26	503	768	1271
01	523	1660	2183
06	481	1065	1546
07	864	1013	1877
04	261	236	497
05	782	1127	1909
08	549	1180	1729
09	397	1161	1558
28	742	1293	2035
29	455	1169	1624
40	495	552	1047
41	539	1535	2074
14	441	673	1114
24	808	1877	2685
25	592	622	1214
39	456	1179	1635
27	649	1688	2337
20	715	1360	2075
38	672	1312	1984
21	294	788	1082
11	355	359	714
10	288	114	402
13	601	307	908
12	918	199	1117
15	615	12	627
22	781	1304	2085
17	459	496	955
16	725	715	1440
19	314	405	719
32	877	1019	1896
31	726	1964	2690
23	857	1795	2652
37	731	846	1577
36	560	1013	1573
35	606	826	1432
34	1017	2156	3173
33	1179	2722	3901
