PRECINCT	DEM	REP	TOTAL
bethwr	347	741	1088
mrb-yo	316	584	900
h spgs	153.0	270.0	423.0
latt	501	1143	1644
km s	1177.0	1469.0	2646.0
kingst	500	176	676
b spgs	950.0	1521.0	2471.0
mulls	382	773	1155
shangi	690	1058	1748
km n	1312.0	1566.0	2878.0
polkvl	478	887	1365
oakgrv	598.0	1413.0	2011.0
casar	174	638	812
falstn	276	691	967
s 1	912.0	394.0	1306.0
s 2	1082.0	1047.0	2129.0
s 3	759.0	381.0	1140.0
s 4	1094.0	533.0	1627.0
s 5	960.0	727.0	1687.0
s 6	1144.0	782.0	1926.0
s 7	955.0	870.0	1825.0
s 8	824.0	663.0	1487.0
waco	877	1118	1995
lawndl	722	435	1157
grover	649	1237	1886
rippy	979	1240	2219
