PRECINCT	DEM	REP	TOTAL
g2e-2	1673.0	247.0	1920.0
ah49	1514	573	2087
g2e-1	1139.0	223.0	1362.0
cl57-1	1472.0	493.0	1965.0
cl57-2	1451.0	364.0	1815.0
cc12	332	856	1188
lr63	1881	557	2438
cc13	1640	65	1705
cc34	622	773	1395
g10a	1293.0	1507.0	2800.0
g10b	910.0	695.0	1605.0
g10c	744.0	1119.0	1863.0
g5b-1	1745.0	190.0	1935.0
g5b-2	1275.0	307.0	1583.0
g2c-1	935.0	639.0	1574.0
cu02	753	561	1314
g3a-1	1576.0	577.0	2154.0
cc10	500	274	774
g2c-2	880.0	816.0	1697.0
g5a-1	1301.0	444.0	1745.0
g5c	1101.0	481.0	1583.0
cc19	668	15	683
li65	857	1238	2095
g7a	337.0	570.0	907.0
g9a	910.0	838.0	1748.0
g7b	291.0	505.0	796.0
g1b	1218.0	1411.0	2628.0
g1a	1099.0	360.0	1459.0
g5a-2	867.0	593.0	1460.0
cc21	1672	560	2232
g3c	455.0	412.0	867.0
g3b	430.0	240.0	670.0
cc24	444	354	798
cc25	689	448	1137
cc26	1641	509	2150
cc27	1809	443	2252
cc06	385	408	793
cc07	318	431	749
cc04	376	356	732
cc05	1277	121	1398
al51	1109	1617	2726
cc01	1327	152	1479
g8d	915.0	940.0	1855.0
cc14	813	1060	1873
g8a	1368.0	686.0	2054.0
g8b	682.0	613.0	1294.0
g8c	998.0	505.0	1503.0
eo61-2	602	705	1307
g9b-1	1223.0	1076.0	2299.0
g9b-2	1132.0	1054.0	2187.0
eo61-1	793	1074	1867
g11b	984.0	682.0	1666.0
sh77	680	829	1509
cc31	802	485	1287
cc29	1033	419	1452
cc18	451	666	1117
g3a-2	870.0	529.0	1399.0
cc08	393	563	956
g4a	618.0	424.0	1042.0
g4b	646.0	574.0	1220.0
g4c	798.0	279.0	1077.0
g6b	340.0	480.0	821.0
g6c	716.0	676.0	1392.0
g6a	909.0	1619.0	2528.0
cc03	503	124	627
cc33	1039	555	1594
cc32	721	142	863
g2d	1333.0	1143.0	2476.0
g2b	1811.0	932.0	2743.0
g2a	1861.0	883.0	2744.0
g11a-2	1197.0	317.0	1514.0
g11a-1	1293.0	319.0	1612.0
mr02	1153	550	1703
cc15	749	977	1726
mb62	1248	306	1554
cc17	1598	182	1780
cc16	1516	38	1554
