PRECINCT	DEM	REP	TOTAL
30	1206	171	1377
28	542	1001	1543
58	589	1211	1800
60	1019	1709	2728
82	476	1223	1699
62	682	258	940
36	501	281	782
64	916	187	1103
66	473	547	1020
68	609	709	1318
34	606	424	1030
84	824	2224	3048
24	275	526	801
26	205	359	564
06	456	1152	1608
04	937	2671	3608
46	447	1248	1695
80a	619.0	2452.0	3072.0
42	257	1210	1467
40	734	610	1344
18	245	915	1160
14	220	875	1095
86a	780.0	1388.0	2169.0
44	890	1973	2863
76	497	1605	2102
12	179	370	549
72	350	1392	1742
70	399	1184	1583
20	439	1265	1704
32	468	272	740
78	576	1444	2020
10	587	969	1556
38	665	108	773
22	169	394	563
16	455	1613	2068
54	168	883	1051
56	179	571	750
50	515	1569	2084
52	782	1923	2705
74	597	1924	2521
88	379.0	1238.0	1617.0
48	460	1167	1627
08	286	433	719
