PRECINCT	DEM	REP	TOTAL
gr	368	1283	1651
sclay	337	1141	1478
sum4	294	1121	1415
sum3	233	644	877
sum2	767	459	1226
sum1	1038	547	1585
fr4	412	683	1095
fr2	711	964	1675
g08	1297	332	1629
g09	1630	290	1920
g04	1328	79	1407
g05	1180	20	1200
g06	1180	32	1212
g07	1023	300	1323
g01	841	79	920
g02	524	196	720
g40b	490	612	1102
stok	716	1879	2595
g31	533	542	1075
g30	561	726	1287
g33	599	760	1359
g32	915	1050	1965
g35	516	439	955
g34	656	766	1422
g37	1288	456	1744
g36	774	581	1355
g39	749	453	1202
g38	1017	708	1725
cg3b	880	996	1876
cg3a	602	702	1304
g41b	543.0	720.0	1263.0
g41a	574.0	499.0	1073.0
mon2a	1505.0	538.0	2043.0
mon2b	756.0	432.0	1188.0
ndri	320	1198	1518
h15	653	620	1273
or2	536	1240	1776
or1	648	1749	2397
h16	393	491	884
cg1	939	824	1763
cg2	657	798	1455
g40a1	567	599	1166
g40a2	474	421	895
g26	1465	581	2046
g27	1052	1175	2227
g24	563	295	858
g25	779	571	1350
g22	560	778	1338
g23	587	408	995
g20	867	928	1795
g21	1291	1102	2393
g28	561	375	936
g29	727	463	1190
mon3	971	1742	2713
mon1	1013	583	1596
fen1	1978	742	2720
h19b	289	313	602
h19a	832	120	952
fen2	442	999	1441
h29a	779.0	568.0	1347.0
h29b	889.0	585.0	1474.0
h20b	331	503	834
h20a	482	441	923
g53	1923	146	2069
g52	1408	122	1530
g51	871	375	1246
g50	1659	348	2007
g57	1112	282	1394
g56	951	255	1206
g55	1476	218	1694
g54	1660	147	1807
g59	814	236	1050
g58	1095	208	1303
smad	814	990	1804
nmad	635	766	1401
h09	1246	39	1285
h08	717	42	759
h03	813	193	1006
h02	463	566	1029
h01	742	331	1073
h07	957	72	1029
h06	1145	765	1910
h05	1263	184	1447
h04	950	555	1505
g42	958	969	1927
g43	1374	561	1935
g44	1152	275	1427
g45	1794	345	2139
g46	1845	50	1895
g47	1113	263	1376
g48	1571	538	2109
g49	622	140	762
nwash	178	729	907
gib	798	817	1615
jef1	765	1009	1774
fr3	509	669	1178
jef3	2234	445	2679
jef2	990	623	1613
pg2	531	1454	1985
jef4	569	714	1283
pg1	434	771	1205
h18	1024	273	1297
sdri	901	1933	2834
h10	1383	117	1500
h11	1102	171	1273
h12	665	266	931
h13	524	767	1291
h14	284	792	1076
rc1	1108	1039	2147
rc2	1125	1377	2502
h17	569	257	826
g75	1200	68	1268
g74	1718	30	1748
fr1	1465	927	2392
g71	1709	28	1737
g70	1920	16	1936
g73	1205	23	1228
g72	1679	77	1756
swash	141	476	617
ncgr2	413	994	1407
ncgr1	688	1561	2249
g03	1441	61	1502
sf4	882	1632	2514
sf2	320	870	1190
sf3	829	1164	1993
sf1	602	1609	2211
h28	1075.0	890.0	1965.0
h25	919	1658	2577
h24	719	938	1657
h27	1241	1588	2829
h26	599	798	1397
h21	434	580	1014
h23	388	673	1061
h22	407	429	836
g68	1852	17	1869
g69	1671	120	1791
g62	623	365	988
g63	725	488	1213
g60	949	292	1241
g61	1157	283	1440
g66	891	863	1754
g67	1245	12	1257
g64	1375	435	1810
g65	1070	650	1720
jam4	468	1165	1633
jam5	235	729	964
nclay1	638	1195	1833
nclay2	305	756	1061
g16	566	582	1148
g15	655	363	1018
jam1	789	1204	1993
jam2	573	736	1309
jam3	582	851	1433
g19	495	601	1096
g18	374	593	967
g17	663	630	1293
fr5b	380.0	659.0	1039.0
fr5a	615.0	805.0	1420.0
g14	606	306	912
g13	694	354	1048
g12	617	170	787
g11	761	278	1039
g10	1659	363	2022
