PRECINCT	DEM	REP	TOTAL
rr 10	735.0	1154.0	1888.0
rr 11	678.0	964.0	1643.0
wel 1	589.0	138.0	727.0
butwd	167	108	275
conc	207	52	259
rr 9	900.0	397.0	1297.0
enf1	1029.0	327.0	1356.0
lit 2	494.0	781.0	1275.0
wel 3	810.0	343.0	1154.0
lit 1	1024.0	305.0	1329.0
fauct	474	378	852
ringw	986	77	1063
hpr	843.0	548.0	1391.0
hol	1473	87	1560
rr 3	311.0	581.0	892.0
rr 4	351.0	605.0	956.0
rr 5	219.0	427.0	646.0
rr 6	216.0	511.0	727.0
rr 7	435.0	151.0	586.0
rr 8	300.0	394.0	694.0
rr1-2	416.0	570.0	986.0
enf 2	505.0	89.0	594.0
wel 2	319.0	167.0	486.0
hal	780	173	953
sn	1436	397	1833
