PRECINCT	DEM	REP	TOTAL
gr	447	1181	1628
cc	621	1257	1878
cb	260	531	791
ef	522	946	1468
ar	350	581	931
at	719	1365	2084
gm	287	538	825
ev	594	1101	1695
es	514	783	1297
hv-1	776	793	1569
hv-3	787	712	1499
hv-2	959	889	1848
pv	573	855	1428
nm	665	1223	1888
rr	237	376	613
nb	721	1451	2172
lj	553	882	1435
ne	483	633	1116
rg	496	962	1458
lp	556	723	1279
ed	483	949	1432
nw	491	721	1212
pr	572	1004	1576
fr	794	1439	2233
bc	243	315	558
hs	551	1041	1592
bk	268	314	582
hc	729	1323	2052
fl	1061	1462	2523
mg	270	418	688
sw	649	1005	1654
sm	815	1556	2371
sb	492	1262	1754
se	279	477	756
