PRECINCT	DEM	REP	TOTAL
pr38	549.0	1658.0	2207.0
pr33	618	1587	2205
pr32	639	1065	1704
pr30	958	1036	1994
pr37	1043.0	1951.0	2994.0
pr36	986.0	1726.0	2712.0
pr35	1484.0	2665.0	4149.0
pr34	2075	1887	3962
pr07	563	1184	1747
pr04	322	468	790
pr21	464	1172	1636
pr11a	877	1025	1902
pr11b	1310	1555	2865
pr22	733	1202	1935
pr08	338	932	1270
pr09	1031	1822	2853
pr28	1050	1395	2445
pr12a	570.0	1096.0	1667.0
pr12b	613.0	975.0	1588.0
pr27a	435.0	360.0	795.0
pr27b	517.0	683.0	1200.0
pr20	784	1007	1791
pr23a	602.0	1457.0	2059.0
pr23b	664.0	1512.0	2175.0
pr24	1006	448	1454
pr25	874	627	1501
pr26	1135	457	1592
pr31b	1224	1982	3206
pr19	361	718	1079
pr31a	676	1031	1707
pr29b	1607	2802	4409
pr29a	966	2114	3080
pr13	501	1097	1598
pr14	332	1006	1338
pr10b	327.0	507.0	833.0
pr10a	534.0	424.0	958.0
