PRECINCT	DEM	REP	TOTAL
lw18	271	443	714
dv08	550	1084	1634
lw31	596	1318	1914
bc13	399	443	842
ls12	611	467	1078
cr06	260	290	550
wp32	803	1994	2797
ln11	549	421	970
sl24	369	778	1147
cf19	245	849	1094
lm16	310	484	794
as25	470	1066	1536
hv07	511	964	1475
ob21	323	1093	1416
is23	553	981	1534
is20	295	764	1059
pc22	395	1127	1522
ls15	260	612	872
li14	400	607	1007
bs26	508	727	1235
og10	351	691	1042
tr30	273	504	777
dn29	431	1230	1661
nb09	534	1021	1555
nb03	207	637	844
hg17	439	505	944
te27	338	987	1325
dw28	438	1086	1524
