PRECINCT	DEM	REP	TOTAL
vss	500	691	1191
pha2	283.0	946.0	1228.0
pha1	696.0	1799.0	2494.0
nsp	740	823	1563
rbn	240	554	794
wab	1112	1193	2305
wem	327	1108	1435
ewd	416	604	1020
dhr	321	856	1177
eur	691	1781	2472
wnd	633	875	1508
phc	931	1801	2732
eab	794	746	1540
ssp	1525	709	2234
ekwd	255.0	451.0	706.0
ltr	566	1070	1636
ben	533	917	1450
tlt	343	107	450
phb2	419	1176	1595
car	1306	1914	3220
phb1	709	1321	2030
sls	947	2028	2975
pdn	928	1405	2333
pbf	747	757	1504
cam	575	949	1524
wkwd	331.0	807.0	1139.0
