PRECINCT	DEM	REP	TOTAL
0040a	1711.0	1377.0	3087.0
0004	432	1506	1938
0015	2685	2344	5029
0039	720	1133	1853
0012	250	385	635
0011	1387	778	2165
0035	924	1459	2383
0034	2166	351	2517
0037	1397	1218	2615
0036	1135	977	2112
0031	687	140	827
0033	1471	171	1642
0032	907	383	1290
0007	1108	377	1485
0038	1402	625	2027
0003	542	450	992
0022	456	266	722
0005	673	689	1362
0006	516	706	1222
0021	535	138	673
0026	591	1662	2253
0001	796	1031	1827
0002	509	327	836
0025	1151	1794	2945
0041	380	622	1002
0042	564.0	315.0	879.0
0008	502	648	1150
