PRECINCT	DEM	REP	TOTAL
dm	1457	347	1804
ch	801	154	955
co	1572	302	1874
eh	1388	257	1645
cc	1102	457	1559
cb	1082	168	1250
ca	411	360	771
ef	724	700	1424
cg	598	498	1096
cf	1239	409	1648
cx	1781	1456	3237
gb	1494	822	2316
cp	1217	964	2181
cw	802	1171	1973
es	970	206	1176
gr	1143	349	1492
gl	1179	487	1666
lc	1626	188	1814
nc	1513	337	1850
eno	966	863	1829
to	591	449	1040
rf	1215	351	1566
pa	2345	972	3317
th	1390	82	1472
ns	1222	275	1497
wd	1986	414	2400
wc	859	416	1275
bc	1161	311	1472
ea	856	289	1145
da	1601	435	2036
ww	826	190	1016
bp	581	141	722
li	960	411	1371
wh	1439	414	1853
hf	1952	592	2544
mf	1538	448	1986
og	1622	869	2491
h	626	139	765
km	1179	395	1574
sj	1789	415	2204
sm	1038	996	2034
ow	1521	178	1699
cs1	766	471	1237
