PRECINCT	DEM	REP	TOTAL
30	282	1214	1496
02	303	1029	1332
03	586	1782	2368
26	331	1212	1543
01	333	1162	1495
06	588	788	1376
07	534	774	1308
04	456	1092	1548
05	946	539	1485
08	410	471	881
09	265	632	897
28	323	1024	1347
29	432	1686	2118
40	279	816	1095
14	143	544	687
24	146	401	547
25	234	992	1226
39	439	1760	2199
27	44	230	274
20	361	964	1325
38	446	2065	2511
21	597	1755	2352
11	348	822	1170
10	489	757	1246
13	378	1568	1946
12	397	845	1242
15	469	1305	1774
22	436	1045	1481
17	251	789	1040
16	355	1391	1746
19	325	999	1324
18	215	943	1158
31	684	1096	1780
23	745	1022	1767
37	363	1131	1494
36	291	1408	1699
35	308	1011	1319
34	429	1206	1635
33	295	594	889
32	645	1667	2312
