PRECINCT	DEM	REP	TOTAL
005	793	1124	1917
004	827	118	945
010	647	221	868
011	347	1258	1605
012	296	1267	1563
013	353	1414	1767
014	341	560	901
015	981	1753	2734
016	884	1733	2617
033	557	1074	1631
032	610	1472	2082
019	988	1820	2808
030	1129	1549	2678
031	919	1229	2148
036	560	780	1340
009	772	246	1018
034	765	1352	2117
035	392	939	1331
029a	1332	1327	2659
029c	443	921	1364
029b	441	735	1176
037b	259	802	1061
037a	1051	1488	2539
018	477	1350	1827
003	454	260	714
002	848	325	1173
001	552	161	713
026	423	759	1182
007	874	1169	2043
006	377	808	1185
023	475	812	1287
022	298	1395	1693
017a	678	1369	2047
017b	681	1788	2469
008	1192	554	1746
043	633	67	700
042	484	706	1190
041	594	1591	2185
040	698	1800	2498
025	467	784	1251
020b	556	1311	1867
024	442	1026	1468
020a	904	1180	2084
027	403	776	1179
039	332	993	1325
038a	926	1166	2092
021	404	1086	1490
028d	733.0	1511.0	2244.0
028a	892.0	1955.0	2847.0
028b	616.0	1758.0	2374.0
028c	616.0	1650.0	2266.0
038b	535	1087	1622
