PRECINCT	DEM	REP	TOTAL
13-05	1158	459	1617
17-06	674	737	1411
15-03	1266	2056	3322
12-08	1687	1436	3123
01-06	1293	651	1944
13-11	1126	1344	2470
13-10	1961	2280	4241
19-04	2176	2365	4541
12-01	1414	2232	3646
09-03	792	1000	1792
09-02	1673	818	2491
09-01	842	800	1642
04-20	1374	844	2218
01-49	1664	623	2287
04-21	928	351	1279
01-47	872	924	1796
01-46	2098	276	2374
01-45	805	598	1403
01-44	1914	930	2844
01-43	1230	530	1760
01-42	1010	1303	2313
01-41	1027	446	1473
01-40	3354	156	3510
17-01	1582	568	2150
07-12	1323	770	2093
06-08	779.0	771.0	1549.0
05-07	2664.0	2114.0	4778.0
05-06	1759	1852	3611
05-05	2676	1903	4579
05-03	1088	1243	2331
05-01	1699	1287	2986
05-08	939.0	679.0	1618.0
04-13	1746	1498	3244
04-12	1239	1025	2264
04-11	790	403	1193
04-10	1127	993	2120
04-17	889	621	1510
04-16	986	689	1675
04-15	1058	760	1818
04-14	736	645	1381
01-50	1997	76	2073
01-51	571	409	980
04-19	752	702	1454
04-18	1126	818	1944
01-09	625	263	888
15-01	1324	1771	3095
07-10	2225	1423	3648
14-02	1237	2415	3652
02-06	813	1383	2196
02-04	754	1200	1954
02-05	363	513	876
02-02	1614	2395	4009
02-03	872	1482	2354
02-01	1195	1346	2541
13-01	2730	629	3359
16-07	1595	1138	2733
16-06	766	333	1099
16-05	1086	937	2023
16-04	1125	871	1996
07-09	1509	949	2458
16-02	3170	622	3792
16-01	851	945	1796
07-05	911	579	1490
07-04	2080	1154	3234
07-07	1811	1507	3318
07-06	1426	1432	2858
07-01	846	488	1334
07-03	702	598	1300
07-02	724	501	1225
17-11	2239	720	2959
17-10	701	325	1026
04-08	1048	620	1668
04-09	936	1105	2041
04-04	801	476	1277
04-05	1401	969	2370
04-06	1270	1052	2322
04-07	990	1382	2372
19-11	922	1029	1951
04-01	1036	638	1674
04-02	1195	810	2005
04-03	986	556	1542
06-10	567.0	952.0	1519.0
01-29	1023	863	1886
01-28	2744	436	3180
17-05	2131	847	2978
01-25	291	14	305
16-03	776	439	1215
01-27	1122	248	1370
01-26	1972	82	2054
01-21	1976	761	2737
01-20	1646	149	1795
01-23	2731	1644	4375
01-22	2710	74	2784
03-00	874	1076	1950
17-07	2393	433	2826
11-02	1699	1219	2918
11-01	1932	1165	3097
18-04	1444	1583	3027
17-02	380	317	697
17-03	3263	1658	4921
14-01	213	321	534
07-13	919	641	1560
08-11	1584	1289	2873
08-10	1162	842	2004
18-08	1594	1368	2962
17-08	3434	1919	5353
17-09	2371	210	2581
19-09	1210	1620	2830
18-01	2373	1158	3531
19-07	888	715	1603
18-03	839	937	1776
18-02	1419	2086	3505
18-05	1696	2129	3825
19-03	935	1249	2184
18-07	1036	1462	2498
18-06	1773	997	2770
20-06a	1425.0	1216.0	2641.0
06-07	1207	1279	2486
06-04	1036	803	1839
20-06b	1231.0	1636.0	2867.0
01-36	668	764	1432
06-06	1614	1714	3328
01-34	1762	53	1815
01-35	1909	28	1937
01-32	1317	532	1849
01-33	803	437	1240
01-30	592	495	1087
01-31	2065	605	2670
10-01	366	590	956
10-03	1144	831	1975
10-02	1513	1104	2617
01-38	1284	549	1833
06-05	957	1583	2540
08-08	1596	1696	3292
08-09	985	660	1645
01-37	865	661	1526
08-02	1661	1386	3047
08-03	1795	1532	3327
08-04	626	792	1418
08-05	870	874	1744
08-06	1330	531	1861
08-07	942	1160	2102
06-09	855.0	1298.0	2152.0
15-02	1779	2193	3972
20-10	1271	1210	2481
20-13	2537.0	2432.0	4969.0
20-12	887	1091	1978
20-14	1605.0	1666.0	3272.0
15-04	763	933	1696
19-14	789.0	1420.0	2208.0
01-03	855	766	1621
01-02	1047	518	1565
01-01	1033	401	1434
01-07	1118	364	1482
19-17	2145	1194	3339
01-05	490	425	915
01-04	513	453	966
19-16	1116	1045	2161
07-11	517	408	925
19-10	1925	2803	4728
19-13	880.0	1063.0	1944.0
19-12	1463	1876	3339
10-04	2855	1834	4689
01-14	2100	518	2618
01-15	748	613	1361
01-16	1272	608	1880
01-17	453	434	887
01-10	734	482	1216
01-11	754	1064	1818
01-12	756	475	1231
01-13	913	258	1171
01-18	1406	827	2233
01-19	1545	45	1590
20-03	1056	1191	2247
12-09	1078	1369	2447
20-01	1288	926	2214
20-04	1356	1180	2536
20-05	1310	1496	2806
12-02	1444	1442	2886
20-08	1646	1716	3362
20-09	982	1059	2041
12-07	802	1100	1902
12-06	1023	1265	2288
12-05	1961	2906	4867
12-04	961	1713	2674
16-09	1456	907	2363
19-05	816	1543	2359
16-08	4655	770	5425
17-04	2390	1435	3825
01-48	1259	485	1744
19-15	756.0	1196.0	1951.0
01-39	1466	688	2154
13-02	803	784	1587
20-11	1201	1481	2682
13-06	1267	1095	2362
13-07	1050	515	1565
13-08	1499	364	1863
13-09	2297	795	3092
