PRECINCT	DEM	REP	TOTAL
06s	580	1188	1827
10n	819	1551	2414
09n	429	791	1249
06w	306	355	675
08s	254	694	982
063	897	628	1555
12n	1909	315	2249
12s	491	238	740
06e	627	770	1430
08n	568	1164	1776
12w	538	793	1378
10s	1826	2237	4181
035	707	1462	2229
02	361	1981	2394
01	436	1679	2162
07	375	1605	2026
04	574	1990	2603
05	333	1373	1739
06n	864	481	1367
1210	479	596	1095
03n	957	1736	2747
064	792	1813	2667
03c	430	1391	1856
09s	969	1714	2769
03n2	185.0	239.0	428.0
124	487	751	1270
125	420	930	1384
126	397	1032	1447
127	1874	657	2558
128	724	390	1137
03s	1173	2210	3458
03w	467	1188	1701
129	291	773	1089
11	1178	942	2153
13	1064	1019	2128
103	488	1233	1752
12e	540	374	926
