PRECINCT	DEM	REP	TOTAL
0022	265	951	1231
0015	148	781	941
0014	201	1056	1274
0013	228	1437	1702
0012	144	1059	1223
0011	244	1346	1629
0035	481	472	968
0034	613	691	1326
0051	730	1310	2078
0036	339	841	1196
0031	716	514	1248
0019	141	278	423
0018	96	223	326
0021	237	618	870
0039	424	589	1035
0038	433	897	1350
0066	378	797	1202
0053	338	901	1267
0064	145	370	522
0065	162	480	656
0062	177	347	532
0052	264	477	760
0047-b	330.0	490.0	844.0
0020	222	405	636
0047-a	636.0	699.0	1360.0
0001	585	1342	1964
0024	445	1211	1701
0003	141	593	744
0040	334	706	1067
0029-b	193.0	484.0	688.0
0029-a	134.0	558.0	705.0
0070	421	1164	1614
0048	521	885	1440
