PRECINCT	DEM	REP	TOTAL
03-00	605	2053	2713
11-02	356	1499	1898
10-00	547	2530	3127
05-00	344	1477	1857
04-10	640	1676	2363
01-10	495	1395	1919
11-01	1015	1749	2826
12-09	344	993	1364
06-00	152	1226	1398
12-08	300	491	807
12-03	409	993	1422
12-02	731	433	1189
12-01	196	220	430
12-07	843	112	965
12-06	405	605	1034
12-05	362	1105	1490
12-04	657	943	1645
02-06	904	1182	2140
02-07	449	1617	2102
02-05	671	2028	2742
02-02	746	2021	2818
02-03	1024	2612	3700
02-01	578	1320	1948
02-08	1223	2377	3668
02-09	1384	2216	3652
08-00	452	2059	2548
12-10	204	621	846
07-00	105	580	695
12-11	356	649	1029
09-00	204	1382	1615
04-08	277	755	1052
04-09	492	1339	1860
12-12	389	904	1330
04-04	455	527	990
04-05	376	593	989
04-06	547	633	1201
04-07	232	902	1150
04-01	818	1053	1902
04-02	785	779	1592
04-03	802	1029	1863
01-09	108	602	723
01-08	675	1513	2230
01-02	304	1247	1586
01-07	365	1451	1839
01-06	613	1524	2170
01-04	861	1824	2747
