PRECINCT	DEM	REP	TOTAL
bogu	318	1313	1654
merr	134	252	388
abch	202	871	1088
dasw	88.0	327.0	431.0
hais	176	601	782
ibsp	84	138	223
bft1	521	450	997
bft2	836	1441	2321
pele	158	609	775
npt1	575	1652	2289
mcrk	49	291	349
wiha	197.0	761.0	991.0
cccp	373	1586	1998
atcs	263.0	531.0	818.0
mhd4	447	1563	2036
mhd3	633	1703	2380
mhd2	582	1130	1764
stel	148	624	796
npt2	290	1427	1756
mhd1	525	1041	1607
bcrk	278	1033	1337
otbe	223.0	1110.0	1351.0
masm	144.0	460.0	606.0
nriv	326	157	493
pknl	265	734	1010
wild	549	1677	2259
emis	536	1754	2330
