PRECINCT	DEM	REP	TOTAL
30	774	1650	2470
02	289	1206	1519
03	358	1104	1498
26	363	943	1329
01	290	1944	2264
06	359	1239	1615
07	667	1253	1958
04	207	288	504
05	579	1388	1996
08	358	1414	1800
09	274	1320	1617
28	584	1500	2108
29	294	1332	1655
40	393	674	1087
41	335	1796	2164
14	336	812	1169
24	573	2150	2774
25	448	769	1249
39	323	1359	1701
27	429	1960	2429
20	515	1618	2158
38	468	1599	2093
21	203	924	1137
11	292	440	745
10	246	152	407
13	507	406	931
12	861	267	1141
15	599	26	630
22	540	1591	2169
17	360	613	995
16	569	882	1502
19	245	489	746
32	663	1280	1975
31	476	2293	2817
23	624	2092	2767
37	578	1005	1625
36	393	1223	1643
35	483	971	1495
34	689	2554	3309
33	803	3195	4055
