PRECINCT	DEM	REP	TOTAL
bethwr	259	863	1142
mrb-yo	272	674	957
h spgs	119.0	318.0	443.0
latt	427	1275	1723
km s	1047.0	1676.0	2761.0
kingst	485	216	711
b spgs	820.0	1775.0	2631.0
mulls	303	901	1231
shangi	588	1231	1839
km n	1116.0	1844.0	3000.0
polkvl	345	1120	1483
oakgrv	416.0	1652.0	2098.0
casar	123	741	871
falstn	194	826	1034
s 1	873.0	460.0	1349.0
s 2	955.0	1287.0	2267.0
s 3	657.0	492.0	1173.0
s 4	1035.0	630.0	1678.0
s 5	882.0	869.0	1764.0
s 6	1040.0	918.0	1979.0
s 7	790.0	1078.0	1897.0
s 8	738.0	810.0	1561.0
waco	732	1310	2066
lawndl	637	567	1221
grover	533	1384	1944
rippy	807	1451	2298
