PRECINCT	DEM	REP	TOTAL
30	295	986	1307
42	298	1287	1603
45	649	1325	2013
43	700	1955	2694
02	885	664	1586
03	732	490	1230
26	406	1274	1708
01	296	502	820
06	1008	272	1304
07	753	57	816
04	1159	1858	3065
05	1084	529	1637
46	617	2419	3084
08	654	369	1044
09	549	666	1240
28	446	1661	2135
29	504	2101	2639
40	811	1946	2801
41	354	1542	1928
14	228	617	862
24	505	1102	1634
25	289	995	1307
39	256	1918	2220
27	594	2182	2800
20	486	1638	2154
38	274	1631	1943
21	573	842	1436
11	629	455	1098
10	736	1115	1896
13	497	1123	1649
12	531	1279	1844
15	1157	2714	3919
22	678	1962	2680
17	901	1770	2714
16	574	2154	2748
19	890	2008	2965
18	1413	2517	4002
31	426	1751	2208
23	535	1376	1949
37	260	745	1019
36	396	1523	1940
35	249	824	1084
34	267	1121	1415
33	224	1024	1267
32	357	1099	1482
44	752	2456	3244
