PRECINCT	DEM	REP	TOTAL
gr	316	1358	1721
sclay	261	1223	1527
sum4	215	1219	1465
sum3	181	699	901
sum2	732	512	1261
sum1	981	618	1625
fr4	336	770	1136
fr2	614	1106	1763
g08	1235	397	1662
g09	1560	348	1938
g04	1289	101	1413
g05	1164	31	1205
g06	1160	54	1221
g07	969	356	1356
g01	793	115	939
g02	499	226	738
g40b	439	698	1162
stok	574	2071	2715
g31	448	657	1140
g30	492	828	1343
g33	494	923	1435
g32	770	1268	2076
g35	434	548	1001
g34	571	902	1502
g37	1183	555	1790
g36	695	690	1416
g39	665	548	1263
g38	907	859	1813
cg3b	755	1170	1954
cg3a	517	842	1391
g41b	457.0	822.0	1318.0
g41a	497.0	592.0	1124.0
mon2a	1420.0	638.0	2098.0
mon2b	687.0	517.0	1230.0
ndri	237	1328	1582
h15	578	708	1324
or2	448	1376	1863
or1	558	1906	2508
h16	318	577	923
cg1	824	967	1850
cg2	545	939	1522
g40a1	499	696	1233
g40a2	419	513	955
g26	1390	662	2110
g27	930	1368	2368
g24	516	347	887
g25	705	672	1411
g22	459	956	1434
g23	510	486	1042
g20	699	1176	1922
g21	1121	1350	2515
g28	502	456	986
g29	647	561	1245
mon3	860	1883	2798
mon1	930	677	1640
fen1	1879	833	2768
h19b	248	375	637
h19a	802	148	970
fen2	388	1072	1488
h29a	720.0	663.0	1406.0
h29b	799.0	687.0	1524.0
h20b	276	563	864
h20a	415	496	943
g53	1875	187	2088
g52	1350	173	1545
g51	809	440	1280
g50	1548	444	2045
g57	1081	318	1416
g56	904	297	1225
g55	1415	275	1721
g54	1595	200	1829
g59	786	262	1076
g58	1051	257	1333
smad	691	1141	1872
nmad	560	858	1451
h09	1224	58	1301
h08	701	56	769
h03	788	227	1033
h02	404	654	1080
h01	692	378	1092
h07	937	88	1036
h06	1036	881	1972
h05	1217	233	1465
h04	887	620	1545
g42	832	1173	2043
g43	1248	669	1997
g44	1049	330	1473
g45	1648	453	2224
g46	1801	80	1906
g47	1035	322	1416
g48	1399	678	2194
g49	591	167	784
nwash	153	783	947
gib	700	931	1677
jef1	667	1148	1853
fr3	442	751	1224
jef3	2167	520	2723
jef2	911	719	1660
pg2	452	1573	2062
jef4	519	771	1323
pg1	360	869	1250
h18	975	326	1333
sdri	771	2136	2951
h10	1353	164	1532
h11	1071	201	1304
h12	608	326	955
h13	441	900	1365
h14	202	921	1142
rc1	982	1190	2218
rc2	1012	1534	2605
h17	541	292	856
g75	1174	97	1282
g74	1688	57	1764
fr1	1370	1050	2473
g71	1666	52	1739
g70	1879	43	1952
g73	1204	38	1248
g72	1635	119	1770
swash	124	522	655
ncgr2	349	1109	1487
ncgr1	585	1736	2365
g03	1394	97	1511
sf4	754	1808	2633
sf2	279	965	1258
sf3	699	1319	2071
sf1	508	1751	2304
h28	1008.0	1009.0	2055.0
h25	795	1865	2707
h24	582	1107	1722
h27	1074	1810	2940
h26	529	913	1477
h21	366	666	1063
h23	324	753	1106
h22	368	469	855
g68	1812	46	1884
g69	1621	162	1821
g62	552	431	1019
g63	635	569	1247
g60	887	353	1272
g61	1074	362	1467
g66	799	981	1833
g67	1226	25	1268
g64	1284	512	1853
g65	956	779	1784
jam4	358	1319	1695
jam5	177	819	1012
nclay1	584	1298	1910
nclay2	257	833	1106
g16	476	740	1236
g15	583	445	1079
jam1	626	1459	2107
jam2	480	854	1363
jam3	491	973	1485
g19	391	753	1165
g18	313	705	1034
g17	555	768	1361
fr5b	314.0	723.0	1075.0
fr5a	518.0	914.0	1476.0
g14	544	385	965
g13	644	426	1106
g12	568	217	824
g11	684	345	1083
g10	1584	433	2049
