PRECINCT	DEM	REP	TOTAL
rr 10	600.0	1332.0	1953.0
rr 11	527.0	1113.0	1661.0
wel 1	570.0	157.0	729.0
butwd	156	123	280
conc	207	60	267
rr 9	800.0	484.0	1310.0
enf1	967.0	392.0	1381.0
lit 2	392.0	897.0	1310.0
wel 3	800.0	359.0	1170.0
lit 1	983.0	362.0	1354.0
fauct	420	442	868
ringw	971	95	1069
hpr	765.0	627.0	1399.0
hol	1424	139	1571
rr 3	222.0	697.0	929.0
rr 4	238.0	738.0	994.0
rr 5	170.0	484.0	673.0
rr 6	151.0	581.0	735.0
rr 7	416.0	186.0	608.0
rr 8	219.0	486.0	716.0
rr1-2	327.0	684.0	1037.0
enf 2	484.0	113.0	600.0
wel 2	276.0	227.0	502.0
hal	750	215	968
sn	1374	467	1858
