PRECINCT	DEM	REP	TOTAL
gr	372	1267	1676
cc	546	1346	1951
cb	220	578	816
ef	486	976	1520
ar	292	644	964
at	625	1486	2161
gm	245	588	860
ev	520	1192	1741
es	424	876	1345
hv-1	707	887	1638
hv-3	708	790	1558
hv-2	878	985	1906
pv	496	948	1476
nm	583	1323	1951
rr	214	400	630
nb	639	1548	2255
lj	495	967	1491
ne	421	699	1168
rg	427	1064	1530
lp	499	814	1338
ed	425	1012	1483
nw	432	802	1266
pr	502	1067	1622
fr	703	1566	2310
bc	235	329	581
hs	498	1127	1652
bk	249	347	606
hc	655	1425	2133
fl	968	1610	2632
mg	233	461	725
sw	538	1121	1731
sm	715	1669	2449
sb	404	1362	1810
se	236	531	787
