PRECINCT	DEM	REP	TOTAL
em	162	608	784
cc1	1002	2662	3737
cd	656	2418	3119
dv1-a	789	3414	4268
dv1-b	933	4978	6004
cs	488	1270	1777
cc2	1311	2320	3699
nh	142	670	828
cc4	833	2950	3863
ch-b	432	1240	1705
cc3	1332	3548	4989
ch-a	603	1152	1783
st4	783	1337	2151
st5	993	1124	2155
st6	1445	916	2398
st1	875	1743	2664
st2	746	1145	1932
st3	1309	901	2246
tb	471	1072	1569
be	800	2751	3606
ft	1069	3666	4830
ba	649	2142	2841
sh-b	362	1688	2088
sh-a	397	1659	2088
ol	151	753	914
dv2-b	522	2139	2715
dv2-a	426	2444	2933
sb	226	1031	1271
ug	136	846	1000
