PRECINCT	DEM	REP	TOTAL
pr38	322.0	1944.0	2292.0
pr33	473	1771	2286
pr32	543	1179	1760
pr30	818	1203	2064
pr37	744.0	2337.0	3115.0
pr36	746.0	2025.0	2822.0
pr35	1092.0	3089.0	4264.0
pr34	1844	2147	4106
pr07	441	1347	1811
pr04	263	540	809
pr21	341	1330	1689
pr11a	747	1149	1956
pr11b	1119	1783	2987
pr22	539	1453	2008
pr08	219	1081	1318
pr09	811	2085	2958
pr28	856	1644	2542
pr12a	471.0	1192.0	1709.0
pr12b	471.0	1145.0	1690.0
pr27a	384.0	420.0	818.0
pr27b	426.0	772.0	1232.0
pr20	665	1149	1845
pr23a	460.0	1626.0	2139.0
pr23b	479.0	1711.0	2275.0
pr24	904	567	1493
pr25	777	733	1540
pr26	1060	555	1635
pr31b	998	2243	3330
pr19	295	823	1128
pr31a	537	1175	1754
pr29b	1334	3148	4576
pr29a	747	2379	3209
pr13	374	1245	1653
pr14	213	1142	1381
pr10b	233.0	623.0	878.0
pr10a	435.0	543.0	1001.0
