PRECINCT	DEM	REP	TOTAL
lw18	206	520	742
dv08	360	1323	1711
lw31	391	1609	2029
bc13	314	537	875
ls12	514	600	1135
cr06	179	384	574
wp32	505	2443	2987
ln11	457	547	1016
sl24	240	952	1208
cf19	134	1014	1159
lm16	224	604	843
as25	322	1278	1618
hv07	327	1184	1541
ob21	225	1218	1475
is23	410	1164	1599
is20	213	859	1101
pc22	275	1277	1584
ls15	141	750	904
li14	274	777	1059
bs26	399	867	1289
og10	238	837	1100
tr30	200	614	823
dn29	261	1466	1754
nb09	388	1246	1667
nb03	143	721	873
hg17	347	631	989
te27	211	1176	1408
dw28	328	1244	1592
