PRECINCT	DEM	REP	TOTAL
vss	427	777	1228
pha2	220.0	1035.0	1272.0
pha1	543.0	2024.0	2636.0
nsp	628	947	1636
rbn	218	592	823
wab	959	1370	2376
wem	267	1196	1481
ewd	356	676	1051
dhr	278	933	1224
eur	630	1931	2593
wnd	544	984	1558
phc	798	2035	2881
eab	702	863	1583
ssp	1471	797	2288
ekwd	209.0	503.0	747.0
ltr	485	1184	1695
ben	485	979	1477
tlt	329	120	457
phb2	320	1316	1658
car	1140	2114	3319
phb1	613	1476	2116
sls	756	2302	3110
pdn	768	1610	2434
pbf	678	830	1540
cam	490	1058	1566
wkwd	272.0	905.0	1206.0
