PRECINCT	DEM	REP	TOTAL
0040a	1517.0	1557.0	3147.0
0004	290	1697	2003
0015	2452	2631	5124
0039	623	1267	1902
0012	197	452	659
0011	1268	923	2211
0035	779	1629	2437
0034	2104	410	2531
0037	1262	1398	2682
0036	997	1145	2164
0031	664	164	836
0033	1432	213	1658
0032	844	452	1307
0007	1048	438	1497
0038	1329	712	2059
0003	480	515	1019
0022	427	303	734
0005	585	799	1408
0006	420	804	1251
0021	517	161	681
0026	428	1855	2303
0001	674	1197	1896
0002	468	377	850
0025	1008	1975	3016
0041	339	680	1026
0042	545.0	317.0	874.0
0008	431	755	1195
