PRECINCT	DEM	REP	TOTAL
w18	431	601	1093
w17	723	1037	1801
w16	825	1375	2251
w15	2182	688	2971
w13	769	303	1130
w12	616	666	1327
h09	1323	3666	5094
h08	1159	2675	3938
h03	1010	2352	3457
h02	481	1999	2516
h01	525	675	1242
h06	777	1182	2035
h05	705	1774	2544
h04	819	1600	2485
w26	890	655	1637
w27	1549	536	2173
w24	1247	1237	2667
w25	1876	470	2465
w21	989	1500	2585
w28	1023	828	1973
w29	2334	133	2519
w08	891	446	1354
wb	454	1131	1629
cf02	615	1194	1865
w03	1246	247	1537
fp06	792.0	1575.0	2446.0
fp07	906.0	1998.0	2987.0
fp04	888	1781	2741
fp05	446	965	1454
fp02	663	1063	1805
fp03	395	808	1228
m06	659.0	1472.0	2174.0
cf01	1180	1243	2498
cf06	763.0	1133.0	1948.0
cf05	705.0	1289.0	2066.0
m07	446.0	859.0	1342.0
h10	1196.0	1245.0	2530.0
h11	1231.0	2377.0	3701.0
m04	1520	2805	4445
w31	861	1805	2720
w30	1349	1323	2777
m02	1349	2956	4407
m03	825	1441	2354
