PRECINCT	DEM	REP	TOTAL
0101	1334	1231	2610
1301	171	549	736
1403a1	706.0	1487.0	2223.0
1513b	541.0	1173.0	1744.0
1513a	719.0	1260.0	2045.0
1403a2	754.0	998.0	1774.0
1201	1352	1314	2710
1511b	1047	1259	2361
0401	792	489	1299
0200b	1082	617	1720
0501	363	554	931
0200a	730	1188	1957
1503	1583	268	1883
1501	783	62	852
1507b	746	507	1306
1507	1357	1096	2554
1102b	834	1752	2619
1102a	807	1375	2218
1509	1509	1557	3137
1505a	1275	451	1751
0301	1965	879	2866
1511a	811	1634	2480
1101	446	458	911
1510b	763	1263	2069
1510a	577	1181	1781
1403b	1584	2137	3781
0901	260	349	615
1512a	1802	1533	3385
1512b	871	727	1640
0800a	885	876	1776
1508b	528	541	1136
1508a	468	394	915
0800b	816	681	1517
1504b	1561.0	1151.0	2795.0
1504a	1709.0	349.0	2106.0
0601	731	2356	3112
1505b	1842	148	2018
1506	869	331	1231
0701	468	963	1448
1001	875	1184	2086
