PRECINCT	DEM	REP	TOTAL
30	222	1293	1542
02	231	1123	1378
03	454	1946	2447
26	259	1300	1594
01	257	1260	1552
06	501	932	1464
07	462	881	1385
04	362	1243	1632
05	890	597	1517
08	356	542	920
09	221	683	926
28	262	1087	1384
29	320	1817	2179
40	213	897	1131
14	128	587	722
24	99	462	571
25	173	1062	1266
39	299	1936	2269
27	38	248	286
20	301	1054	1383
38	335	2189	2568
21	462	1924	2439
11	302	911	1227
10	396	843	1271
13	284	1697	2013
12	303	997	1318
15	390	1425	1849
22	354	1146	1524
17	217	846	1081
16	280	1532	1838
19	262	1088	1381
18	185	1008	1201
31	574	1225	1839
23	651	1157	1834
37	280	1234	1545
36	228	1500	1751
35	268	1058	1355
34	346	1296	1673
33	258	655	933
32	492	1845	2409
