PRECINCT	DEM	REP	TOTAL
005	563	1412	2010
004	791	156	957
010	566	309	891
011	162	1514	1698
012	187	1445	1646
013	178	1664	1866
014	220	700	942
015	664	2171	2879
016	633	2039	2731
033	408	1262	1710
032	386	1779	2196
019	712	2156	2934
030	855	1908	2803
031	684	1525	2256
036	428	955	1403
009	673	370	1052
034	540	1648	2217
035	250	1154	1438
029a	1055	1689	2795
029c	305	1118	1443
029b	297	918	1237
037b	168	927	1104
037a	784	1807	2649
018	290	1621	1935
003	389	332	734
002	748	434	1207
001	499	226	729
026	274	947	1238
007	651	1448	2135
006	243	991	1255
023	341	1012	1369
022	199	1506	1747
017a	472	1667	2169
017b	473	2076	2596
008	1013	747	1812
043	613	93	710
042	357	860	1234
041	422	1841	2287
040	442	2150	2622
025	291	1003	1312
020b	365	1581	1988
024	295	1237	1561
020a	660	1493	2216
027	285	939	1248
039	215	1163	1398
038a	703	1422	2178
021	275	1278	1580
028d	528.0	1784.0	2347.0
028a	643.0	2281.0	2970.0
028b	404.0	2070.0	2511.0
028c	413.0	1966.0	2400.0
038b	395	1301	1730
