PRECINCT	DEM	REP	TOTAL
06s	667	1147	1834
10n	950	1459	2435
09n	479	763	1260
06w	351	324	686
08s	283	685	990
063	987	570	1568
12n	2009	275	2296
12s	534	215	752
06e	753	683	1446
08n	643	1117	1778
12w	650	736	1407
10s	2098	2045	4231
035	832	1437	2291
02	429	1936	2401
01	488	1661	2172
07	425	1593	2043
04	627	1951	2606
05	365	1358	1744
06n	941	432	1382
1210	550	549	1108
03n	1143	1618	2792
064	924	1731	2680
03c	526	1318	1865
09s	1078	1666	2778
03n2	227.0	206.0	437.0
124	543	723	1283
125	483	899	1396
126	476	965	1451
127	1982	596	2591
128	794	336	1147
03s	1380	2088	3502
03w	568	1125	1716
129	339	755	1101
11	1280	880	2177
13	1145	995	2158
103	559	1195	1767
12e	594	344	942
